sep=,
"Time","reducirimagen-755894457-44kpf","reducirimagen-755894457-g2kft","reducirimagen-755894457-gcktk","reducirimagen-755894457-hzcng","reducirimagen-755894457-jfrcb","reducirimagen-755894457-jlvh4","reducirimagen-755894457-qqvpj","reducirimagen-755894457-qrk6x","reducirimagen-755894457-sdvzf","reducirimagen-755894457-wtd7j","reducirimagen-755894457-xch5x","reducirimagen-755894457-zhvt9"
2025-04-06 21:33:00,,,,,,,,,,,,0.00116
2025-04-06 21:33:02,,,,,,,,,,,,0.00116
2025-04-06 21:33:08,,,,,,,,,,,,0.366
2025-04-06 21:33:10,,,,,,,,,,,,0.403
2025-04-06 21:33:12,,,,,,,,,,,,0.440
2025-04-06 21:33:14,,,,,,,,,,,,0.477
2025-04-06 21:33:16,,,,,,,,,,,,0.514
2025-04-06 21:33:18,,,,,,,,,,,,0.551
2025-04-06 21:33:20,,,,,,,,,,,,0.610
2025-04-06 21:33:22,,,,,,,,,,,,0.681
2025-04-06 21:33:24,,,,,,,,,,,,0.751
2025-04-06 21:33:26,,,,,,,,,,,,0.822
2025-04-06 21:33:28,,,,,,,,,,,,1.06
2025-04-06 21:33:30,,,,,,,,,,,,1.06
2025-04-06 21:33:32,,,,,,,,,,,,1.06
2025-04-06 21:33:34,,,,,,,,,,,,1.06
2025-04-06 21:33:36,,,,,,,,,,,,1.06
2025-04-06 21:33:38,,,,,,,,,,,,1.07
2025-04-06 21:33:40,,,,,,,,,,,,1.07
2025-04-06 21:33:42,,,,,,,,,,,,0.813
2025-04-06 21:33:44,,,,,,,,,,,,0.742
2025-04-06 21:33:46,,,,,,,,,,,,0.671
2025-04-06 21:33:48,,,,,,,,,,,,1.07
2025-04-06 21:33:50,,,,,,,,,,,,1.07
2025-04-06 21:33:52,,,,,,,,,,,,1.07
2025-04-06 21:33:54,,,,,,,,,,,,1.07
2025-04-06 21:33:56,,,,,,,,,,,,1.07
2025-04-06 21:33:58,,,,,,,,,,,,1.07
2025-04-06 21:34:00,,,,,,,,,,,,0.645
2025-04-06 21:34:02,,,,,,,,,,,,0.714
