sep=,
"Time","reducirimagen-755894457-2dwpd","reducirimagen-755894457-2nqj2","reducirimagen-755894457-6pc9g","reducirimagen-755894457-6q5m5","reducirimagen-755894457-6xrp6","reducirimagen-755894457-798hp","reducirimagen-755894457-7xwkm","reducirimagen-755894457-8xbk5","reducirimagen-755894457-bwsr6","reducirimagen-755894457-cgd2k","reducirimagen-755894457-dvw22","reducirimagen-755894457-fs6fk","reducirimagen-755894457-fvp9d","reducirimagen-755894457-fwtfs","reducirimagen-755894457-gcgbr","reducirimagen-755894457-hlz85","reducirimagen-755894457-j29q8","reducirimagen-755894457-j8rp8","reducirimagen-755894457-jcjhb","reducirimagen-755894457-jclgd","reducirimagen-755894457-krcrr","reducirimagen-755894457-lcp7m","reducirimagen-755894457-lhss9","reducirimagen-755894457-mdpdd","reducirimagen-755894457-mwqjp","reducirimagen-755894457-ngfdz","reducirimagen-755894457-nv2rd","reducirimagen-755894457-pb55s","reducirimagen-755894457-pxsqg","reducirimagen-755894457-q6tkg","reducirimagen-755894457-qk654","reducirimagen-755894457-r4scc","reducirimagen-755894457-slz2k","reducirimagen-755894457-t8v66","reducirimagen-755894457-vd95h","reducirimagen-755894457-vnqdn","reducirimagen-755894457-vx5m8","reducirimagen-755894457-w6xnw","reducirimagen-755894457-wxhsr","reducirimagen-755894457-xpnnj","reducirimagen-755894457-zhvt9"
2025-04-15 15:19:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0159
2025-04-15 15:19:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07
2025-04-15 15:19:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.17
2025-04-15 15:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.628,,,,,,,,0.976
2025-04-15 15:20:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.880,,,,,,,,0.704
2025-04-15 15:20:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04,,,,,,,,0.994
2025-04-15 15:21:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.632,,,,,,,,1.02
2025-04-15 15:21:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.759,,,,,,,,0.795
2025-04-15 15:21:40,,,,,,,,,,,,,,,,,,,,,,,0.960,,,0.730,,,,,,,0.782,,,,,,,,
2025-04-15 15:22:00,,,,,,,,,,,,,,,,,,,,,,,0.949,,,0.797,,,,,,,0.887,,,,,,,,0.747
2025-04-15 15:22:20,0.405,,,,,,,,,,,,,,,,,,,,,,0.709,,,0.495,,,,,,,0.818,,,,,,,,0.848
2025-04-15 15:22:40,0.774,,,,,,,,,,,,,,,,,,,,,,0.814,,,0.651,,,,,,,0.779,,,,,,,,
2025-04-15 15:23:00,0.803,,,,,,,,,,,,,,,,,,,,,,0.519,,,0.712,,,,,,,0.777,,,,,,,,0.819
2025-04-15 15:23:20,,,,,,,,,,,,,,,,,,,,,,,0.795,,,0.792,,,,,,,0.845,,,,,,,,0.815
2025-04-15 15:23:40,,,,,,,,,,,,,,,,,,,,,,,0.847,,,0.820,,,,,,,0.660,,,,,,,,0.803
2025-04-15 15:24:00,0.679,,,,,,,,,,,,,,,,,,,,,,0.687,,,0.806,,,,,,,0.614,,,,,,,,0.651
2025-04-15 15:24:20,0.834,,,,,,,,,,,,,,,,,,,,,,0.663,,,0.874,,,,,,,0.838,,,,,,,,0.653
2025-04-15 15:24:40,0.735,,,,,,,,,,,,,,,,,,,,,,,,,0.901,,,,,,,0.787,,,,,,,,0.810
2025-04-15 15:25:00,0.795,,,,,,,,,,,,,,,,,,,,,,0.817,,,0.592,,,,,,,0.729,,,,,,,,0.903
2025-04-15 15:25:20,0.760,,,,,,,,,,,,,,,,,,,,,,0.668,,,0.520,,,,,,,0.860,,,,,,,,
2025-04-15 15:25:40,0.837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.852,,,,,,,,0.735
2025-04-15 15:26:00,0.784,,,,,,,,,,,,,,,,,,,,,,0.850,,,,,,,,,,0.782,,,,,,,,0.741
2025-04-15 15:26:20,0.706,,,,,,,,,,,,,,,,,,,,,,0.940,,,0.683,,,,,,,0.831,,,,,,,,0.597
2025-04-15 15:26:40,0.652,,,,,,,,,,,,,,,,,,,,,,0.720,,,0.753,,,,,,,0.740,,,,,,,,0.789
2025-04-15 15:27:00,0.825,,,,,,,,,,,,,,,,,,,,,,0.933,,,0.777,,,,,,,0.783,,,,,,,,0.754
2025-04-15 15:27:20,0.876,,,,,,,,,,,,,,,,,,,,,,0.514,,,0.807,,,,,,,0.673,,,,,,,,0.744
2025-04-15 15:27:40,0.760,,,,,,,,,,,,,,,,,,,,,,0.533,,,0.752,,,,,,,0.577,,,,,,,,0.754
2025-04-15 15:28:00,0.771,,,,,,,,,,,,,,,,,,,,,,0.805,,,0.738,,,,,,,0.788,,,,,,,,0.778
2025-04-15 15:28:20,0.889,,,,,,,,,,,,,,,,,,,,,,0.676,,,0.756,,,,,,,0.737,,,,,,,,0.812
2025-04-15 15:28:40,0.656,,,,,,,,,,,,,,,,,,,,,,0.770,,,0.818,,,,,,,0.729,,,,,,,,0.693
2025-04-15 15:29:00,0.780,,,,,,,,,,,,,,,,,,,,,,0.590,,,0.816,,,,,,,0.799,,,,,,,,
2025-04-15 15:29:20,,,,,,,,,,,,,,,,,,,,,,,0.896,,,0.707,,,,,,,0.874,,,,,,,,0.747
2025-04-15 15:29:40,0.590,,,,,,,,,,,,,,,,,,,,,,0.757,,,0.875,,,,,,,,,,,,,,,0.824
