sep=,
"Time","reducirimagen-755894457-2dwpd","reducirimagen-755894457-2nqj2","reducirimagen-755894457-6pc9g","reducirimagen-755894457-6q5m5","reducirimagen-755894457-6xrp6","reducirimagen-755894457-798hp","reducirimagen-755894457-7xwkm","reducirimagen-755894457-8xbk5","reducirimagen-755894457-bwsr6","reducirimagen-755894457-cgd2k","reducirimagen-755894457-dvw22","reducirimagen-755894457-fs6fk","reducirimagen-755894457-fvp9d","reducirimagen-755894457-fwtfs","reducirimagen-755894457-gcgbr","reducirimagen-755894457-hlz85","reducirimagen-755894457-j29q8","reducirimagen-755894457-j8rp8","reducirimagen-755894457-jcjhb","reducirimagen-755894457-jclgd","reducirimagen-755894457-krcrr","reducirimagen-755894457-lcp7m","reducirimagen-755894457-lhss9","reducirimagen-755894457-mdpdd","reducirimagen-755894457-mwqjp","reducirimagen-755894457-ngfdz","reducirimagen-755894457-nv2rd","reducirimagen-755894457-pb55s","reducirimagen-755894457-pxsqg","reducirimagen-755894457-q6tkg","reducirimagen-755894457-qk654","reducirimagen-755894457-r4scc","reducirimagen-755894457-slz2k","reducirimagen-755894457-t8v66","reducirimagen-755894457-vd95h","reducirimagen-755894457-vnqdn","reducirimagen-755894457-vx5m8","reducirimagen-755894457-w6xnw","reducirimagen-755894457-wxhsr","reducirimagen-755894457-xpnnj","reducirimagen-755894457-zhvt9"
2025-04-15 15:19:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175 MB
2025-04-15 15:19:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181 MB
2025-04-15 15:19:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 B,,,,,,,,202 MB
2025-04-15 15:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176 MB,,,,,,,,207 MB
2025-04-15 15:20:20,,,,,,,,,,,,,,,,,,,,,,,,,,0 B,,,,,,,180 MB,,,,,,,,208 MB
2025-04-15 15:20:40,,,,,,,,,,,,,,,,,,,,,,,,,,166 MB,,,,,,,201 MB,,,,,,,,210 MB
2025-04-15 15:21:00,,,,,,,,,,,,,,,,,,,,,,,0 B,,,172 MB,,,,,,,203 MB,,,,,,,,210 MB
2025-04-15 15:21:20,,,,,,,,,,,,,,,,,,,,,,,167 MB,,,179 MB,,,,,,,204 MB,,,,,,,,218 MB
2025-04-15 15:21:40,0 B,,,,,,,,,,,,,,,,,,,,,,170 MB,,,194 MB,,,,,,,205 MB,,,,,,,,219 MB
2025-04-15 15:22:00,166 MB,,,,,,,,,,,,,,,,,,,,,,193 MB,,,195 MB,,,,,,,210 MB,,,,,,,,223 MB
2025-04-15 15:22:20,169 MB,,,,,,,,,,,,,,,,,,,,,,194 MB,,,196 MB,,,,,,,205 MB,,,,,,,,225 MB
