sep=,
"Time","reducirimagen.openfaas-fn"
2025-04-15 15:19:00,3.11
2025-04-15 15:19:20,174
2025-04-15 15:19:40,184
2025-04-15 15:20:00,317
2025-04-15 15:20:20,317
2025-04-15 15:20:40,428
2025-04-15 15:21:00,427
2025-04-15 15:21:20,478
2025-04-15 15:21:40,448
2025-04-15 15:22:00,520
2025-04-15 15:22:20,538
2025-04-15 15:22:40,515
2025-04-15 15:23:00,536
2025-04-15 15:23:20,547
2025-04-15 15:23:40,545
2025-04-15 15:24:00,524
2025-04-15 15:24:20,539
2025-04-15 15:24:40,545
2025-04-15 15:25:00,521
2025-04-15 15:25:20,514
2025-04-15 15:25:40,543
2025-04-15 15:26:00,544
2025-04-15 15:26:20,491
2025-04-15 15:26:40,540
2025-04-15 15:27:00,534
2025-04-15 15:27:20,540
2025-04-15 15:27:40,547
2025-04-15 15:28:00,511
2025-04-15 15:28:20,516
2025-04-15 15:28:40,549
2025-04-15 15:29:00,543
2025-04-15 15:29:20,559
2025-04-15 15:29:40,551
2025-04-15 15:30:00,535
2025-04-15 15:30:20,563
2025-04-15 15:30:40,573
2025-04-15 15:31:00,524
2025-04-15 15:31:20,544
2025-04-15 15:31:40,541
2025-04-15 15:32:00,512
2025-04-15 15:32:20,558
2025-04-15 15:32:40,544
2025-04-15 15:33:00,538
2025-04-15 15:33:20,547
2025-04-15 15:33:40,540
2025-04-15 15:34:00,533
2025-04-15 15:34:20,2
2025-04-15 15:34:40,2
2025-04-15 15:35:00,2
2025-04-15 15:35:20,3.11
2025-04-15 15:35:40,3.11
2025-04-15 15:36:00,7.56
2025-04-15 15:36:20,194
2025-04-15 15:36:40,194
2025-04-15 15:37:00,303
2025-04-15 15:37:20,255
2025-04-15 15:37:40,393
2025-04-15 15:38:00,341
2025-04-15 15:38:20,435
2025-04-15 15:38:40,472
2025-04-15 15:39:00,527
2025-04-15 15:39:20,484
2025-04-15 15:39:40,541
2025-04-15 15:40:00,513
2025-04-15 15:40:20,517
2025-04-15 15:40:40,528
2025-04-15 15:41:00,538
2025-04-15 15:41:20,531
2025-04-15 15:41:40,486
2025-04-15 15:42:00,516
2025-04-15 15:42:20,500
2025-04-15 15:42:40,518
2025-04-15 15:43:00,540
2025-04-15 15:43:20,544
2025-04-15 15:43:40,528
2025-04-15 15:44:00,508
2025-04-15 15:44:20,538
2025-04-15 15:44:40,529
2025-04-15 15:45:00,520
2025-04-15 15:45:20,526
2025-04-15 15:45:40,523
2025-04-15 15:46:00,556
2025-04-15 15:46:20,518
2025-04-15 15:46:40,524
2025-04-15 15:47:00,522
2025-04-15 15:47:20,521
2025-04-15 15:47:40,490
2025-04-15 15:48:00,519
2025-04-15 15:48:20,515
2025-04-15 15:48:40,524
2025-04-15 15:49:00,495
2025-04-15 15:49:20,528
2025-04-15 15:49:40,533
2025-04-15 15:50:00,522
2025-04-15 15:50:20,479
2025-04-15 15:50:40,492
2025-04-15 15:51:00,520
2025-04-15 15:51:20,1.11
2025-04-15 15:51:40,1.11
2025-04-15 15:52:00,1.11
2025-04-15 15:52:20,1.11
2025-04-15 15:52:40,1.11
2025-04-15 15:53:00,2.22
2025-04-15 15:53:20,195
2025-04-15 15:53:40,194
2025-04-15 15:54:00,291
2025-04-15 15:54:20,311
2025-04-15 15:54:40,408
2025-04-15 15:55:00,398
2025-04-15 15:55:20,475
2025-04-15 15:55:40,421
2025-04-15 15:56:00,507
2025-04-15 15:56:20,501
2025-04-15 15:56:40,504
2025-04-15 15:57:00,492
2025-04-15 15:57:20,491
2025-04-15 15:57:40,501
2025-04-15 15:58:00,498
2025-04-15 15:58:20,494
2025-04-15 15:58:40,523
2025-04-15 15:59:00,512
2025-04-15 15:59:20,514
2025-04-15 15:59:40,523
2025-04-15 16:00:00,520
2025-04-15 16:00:20,521
2025-04-15 16:00:40,473
2025-04-15 16:01:00,526
2025-04-15 16:01:20,502
2025-04-15 16:01:40,507
2025-04-15 16:02:00,527
2025-04-15 16:02:20,524
2025-04-15 16:02:40,496
2025-04-15 16:03:00,532
2025-04-15 16:03:20,440
2025-04-15 16:03:40,494
2025-04-15 16:04:00,496
2025-04-15 16:04:20,434
2025-04-15 16:04:40,521
2025-04-15 16:05:00,502
2025-04-15 16:05:20,514
2025-04-15 16:05:40,498
2025-04-15 16:06:00,512
2025-04-15 16:06:20,505
2025-04-15 16:06:40,533
2025-04-15 16:07:00,513
2025-04-15 16:07:20,525
2025-04-15 16:07:40,514
2025-04-15 16:08:00,499
2025-04-15 16:08:20,3.11
2025-04-15 16:08:40,3.11
2025-04-15 16:09:00,3.11
2025-04-15 16:09:20,1.11
2025-04-15 16:09:40,1.11
2025-04-15 16:10:00,2.22
2025-04-15 16:10:20,194
2025-04-15 16:10:40,192
2025-04-15 16:11:00,330
2025-04-15 16:11:20,315
2025-04-15 16:11:40,415
2025-04-15 16:12:00,347
2025-04-15 16:12:20,457
2025-04-15 16:12:40,453
2025-04-15 16:13:00,512
2025-04-15 16:13:20,543
2025-04-15 16:13:40,512
2025-04-15 16:14:00,534
2025-04-15 16:14:20,536
2025-04-15 16:14:40,490
2025-04-15 16:15:00,506
2025-04-15 16:15:20,506
2025-04-15 16:15:40,516
2025-04-15 16:16:00,494
2025-04-15 16:16:20,536
2025-04-15 16:16:40,526
2025-04-15 16:17:00,540
2025-04-15 16:17:20,468
2025-04-15 16:17:40,540
2025-04-15 16:18:00,532
2025-04-15 16:18:20,544
2025-04-15 16:18:40,526
2025-04-15 16:19:00,507
2025-04-15 16:19:20,491
2025-04-15 16:19:40,525
2025-04-15 16:20:00,532
2025-04-15 16:20:20,525
2025-04-15 16:20:40,520
2025-04-15 16:21:00,500
2025-04-15 16:21:20,495
2025-04-15 16:21:40,517
2025-04-15 16:22:00,546
2025-04-15 16:22:20,529
2025-04-15 16:22:40,459
2025-04-15 16:23:00,527
2025-04-15 16:23:20,516
2025-04-15 16:23:40,541
2025-04-15 16:24:00,498
2025-04-15 16:24:20,538
2025-04-15 16:24:40,494
2025-04-15 16:25:00,475
2025-04-15 16:25:20,1.11
2025-04-15 16:25:40,1.11
2025-04-15 16:26:00,1.11
2025-04-15 16:26:20,1.11
2025-04-15 16:26:40,1.11
2025-04-15 16:27:00,8.22
2025-04-15 16:27:20,196
2025-04-15 16:27:40,189
2025-04-15 16:28:00,312
2025-04-15 16:28:20,320
2025-04-15 16:28:40,419
2025-04-15 16:29:00,426
2025-04-15 16:29:20,444
2025-04-15 16:29:40,371
2025-04-15 16:30:00,477
2025-04-15 16:30:20,533
2025-04-15 16:30:40,504
2025-04-15 16:31:00,513
2025-04-15 16:31:20,497
2025-04-15 16:31:40,501
2025-04-15 16:32:00,475
2025-04-15 16:32:20,501
2025-04-15 16:32:40,503
2025-04-15 16:33:00,530
2025-04-15 16:33:20,498
2025-04-15 16:33:40,458
2025-04-15 16:34:00,522
2025-04-15 16:34:20,522
2025-04-15 16:34:40,509
2025-04-15 16:35:00,476
2025-04-15 16:35:20,489
2025-04-15 16:35:40,492
2025-04-15 16:36:00,506
2025-04-15 16:36:20,472
2025-04-15 16:36:40,494
2025-04-15 16:37:00,507
2025-04-15 16:37:20,516
2025-04-15 16:37:40,488
2025-04-15 16:38:00,521
2025-04-15 16:38:20,527
2025-04-15 16:38:40,504
2025-04-15 16:39:00,511
2025-04-15 16:39:20,492
2025-04-15 16:39:40,504
2025-04-15 16:40:00,513
2025-04-15 16:40:20,499
2025-04-15 16:40:40,504
2025-04-15 16:41:00,491
2025-04-15 16:41:20,484
2025-04-15 16:41:40,504
2025-04-15 16:42:00,524
2025-04-15 16:42:20,2.00
2025-04-15 16:42:40,0
2025-04-15 16:43:00,0
2025-04-15 16:43:20,1.11
2025-04-15 16:43:40,1.11
2025-04-15 16:44:00,5.11
2025-04-15 16:44:20,194
2025-04-15 16:44:40,188
2025-04-15 16:45:00,332
2025-04-15 16:45:20,317
2025-04-15 16:45:40,412
2025-04-15 16:46:00,410
2025-04-15 16:46:20,477
2025-04-15 16:46:40,464
2025-04-15 16:47:00,511
2025-04-15 16:47:20,507
2025-04-15 16:47:40,536
2025-04-15 16:48:00,525
2025-04-15 16:48:20,528
2025-04-15 16:48:40,546
2025-04-15 16:49:00,545
2025-04-15 16:49:20,549
2025-04-15 16:49:40,517
2025-04-15 16:50:00,550
2025-04-15 16:50:20,543
2025-04-15 16:50:40,551
2025-04-15 16:51:00,517
2025-04-15 16:51:20,514
2025-04-15 16:51:40,520
2025-04-15 16:52:00,540
2025-04-15 16:52:20,537
2025-04-15 16:52:40,551
2025-04-15 16:53:00,540
2025-04-15 16:53:20,521
2025-04-15 16:53:40,474
2025-04-15 16:54:00,539
2025-04-15 16:54:20,495
2025-04-15 16:54:40,524
2025-04-15 16:55:00,563
2025-04-15 16:55:20,514
2025-04-15 16:55:40,568
2025-04-15 16:56:00,517
2025-04-15 16:56:20,536
2025-04-15 16:56:40,531
2025-04-15 16:57:00,529
2025-04-15 16:57:20,532
2025-04-15 16:57:40,519
2025-04-15 16:58:00,504
2025-04-15 16:58:20,535
2025-04-15 16:58:40,519
2025-04-15 16:59:00,541
2025-04-15 16:59:20,0
2025-04-15 16:59:40,0
2025-04-15 17:00:00,1.11
2025-04-15 17:00:20,1.11
2025-04-15 17:00:40,1.11
2025-04-15 17:01:00,3.11
2025-04-15 17:01:20,196
2025-04-15 17:01:40,186
2025-04-15 17:02:00,334
2025-04-15 17:02:20,324
2025-04-15 17:02:40,413
2025-04-15 17:03:00,399
2025-04-15 17:03:20,481
2025-04-15 17:03:40,464
2025-04-15 17:04:00,480
2025-04-15 17:04:20,520
2025-04-15 17:04:40,519
2025-04-15 17:05:00,507
2025-04-15 17:05:20,527
2025-04-15 17:05:40,492
2025-04-15 17:06:00,520
2025-04-15 17:06:20,540
2025-04-15 17:06:40,531
2025-04-15 17:07:00,547
2025-04-15 17:07:20,515
2025-04-15 17:07:40,549
2025-04-15 17:08:00,523
2025-04-15 17:08:20,513
2025-04-15 17:08:40,517
2025-04-15 17:09:00,500
2025-04-15 17:09:20,514
2025-04-15 17:09:40,516
2025-04-15 17:10:00,496
2025-04-15 17:10:20,552
2025-04-15 17:10:40,525
2025-04-15 17:11:00,545
2025-04-15 17:11:20,524
2025-04-15 17:11:40,515
2025-04-15 17:12:00,525
2025-04-15 17:12:20,514
2025-04-15 17:12:40,558
2025-04-15 17:13:00,484
2025-04-15 17:13:20,533
2025-04-15 17:13:40,520
2025-04-15 17:14:00,515
2025-04-15 17:14:20,548
2025-04-15 17:14:40,506
2025-04-15 17:15:00,524
2025-04-15 17:15:20,535
2025-04-15 17:15:40,528
2025-04-15 17:16:00,543
2025-04-15 17:16:20,3.11
2025-04-15 17:16:40,0
2025-04-15 17:17:00,0
2025-04-15 17:17:20,0
2025-04-15 17:17:40,1.11
2025-04-15 17:18:00,3.11
2025-04-15 17:18:20,194
2025-04-15 17:18:40,187
2025-04-15 17:19:00,327
2025-04-15 17:19:20,322
2025-04-15 17:19:40,422
2025-04-15 17:20:00,408
2025-04-15 17:20:20,474
2025-04-15 17:20:40,471
2025-04-15 17:21:00,495
2025-04-15 17:21:20,513
2025-04-15 17:21:40,390
2025-04-15 17:22:00,510
2025-04-15 17:22:20,529
2025-04-15 17:22:40,467
2025-04-15 17:23:00,479
2025-04-15 17:23:20,535
2025-04-15 17:23:40,519
2025-04-15 17:24:00,545
2025-04-15 17:24:20,532
2025-04-15 17:24:40,529
2025-04-15 17:25:00,530
2025-04-15 17:25:20,535
2025-04-15 17:25:40,536
2025-04-15 17:26:00,509
2025-04-15 17:26:20,536
2025-04-15 17:26:40,525
2025-04-15 17:27:00,526
2025-04-15 17:27:20,535
2025-04-15 17:27:40,522
2025-04-15 17:28:00,488
2025-04-15 17:28:20,519
2025-04-15 17:28:40,562
2025-04-15 17:29:00,554
2025-04-15 17:29:20,547
2025-04-15 17:29:40,517
2025-04-15 17:30:00,522
2025-04-15 17:30:20,554
2025-04-15 17:30:40,549
2025-04-15 17:31:00,543
2025-04-15 17:31:20,538
2025-04-15 17:31:40,530
2025-04-15 17:32:00,473
2025-04-15 17:32:20,549
2025-04-15 17:32:40,499
2025-04-15 17:33:00,519
2025-04-15 17:33:20,1.11
2025-04-15 17:33:40,1.11
2025-04-15 17:34:00,3.11
2025-04-15 17:34:20,3.11
2025-04-15 17:34:40,3.11
2025-04-15 17:35:00,3.11
2025-04-15 17:35:20,194
2025-04-15 17:35:40,186
2025-04-15 17:36:00,309
2025-04-15 17:36:20,314
2025-04-15 17:36:40,388
2025-04-15 17:37:00,342
2025-04-15 17:37:20,470
2025-04-15 17:37:40,462
2025-04-15 17:38:00,514
2025-04-15 17:38:20,512
2025-04-15 17:38:40,484
2025-04-15 17:39:00,534
2025-04-15 17:39:20,506
2025-04-15 17:39:40,524
2025-04-15 17:40:00,539
2025-04-15 17:40:20,536
2025-04-15 17:40:40,532
2025-04-15 17:41:00,530
2025-04-15 17:41:20,496
2025-04-15 17:41:40,527
2025-04-15 17:42:00,495
2025-04-15 17:42:20,521
2025-04-15 17:42:40,483
2025-04-15 17:43:00,516
2025-04-15 17:43:20,452
2025-04-15 17:43:40,510
2025-04-15 17:44:00,524
2025-04-15 17:44:20,527
2025-04-15 17:44:40,518
2025-04-15 17:45:00,524
2025-04-15 17:45:20,522
