sep=,
"Time","200"
2025-04-06 21:33:02,0.984
2025-04-06 21:33:04,1.12
2025-04-06 21:33:06,1.44
2025-04-06 21:33:08,1.45
2025-04-06 21:33:10,1.18
2025-04-06 21:33:12,1.15
2025-04-06 21:33:14,1.17
2025-04-06 21:33:16,1.21
2025-04-06 21:33:18,1.24
2025-04-06 21:33:20,1.21
2025-04-06 21:33:22,1.16
2025-04-06 21:33:24,1.15
2025-04-06 21:33:26,1.20
2025-04-06 21:33:28,1.20
2025-04-06 21:33:30,1.21
2025-04-06 21:33:32,1.21
2025-04-06 21:33:34,1.17
2025-04-06 21:33:36,1.14
2025-04-06 21:33:38,1.19
2025-04-06 21:33:40,1.21
2025-04-06 21:33:42,1.24
2025-04-06 21:33:44,1.03
2025-04-06 21:33:46,0.749
2025-04-06 21:33:48,0.611
2025-04-06 21:33:50,0.649
2025-04-06 21:33:52,0.660
2025-04-06 21:33:54,0.607
2025-04-06 21:33:56,0.609
2025-04-06 21:33:58,0.612
2025-04-06 21:34:00,0.634
2025-04-06 21:34:02,0.677
2025-04-06 21:34:04,0.644
2025-04-06 21:34:06,0.586
2025-04-06 21:34:08,0.608
2025-04-06 21:34:10,0.584
2025-04-06 21:34:12,0.602
2025-04-06 21:34:14,0.624
2025-04-06 21:34:16,0.586
2025-04-06 21:34:18,0.582
2025-04-06 21:34:20,0.662
2025-04-06 21:34:22,0.795
2025-04-06 21:34:24,0.764
2025-04-06 21:34:26,0.597
2025-04-06 21:34:28,0.469
2025-04-06 21:34:30,0.447
2025-04-06 21:34:32,0.462
2025-04-06 21:34:34,0.451
2025-04-06 21:34:36,0.457
2025-04-06 21:34:38,0.477
2025-04-06 21:34:40,0.508
2025-04-06 21:34:42,0.560
2025-04-06 21:34:44,0.516
2025-04-06 21:34:46,0.487
2025-04-06 21:34:48,0.525
2025-04-06 21:34:50,0.514
2025-04-06 21:34:52,0.470
2025-04-06 21:34:54,0.444
2025-04-06 21:34:56,0.494
2025-04-06 21:34:58,0.552
2025-04-06 21:35:00,0.532
2025-04-06 21:35:02,0.501
2025-04-06 21:35:04,0.469
2025-04-06 21:35:06,0.437
2025-04-06 21:35:08,0.413
2025-04-06 21:35:10,0.393
2025-04-06 21:35:12,0.410
2025-04-06 21:35:14,0.434
2025-04-06 21:35:16,0.457
2025-04-06 21:35:18,0.478
2025-04-06 21:35:20,0.439
2025-04-06 21:35:22,0.400
2025-04-06 21:35:24,0.376
2025-04-06 21:35:26,0.387
2025-04-06 21:35:28,0.396
2025-04-06 21:35:30,0.397
2025-04-06 21:35:32,0.411
2025-04-06 21:35:34,NaN
2025-04-06 21:35:36,NaN
2025-04-06 21:35:38,NaN
2025-04-06 21:35:40,NaN
2025-04-06 21:35:42,NaN
2025-04-06 21:35:44,NaN
2025-04-06 21:35:46,NaN
2025-04-06 21:35:48,NaN
2025-04-06 21:35:50,NaN
2025-04-06 21:35:52,NaN
2025-04-06 21:35:54,NaN
2025-04-06 21:35:56,NaN
