sep=,
"Time","200","502"
2025-04-07 22:35:00,NaN,NaN
2025-04-07 22:35:02,NaN,NaN
2025-04-07 22:35:04,NaN,NaN
2025-04-07 22:35:06,NaN,NaN
2025-04-07 22:35:08,NaN,NaN
2025-04-07 22:35:10,NaN,NaN
2025-04-07 22:35:12,NaN,NaN
2025-04-07 22:35:14,NaN,NaN
2025-04-07 22:35:16,NaN,NaN
2025-04-07 22:35:18,0.539,NaN
2025-04-07 22:35:20,0.863,NaN
2025-04-07 22:35:22,1.10,NaN
2025-04-07 22:35:24,1.09,NaN
2025-04-07 22:35:26,1.03,NaN
2025-04-07 22:35:28,1.03,NaN
2025-04-07 22:35:30,1.04,NaN
2025-04-07 22:35:32,1.09,NaN
2025-04-07 22:35:34,1.14,NaN
2025-04-07 22:35:36,1.07,NaN
2025-04-07 22:35:38,1.02,NaN
2025-04-07 22:35:40,1.06,NaN
2025-04-07 22:35:42,1.06,NaN
2025-04-07 22:35:44,1.03,NaN
2025-04-07 22:35:46,1.03,NaN
2025-04-07 22:35:48,1.00,NaN
2025-04-07 22:35:50,1.01,NaN
2025-04-07 22:35:52,1.01,NaN
2025-04-07 22:35:54,1.05,NaN
2025-04-07 22:35:56,1.08,NaN
2025-04-07 22:35:58,1.08,NaN
2025-04-07 22:36:00,0.796,NaN
2025-04-07 22:36:02,0.604,NaN
2025-04-07 22:36:04,0.603,NaN
2025-04-07 22:36:06,0.655,NaN
2025-04-07 22:36:08,0.714,NaN
2025-04-07 22:36:10,0.685,NaN
2025-04-07 22:36:12,0.637,NaN
2025-04-07 22:36:14,0.627,NaN
2025-04-07 22:36:16,0.626,NaN
2025-04-07 22:36:18,NaN,NaN
2025-04-07 22:36:20,NaN,NaN
2025-04-07 22:36:22,NaN,NaN
2025-04-07 22:36:24,NaN,NaN
2025-04-07 22:36:26,NaN,NaN
2025-04-07 22:36:28,NaN,NaN
2025-04-07 22:36:30,NaN,NaN
2025-04-07 22:36:32,NaN,NaN
2025-04-07 22:36:34,NaN,NaN
2025-04-07 22:36:36,NaN,NaN
2025-04-07 22:36:38,NaN,NaN
2025-04-07 22:36:40,NaN,NaN
2025-04-07 22:36:42,NaN,NaN
2025-04-07 22:36:44,NaN,NaN
2025-04-07 22:36:46,NaN,NaN
2025-04-07 22:36:48,NaN,NaN
2025-04-07 22:36:50,NaN,NaN
2025-04-07 22:36:52,NaN,NaN
2025-04-07 22:36:54,NaN,NaN
2025-04-07 22:36:56,NaN,NaN
2025-04-07 22:36:58,NaN,NaN
2025-04-07 22:37:00,NaN,NaN
2025-04-07 22:37:02,NaN,NaN
2025-04-07 22:37:04,NaN,NaN
2025-04-07 22:37:06,NaN,NaN
2025-04-07 22:37:08,NaN,NaN
2025-04-07 22:37:10,NaN,NaN
2025-04-07 22:37:12,NaN,NaN
2025-04-07 22:37:14,NaN,NaN
2025-04-07 22:37:16,NaN,NaN
2025-04-07 22:37:18,NaN,NaN
2025-04-07 22:37:20,NaN,NaN
2025-04-07 22:37:22,NaN,NaN
2025-04-07 22:37:24,NaN,NaN
2025-04-07 22:37:26,NaN,NaN
2025-04-07 22:37:28,NaN,NaN
2025-04-07 22:37:30,NaN,NaN
2025-04-07 22:37:32,NaN,NaN
2025-04-07 22:37:34,NaN,NaN
2025-04-07 22:37:36,NaN,NaN
2025-04-07 22:37:38,NaN,NaN
2025-04-07 22:37:40,NaN,NaN
2025-04-07 22:37:42,NaN,NaN
2025-04-07 22:37:44,NaN,NaN
2025-04-07 22:37:46,NaN,NaN
2025-04-07 22:37:48,NaN,NaN
2025-04-07 22:37:50,NaN,NaN
2025-04-07 22:37:52,NaN,NaN
2025-04-07 22:37:54,NaN,NaN
2025-04-07 22:37:56,NaN,NaN
2025-04-07 22:37:58,NaN,NaN
2025-04-07 22:38:00,NaN,NaN
2025-04-07 22:38:02,NaN,NaN
2025-04-07 22:38:04,NaN,NaN
2025-04-07 22:38:06,NaN,NaN
2025-04-07 22:38:08,NaN,NaN
2025-04-07 22:38:10,NaN,NaN
2025-04-07 22:38:12,NaN,NaN
2025-04-07 22:38:14,NaN,NaN
2025-04-07 22:38:16,NaN,NaN
2025-04-07 22:38:18,NaN,NaN
2025-04-07 22:38:20,NaN,NaN
2025-04-07 22:38:22,NaN,NaN
2025-04-07 22:38:24,NaN,NaN
2025-04-07 22:38:26,NaN,NaN
2025-04-07 22:38:28,NaN,NaN
2025-04-07 22:38:30,NaN,NaN
2025-04-07 22:38:32,NaN,NaN
2025-04-07 22:38:34,NaN,NaN
2025-04-07 22:38:36,NaN,NaN
2025-04-07 22:38:38,NaN,NaN
2025-04-07 22:38:40,NaN,NaN
2025-04-07 22:38:42,0.541,NaN
2025-04-07 22:38:44,0.741,NaN
2025-04-07 22:38:46,1.08,NaN
2025-04-07 22:38:48,1.12,NaN
2025-04-07 22:38:50,1.02,NaN
2025-04-07 22:38:52,1.04,NaN
2025-04-07 22:38:54,1.01,NaN
2025-04-07 22:38:56,0.996,NaN
2025-04-07 22:38:58,1.05,NaN
2025-04-07 22:39:00,1.03,NaN
2025-04-07 22:39:02,0.998,NaN
2025-04-07 22:39:04,1.04,NaN
2025-04-07 22:39:06,1.05,NaN
2025-04-07 22:39:08,1.02,NaN
2025-04-07 22:39:10,0.988,NaN
2025-04-07 22:39:12,0.979,NaN
2025-04-07 22:39:14,1.05,NaN
2025-04-07 22:39:16,1.06,NaN
2025-04-07 22:39:18,1.03,NaN
2025-04-07 22:39:20,0.986,NaN
2025-04-07 22:39:22,0.964,NaN
2025-04-07 22:39:24,1.07,NaN
2025-04-07 22:39:26,1.12,NaN
2025-04-07 22:39:28,1.10,NaN
2025-04-07 22:39:30,0.751,NaN
2025-04-07 22:39:32,0.586,NaN
2025-04-07 22:39:34,0.678,NaN
2025-04-07 22:39:36,0.720,NaN
2025-04-07 22:39:38,0.707,NaN
2025-04-07 22:39:40,0.623,NaN
2025-04-07 22:39:42,0.647,NaN
2025-04-07 22:39:44,0.650,NaN
2025-04-07 22:39:46,0.634,NaN
2025-04-07 22:39:48,0.769,NaN
2025-04-07 22:39:50,0.760,NaN
2025-04-07 22:39:52,0.729,NaN
2025-04-07 22:39:54,0.814,NaN
2025-04-07 22:39:56,0.884,NaN
2025-04-07 22:39:58,0.910,NaN
2025-04-07 22:40:00,0.798,NaN
2025-04-07 22:40:02,0.693,NaN
2025-04-07 22:40:04,0.660,NaN
2025-04-07 22:40:06,0.652,NaN
2025-04-07 22:40:08,0.654,NaN
2025-04-07 22:40:10,0.578,NaN
2025-04-07 22:40:12,0.563,NaN
2025-04-07 22:40:14,0.543,NaN
2025-04-07 22:40:16,0.541,NaN
2025-04-07 22:40:18,0.548,NaN
2025-04-07 22:40:20,0.494,NaN
2025-04-07 22:40:22,0.520,NaN
2025-04-07 22:40:24,0.546,NaN
2025-04-07 22:40:26,0.564,NaN
2025-04-07 22:40:28,0.610,NaN
2025-04-07 22:40:30,0.550,NaN
2025-04-07 22:40:32,0.485,NaN
2025-04-07 22:40:34,0.525,NaN
2025-04-07 22:40:36,0.588,NaN
2025-04-07 22:40:38,0.548,NaN
2025-04-07 22:40:40,0.471,NaN
2025-04-07 22:40:42,0.482,NaN
2025-04-07 22:40:44,0.570,NaN
2025-04-07 22:40:46,0.578,NaN
2025-04-07 22:40:48,0.514,NaN
2025-04-07 22:40:50,0.444,NaN
2025-04-07 22:40:52,0.391,NaN
2025-04-07 22:40:54,0.387,NaN
2025-04-07 22:40:56,0.456,NaN
2025-04-07 22:40:58,0.474,NaN
2025-04-07 22:41:00,0.411,NaN
2025-04-07 22:41:02,0.385,NaN
2025-04-07 22:41:04,0.409,NaN
2025-04-07 22:41:06,0.416,NaN
2025-04-07 22:41:08,0.417,NaN
2025-04-07 22:41:10,0.655,NaN
2025-04-07 22:41:12,NaN,NaN
2025-04-07 22:41:14,NaN,NaN
2025-04-07 22:41:16,NaN,NaN
2025-04-07 22:41:18,NaN,NaN
2025-04-07 22:41:20,NaN,NaN
2025-04-07 22:41:22,NaN,NaN
2025-04-07 22:41:24,NaN,NaN
2025-04-07 22:41:26,NaN,NaN
2025-04-07 22:41:28,NaN,NaN
2025-04-07 22:41:30,NaN,NaN
2025-04-07 22:41:32,NaN,NaN
2025-04-07 22:41:34,NaN,NaN
2025-04-07 22:41:36,NaN,NaN
2025-04-07 22:41:38,NaN,NaN
2025-04-07 22:41:40,NaN,NaN
2025-04-07 22:41:42,NaN,NaN
2025-04-07 22:41:44,NaN,NaN
2025-04-07 22:41:46,NaN,NaN
2025-04-07 22:41:48,NaN,NaN
2025-04-07 22:41:50,NaN,NaN
2025-04-07 22:41:52,NaN,NaN
2025-04-07 22:41:54,NaN,NaN
2025-04-07 22:41:56,NaN,NaN
2025-04-07 22:41:58,NaN,NaN
2025-04-07 22:42:00,NaN,NaN
2025-04-07 22:42:02,NaN,NaN
2025-04-07 22:42:04,NaN,NaN
2025-04-07 22:42:06,NaN,NaN
2025-04-07 22:42:08,NaN,NaN
2025-04-07 22:42:10,NaN,NaN
2025-04-07 22:42:12,NaN,NaN
2025-04-07 22:42:14,0.510,NaN
2025-04-07 22:42:16,0.856,NaN
2025-04-07 22:42:18,1.10,NaN
2025-04-07 22:42:20,1.26,NaN
2025-04-07 22:42:22,1.21,NaN
2025-04-07 22:42:24,1.08,NaN
2025-04-07 22:42:26,1.04,NaN
2025-04-07 22:42:28,1.10,NaN
2025-04-07 22:42:30,1.12,NaN
2025-04-07 22:42:32,1.03,NaN
2025-04-07 22:42:34,1.03,NaN
2025-04-07 22:42:36,1.07,NaN
2025-04-07 22:42:38,1.07,NaN
2025-04-07 22:42:40,1.04,NaN
2025-04-07 22:42:42,0.978,NaN
2025-04-07 22:42:44,1.01,NaN
2025-04-07 22:42:46,1.06,NaN
2025-04-07 22:42:48,1.05,NaN
2025-04-07 22:42:50,1.02,NaN
2025-04-07 22:42:52,0.983,NaN
2025-04-07 22:42:54,1.03,NaN
2025-04-07 22:42:56,1.12,NaN
2025-04-07 22:42:58,1.12,NaN
2025-04-07 22:43:00,0.879,NaN
2025-04-07 22:43:02,0.650,NaN
2025-04-07 22:43:04,0.648,NaN
2025-04-07 22:43:06,0.803,NaN
2025-04-07 22:43:08,0.862,NaN
2025-04-07 22:43:10,0.736,NaN
2025-04-07 22:43:12,0.630,NaN
2025-04-07 22:43:14,0.617,NaN
2025-04-07 22:43:16,0.654,NaN
2025-04-07 22:43:18,0.699,NaN
2025-04-07 22:43:20,0.661,NaN
2025-04-07 22:43:22,0.584,NaN
2025-04-07 22:43:24,0.638,NaN
2025-04-07 22:43:26,0.728,NaN
2025-04-07 22:43:28,0.716,NaN
2025-04-07 22:43:30,0.699,NaN
2025-04-07 22:43:32,0.708,NaN
2025-04-07 22:43:34,0.785,NaN
2025-04-07 22:43:36,0.835,NaN
2025-04-07 22:43:38,0.781,NaN
2025-04-07 22:43:40,0.607,NaN
2025-04-07 22:43:42,0.508,NaN
2025-04-07 22:43:44,0.531,NaN
2025-04-07 22:43:46,0.545,NaN
2025-04-07 22:43:48,0.553,NaN
2025-04-07 22:43:50,0.530,NaN
2025-04-07 22:43:52,0.513,NaN
2025-04-07 22:43:54,0.505,NaN
2025-04-07 22:43:56,0.465,NaN
2025-04-07 22:43:58,0.471,NaN
2025-04-07 22:44:00,0.468,NaN
2025-04-07 22:44:02,0.450,NaN
2025-04-07 22:44:04,0.465,NaN
2025-04-07 22:44:06,0.514,NaN
2025-04-07 22:44:08,0.516,NaN
2025-04-07 22:44:10,0.468,NaN
2025-04-07 22:44:12,0.491,NaN
2025-04-07 22:44:14,0.508,NaN
2025-04-07 22:44:16,0.533,NaN
2025-04-07 22:44:18,0.599,NaN
2025-04-07 22:44:20,0.475,NaN
2025-04-07 22:44:22,0.380,NaN
2025-04-07 22:44:24,0.442,NaN
2025-04-07 22:44:26,0.454,NaN
2025-04-07 22:44:28,0.424,NaN
2025-04-07 22:44:30,0.441,NaN
2025-04-07 22:44:32,0.433,NaN
2025-04-07 22:44:34,0.404,NaN
2025-04-07 22:44:36,0.387,NaN
2025-04-07 22:44:38,0.428,NaN
2025-04-07 22:44:40,0.427,NaN
2025-04-07 22:44:42,0.440,NaN
2025-04-07 22:44:44,0.499,NaN
2025-04-07 22:44:46,0.483,NaN
2025-04-07 22:44:48,0.435,NaN
2025-04-07 22:44:50,0.389,NaN
2025-04-07 22:44:52,0.388,NaN
2025-04-07 22:44:54,0.427,NaN
2025-04-07 22:44:56,0.450,NaN
2025-04-07 22:44:58,0.439,NaN
