Time,reducirimagen-755894457-9sp7j,reducirimagen-755894457-zhvt9
2025-04-14 17:06:00,,0.1561
2025-04-14 17:06:15,,0.9911
2025-04-14 17:06:30,,1.0388
2025-04-14 17:06:45,,0.8426
2025-04-14 17:07:00,0.0655,0.0977
2025-04-14 17:07:15,0.0596,0.0071
2025-04-14 17:07:30,,0.0128
2025-04-14 17:07:45,,0.0119
2025-04-14 17:08:00,,0.013
2025-04-14 17:08:15,,0.0172
2025-04-14 17:08:30,,0.0138
2025-04-14 17:08:45,,0.0104
2025-04-14 17:09:00,,0.0132
2025-04-14 17:09:15,,0.0149
2025-04-14 17:09:30,,0.012
2025-04-14 17:09:45,,0.0131
2025-04-14 17:10:00,,0.0123
2025-04-14 17:10:15,,0.0113
2025-04-14 17:10:30,,0.0158
2025-04-14 17:10:45,,0.0143
2025-04-14 17:11:00,,0.0117
2025-04-14 17:11:15,,0.0123
2025-04-14 17:11:30,,0.0155
2025-04-14 17:11:45,,0.0154
2025-04-14 17:12:00,,0.0109
2025-04-14 17:12:15,,0.0131
2025-04-14 17:12:30,,0.0111
2025-04-14 17:12:45,,0.0127
2025-04-14 17:13:00,,0.0124
2025-04-14 17:13:15,,0.0118
2025-04-14 17:13:30,,0.0184
2025-04-14 17:13:45,,0.014
2025-04-14 17:14:00,,0.0101
2025-04-14 17:14:15,,0.0103
2025-04-14 17:14:30,,0.0148
2025-04-14 17:14:45,,0.0193
2025-04-14 17:15:00,,0.0115
2025-04-14 17:15:15,,0.0098
2025-04-14 17:15:30,,0.0167
2025-04-14 17:15:45,,0.0162
2025-04-14 17:16:00,,0.0105
2025-04-14 17:16:15,,0.012
2025-04-14 17:16:30,,0.0148
2025-04-14 17:16:45,,0.015
2025-04-14 17:17:00,,0.0144
2025-04-14 17:17:15,,0.0087
2025-04-14 17:17:30,,0.016
2025-04-14 17:17:45,,0.0143
2025-04-14 17:18:00,,0.0104
2025-04-14 17:18:15,,0.014
2025-04-14 17:18:30,,0.0114
2025-04-14 17:18:45,,0.012
2025-04-14 17:19:00,,0.0121
2025-04-14 17:19:15,,0.0142
2025-04-14 17:19:30,,0.0111
2025-04-14 17:19:45,,0.0118
2025-04-14 17:20:00,,0.0165
2025-04-14 17:20:15,,0.0162
2025-04-14 17:20:30,,0.0114
2025-04-14 17:20:45,,0.0162
2025-04-14 17:21:00,,0.009
