sep=,
"Time","reducirimagen-755894457-2gnh2","reducirimagen-755894457-2wxc5","reducirimagen-755894457-56tht","reducirimagen-755894457-5hjsq","reducirimagen-755894457-hvrg6","reducirimagen-755894457-kmvn5","reducirimagen-755894457-q65rl","reducirimagen-755894457-rm967","reducirimagen-755894457-t28nh","reducirimagen-755894457-tp252","reducirimagen-755894457-zhvt9","reducirimagen-755894457-zth77"
2025-04-14 20:57:00,,,88.8 MB,,,,,,,,215 MB,180 MB
2025-04-14 20:57:15,,,88.8 MB,,,,,,,,215 MB,180 MB
2025-04-14 20:57:30,,,88.8 MB,,,,,,,,215 MB,180 MB
2025-04-14 20:57:45,,0 B,88.8 MB,,,,,,,,215 MB,180 MB
2025-04-14 20:58:00,,21.8 MB,88.8 MB,,,,,,,,215 MB,180 MB
2025-04-14 20:58:15,,21.8 MB,88.8 MB,,,,,,,,215 MB,180 MB
2025-04-14 20:58:30,,21.8 MB,88.8 MB,,,,,,,,215 MB,180 MB
2025-04-14 20:58:45,,21.8 MB,88.8 MB,,,,,,,,215 MB,180 MB
2025-04-14 20:59:00,,21.8 MB,88.8 MB,,,,,,,,215 MB,180 MB
2025-04-14 20:59:15,,21.8 MB,88.8 MB,,,,,,,,215 MB,180 MB
2025-04-14 20:59:30,,21.8 MB,88.8 MB,,,,,,,,215 MB,180 MB
2025-04-14 20:59:45,,21.8 MB,88.8 MB,,,,,,,,215 MB,180 MB
2025-04-14 21:00:00,,21.8 MB,88.8 MB,,,,,,,,215 MB,180 MB
2025-04-14 21:00:15,,21.8 MB,88.8 MB,,,,,,,,214 MB,180 MB
2025-04-14 21:00:30,,21.8 MB,88.8 MB,,,,,,,,212 MB,180 MB
2025-04-14 21:00:45,,21.8 MB,,,,,,,,,212 MB,
2025-04-14 21:01:00,,21.8 MB,,,,,,,,,212 MB,
2025-04-14 21:01:15,,21.8 MB,,,,,,,,,212 MB,
2025-04-14 21:01:30,,21.8 MB,,,,,,,,,212 MB,
2025-04-14 21:01:45,,21.8 MB,,,,,,,,,212 MB,
2025-04-14 21:02:00,,21.8 MB,,,,,,,,,212 MB,
2025-04-14 21:02:15,,21.8 MB,,,,,,,,,212 MB,
2025-04-14 21:02:30,,21.8 MB,,,,,,,,,212 MB,
2025-04-14 21:02:45,,21.8 MB,,,,,,,,,212 MB,
2025-04-14 21:03:00,,,,,,,,,,,212 MB,
2025-04-14 21:03:15,,,,,,,,,,,212 MB,
2025-04-14 21:03:30,,,,,,,,,,,212 MB,
2025-04-14 21:03:45,,,,,,,,,,,212 MB,
2025-04-14 21:04:00,,,,,,,,,,,212 MB,
2025-04-14 21:04:15,,,,,,,,,,,212 MB,
2025-04-14 21:04:30,,,,,,,,,,,212 MB,
