Time,Col1 (MB),Col2 (MB),Col3 (MB),Col4 (MB),Col5 (MB),Col6 (MB),Col7 (MB),Col8 (MB),Col9 (MB)
2025-04-14 17:06:00,197.0 MB,,200.0 MB,197.0 MB,22.4 MB,168.0 MB,177.0 MB,169.0 MB,235.12 MB
2025-04-14 17:06:15,197.0 MB,,200.0 MB,197.0 MB,22.4 MB,168.0 MB,177.0 MB,169.0 MB,236.0 MB
2025-04-14 17:06:30,,0.0 MB,,197.0 MB,22.4 MB,168.0 MB,,,235.0 MB
2025-04-14 17:06:45,,13.46 MB,,197.0 MB,22.4 MB,168.0 MB,,,232.0 MB
2025-04-14 17:07:00,,62.67 MB,,197.0 MB,22.4 MB,168.0 MB,,,232.0 MB
2025-04-14 17:07:15,,73.1 MB,,197.0 MB,22.4 MB,168.0 MB,,,235.43 MB
2025-04-14 17:07:30,,73.1 MB,,197.0 MB,22.4 MB,168.0 MB,,,236.0 MB
2025-04-14 17:07:45,,73.1 MB,,197.0 MB,22.4 MB,168.0 MB,,,236.0 MB
2025-04-14 17:08:00,,73.1 MB,,197.0 MB,22.4 MB,168.0 MB,,,236.0 MB
2025-04-14 17:08:15,,73.1 MB,,197.0 MB,22.4 MB,168.0 MB,,,236.0 MB
2025-04-14 17:08:30,,73.1 MB,,197.0 MB,22.4 MB,168.0 MB,,,236.0 MB
2025-04-14 17:08:45,,73.1 MB,,197.0 MB,22.4 MB,168.0 MB,,,236.0 MB
2025-04-14 17:09:00,,73.1 MB,,,,,,,236.0 MB
2025-04-14 17:09:15,,73.1 MB,,,,,,,236.0 MB
2025-04-14 17:09:30,,73.1 MB,,,,,,,236.0 MB
2025-04-14 17:09:45,,73.1 MB,,,,,,,236.0 MB
2025-04-14 17:10:00,,73.1 MB,,,,,,,236.0 MB
2025-04-14 17:10:15,,73.1 MB,,,,,,,236.0 MB
2025-04-14 17:10:30,,73.1 MB,,,,,,,236.0 MB
2025-04-14 17:10:45,,73.1 MB,,,,,,,235.14 MB
2025-04-14 17:11:00,,73.1 MB,,,,,,,234.0 MB
2025-04-14 17:11:15,,73.1 MB,,,,,,,234.0 MB
2025-04-14 17:11:30,,73.1 MB,,,,,,,234.0 MB
2025-04-14 17:11:45,,73.1 MB,,,,,,,234.0 MB
2025-04-14 17:12:00,,73.1 MB,,,,,,,234.0 MB
2025-04-14 17:12:15,,,,,,,,,234.0 MB
2025-04-14 17:12:30,,,,,,,,,234.0 MB
2025-04-14 17:12:45,,,,,,,,,234.43 MB
2025-04-14 17:13:00,,,,,,,,,235.0 MB
2025-04-14 17:13:15,,,,,,,,,235.0 MB
2025-04-14 17:13:30,,,,,,,,,235.0 MB
2025-04-14 17:13:45,,,,,,,,,235.0 MB
2025-04-14 17:14:00,,,,,,,,,235.0 MB
2025-04-14 17:14:15,,,,,,,,,235.0 MB
2025-04-14 17:14:30,,,,,,,,,235.0 MB
2025-04-14 17:14:45,,,,,,,,,234.57 MB
2025-04-14 17:15:00,,,,,,,,,234.0 MB
2025-04-14 17:15:15,,,,,,,,,234.0 MB
2025-04-14 17:15:30,,,,,,,,,234.0 MB
2025-04-14 17:15:45,,,,,,,,,234.0 MB
2025-04-14 17:16:00,,,,,,,,,234.0 MB
2025-04-14 17:16:15,,,,,,,,,234.0 MB
2025-04-14 17:16:30,,,,,,,,,234.0 MB
2025-04-14 17:16:45,,,,,,,,,234.0 MB
2025-04-14 17:17:00,,,,,,,,,234.0 MB
2025-04-14 17:17:15,,,,,,,,,234.0 MB
2025-04-14 17:17:30,,,,,,,,,234.0 MB
2025-04-14 17:17:45,,,,,,,,,234.0 MB
2025-04-14 17:18:00,,,,,,,,,234.0 MB
2025-04-14 17:18:15,,,,,,,,,234.0 MB
2025-04-14 17:18:30,,,,,,,,,234.0 MB
2025-04-14 17:18:45,,,,,,,,,234.43 MB
2025-04-14 17:19:00,,,,,,,,,235.0 MB
2025-04-14 17:19:15,,,,,,,,,235.0 MB
2025-04-14 17:19:30,,,,,,,,,235.0 MB
2025-04-14 17:19:45,,,,,,,,,235.0 MB
2025-04-14 17:20:00,,,,,,,,,235.0 MB
2025-04-14 17:20:15,,,,,,,,,235.0 MB
2025-04-14 17:20:30,,,,,,,,,235.0 MB
2025-04-14 17:20:45,,,,,,,,,235.0 MB
2025-04-14 17:21:00,,,,,,,,,235.0 MB
