sep=,
"Time","reducirimagen-755894457-6p7gh","reducirimagen-755894457-6pgmz","reducirimagen-755894457-9td2l","reducirimagen-755894457-q27z7","reducirimagen-755894457-szzsl","reducirimagen-755894457-zhvt9"
2025-04-05 18:19:00,,194 MB,200 MB,171 MB,201 MB,237 MB
2025-04-05 18:19:01,,194 MB,200 MB,171 MB,201 MB,237 MB
2025-04-05 18:19:02,,194 MB,200 MB,171 MB,201 MB,237 MB
2025-04-05 18:19:03,,194 MB,200 MB,171 MB,201 MB,237 MB
2025-04-05 18:19:04,,194 MB,200 MB,171 MB,201 MB,237 MB
2025-04-05 18:19:05,,194 MB,200 MB,171 MB,201 MB,237 MB
2025-04-05 18:19:06,,194 MB,200 MB,171 MB,201 MB,237 MB
2025-04-05 18:19:07,,194 MB,200 MB,171 MB,201 MB,237 MB
2025-04-05 18:19:08,,194 MB,200 MB,171 MB,201 MB,237 MB
2025-04-05 18:19:09,,194 MB,200 MB,171 MB,201 MB,237 MB
2025-04-05 18:19:10,,194 MB,200 MB,171 MB,201 MB,237 MB
2025-04-05 18:19:11,,194 MB,200 MB,171 MB,201 MB,237 MB
2025-04-05 18:19:12,,194 MB,200 MB,171 MB,201 MB,237 MB
2025-04-05 18:19:13,,194 MB,200 MB,171 MB,201 MB,237 MB
2025-04-05 18:19:14,,194 MB,200 MB,171 MB,201 MB,237 MB
2025-04-05 18:19:15,,194 MB,200 MB,171 MB,201 MB,237 MB
2025-04-05 18:19:16,,194 MB,200 MB,171 MB,201 MB,237 MB
2025-04-05 18:19:17,,194 MB,200 MB,171 MB,201 MB,237 MB
2025-04-05 18:19:18,,194 MB,200 MB,171 MB,201 MB,237 MB
2025-04-05 18:19:19,,194 MB,200 MB,171 MB,201 MB,237 MB
2025-04-05 18:19:20,,194 MB,200 MB,171 MB,201 MB,237 MB
2025-04-05 18:19:21,,194 MB,200 MB,171 MB,201 MB,237 MB
2025-04-05 18:19:22,,194 MB,200 MB,171 MB,201 MB,237 MB
2025-04-05 18:19:23,,194 MB,200 MB,171 MB,201 MB,237 MB
2025-04-05 18:19:24,,194 MB,200 MB,171 MB,201 MB,237 MB
2025-04-05 18:19:25,,194 MB,200 MB,171 MB,201 MB,237 MB
2025-04-05 18:19:26,,194 MB,200 MB,171 MB,201 MB,237 MB
2025-04-05 18:19:27,,194 MB,200 MB,171 MB,201 MB,237 MB
2025-04-05 18:19:28,,194 MB,200 MB,171 MB,201 MB,237 MB
2025-04-05 18:19:29,,194 MB,200 MB,171 MB,201 MB,237 MB
2025-04-05 18:19:30,,194 MB,200 MB,171 MB,201 MB,237 MB
2025-04-05 18:19:31,,194 MB,200 MB,171 MB,201 MB,237 MB
2025-04-05 18:19:32,,194 MB,200 MB,171 MB,201 MB,237 MB
2025-04-05 18:19:33,,194 MB,200 MB,171 MB,201 MB,237 MB
2025-04-05 18:19:34,,194 MB,200 MB,171 MB,201 MB,237 MB
2025-04-05 18:19:35,,194 MB,200 MB,171 MB,201 MB,237 MB
2025-04-05 18:19:36,,194 MB,200 MB,171 MB,201 MB,237 MB
2025-04-05 18:19:37,,194 MB,200 MB,171 MB,201 MB,237 MB
2025-04-05 18:19:38,0 B,194 MB,200 MB,171 MB,201 MB,237 MB
2025-04-05 18:19:39,0 B,194 MB,200 MB,171 MB,201 MB,237 MB
2025-04-05 18:19:40,0 B,194 MB,200 MB,171 MB,201 MB,237 MB
2025-04-05 18:19:41,0 B,194 MB,200 MB,171 MB,201 MB,237 MB
2025-04-05 18:19:42,0 B,194 MB,200 MB,171 MB,201 MB,238 MB
2025-04-05 18:19:43,0 B,194 MB,200 MB,171 MB,201 MB,238 MB
2025-04-05 18:19:44,0 B,,,171 MB,201 MB,238 MB
2025-04-05 18:19:45,0 B,,,171 MB,201 MB,238 MB
2025-04-05 18:19:46,0 B,,,,201 MB,238 MB
2025-04-05 18:19:47,0 B,,,,201 MB,238 MB
2025-04-05 18:19:48,0 B,,,,201 MB,238 MB
2025-04-05 18:19:49,0 B,,,,201 MB,238 MB
2025-04-05 18:19:50,0 B,,,,201 MB,238 MB
2025-04-05 18:19:51,0 B,,,,201 MB,238 MB
2025-04-05 18:19:52,0 B,,,,201 MB,238 MB
2025-04-05 18:19:53,0 B,,,,201 MB,238 MB
2025-04-05 18:19:54,0 B,,,,201 MB,238 MB
2025-04-05 18:19:55,0 B,,,,201 MB,238 MB
2025-04-05 18:19:56,23.7 MB,,,,201 MB,238 MB
2025-04-05 18:19:57,23.7 MB,,,,201 MB,238 MB
