sep=,
"Time","reducirimagen-755894457-7ww89","reducirimagen-755894457-zhvt9"
2025-04-06 16:48:00,,0.00122
2025-04-06 16:48:01,,0.00122
2025-04-06 16:48:02,,0.00122
2025-04-06 16:48:03,,0.00122
2025-04-06 16:48:04,,0.00122
2025-04-06 16:48:05,,0.00122
2025-04-06 16:48:06,,0.00122
2025-04-06 16:48:07,,0.00122
2025-04-06 16:48:08,,0.00122
2025-04-06 16:48:15,,0.741
2025-04-06 16:48:16,,0.741
2025-04-06 16:48:17,,0.741
2025-04-06 16:48:18,,0.741
2025-04-06 16:48:19,,0.741
2025-04-06 16:48:20,,0.741
2025-04-06 16:48:21,,0.741
2025-04-06 16:48:22,,0.741
2025-04-06 16:48:23,,0.741
2025-04-06 16:48:24,,0.741
2025-04-06 16:48:25,,0.741
2025-04-06 16:48:28,,0.718
2025-04-06 16:48:29,,0.753
2025-04-06 16:48:30,,1.04
2025-04-06 16:48:31,,1.04
2025-04-06 16:48:32,,1.04
2025-04-06 16:48:33,,1.04
2025-04-06 16:48:34,,1.04
2025-04-06 16:48:35,,1.04
2025-04-06 16:48:36,,1.04
2025-04-06 16:48:37,,1.04
2025-04-06 16:48:38,,1.04
2025-04-06 16:48:39,,1.04
2025-04-06 16:48:40,,1.04
2025-04-06 16:48:41,,1.04
2025-04-06 16:48:42,,1.05
2025-04-06 16:48:43,,1.05
2025-04-06 16:48:44,,1.05
2025-04-06 16:48:45,,1.05
2025-04-06 16:48:46,,1.05
2025-04-06 16:48:47,,1.05
2025-04-06 16:48:48,,1.05
2025-04-06 16:48:49,,1.05
2025-04-06 16:48:50,,1.05
2025-04-06 16:48:51,,1.05
2025-04-06 16:48:52,,1.05
2025-04-06 16:48:53,,1.05
2025-04-06 16:48:54,,1.05
2025-04-06 16:48:55,,1.05
2025-04-06 16:48:56,,1.05
2025-04-06 16:48:57,,0.541
2025-04-06 16:48:58,,0.0426
2025-04-06 16:48:59,,0.0426
2025-04-06 16:49:00,,0.0426
2025-04-06 16:49:01,,0.0426
2025-04-06 16:49:02,,0.0426
2025-04-06 16:49:03,,0.0426
2025-04-06 16:49:04,0.000783,0.0426
2025-04-06 16:49:05,0.000828,0.0426
2025-04-06 16:49:06,0.000872,0.0426
2025-04-06 16:49:07,0.000916,0.0426
2025-04-06 16:49:08,0.000960,0.0254
2025-04-06 16:49:09,0.00100,0.0254
2025-04-06 16:49:10,0.00133,0.0254
2025-04-06 16:49:11,0.00133,0.0254
2025-04-06 16:49:12,0.00133,0.000818
2025-04-06 16:49:13,0.00133,0.000858
2025-04-06 16:49:14,0.00133,0.000897
2025-04-06 16:49:15,0.00133,0.000937
2025-04-06 16:49:16,0.00100,0.00119
2025-04-06 16:49:17,0.000959,0.00119
2025-04-06 16:49:18,0.000915,0.00119
2025-04-06 16:49:19,0.000871,0.000926
2025-04-06 16:49:20,0.000827,0.000886
2025-04-06 16:49:21,0.000782,0.00120
2025-04-06 16:49:22,,0.00120
2025-04-06 16:49:23,,0.00120
2025-04-06 16:49:24,,0.00120
2025-04-06 16:49:25,,0.00120
2025-04-06 16:49:26,,0.00120
2025-04-06 16:49:27,,0.00121
2025-04-06 16:49:28,,0.00121
2025-04-06 16:49:29,,0.00121
2025-04-06 16:49:30,,0.00121
2025-04-06 16:49:31,,0.00121
