sep=,
"Time","200"
2025-04-06 16:48:00,NaN
2025-04-06 16:48:01,NaN
2025-04-06 16:48:02,0.527
2025-04-06 16:48:03,0.569
2025-04-06 16:48:04,0.770
2025-04-06 16:48:05,0.928
2025-04-06 16:48:06,1.05
2025-04-06 16:48:07,1.21
2025-04-06 16:48:08,1.17
2025-04-06 16:48:09,1.12
2025-04-06 16:48:10,1.07
2025-04-06 16:48:11,0.981
2025-04-06 16:48:12,0.992
2025-04-06 16:48:13,0.984
2025-04-06 16:48:14,0.986
2025-04-06 16:48:15,1.00
2025-04-06 16:48:16,1.03
2025-04-06 16:48:17,1.01
2025-04-06 16:48:18,1.01
2025-04-06 16:48:19,0.980
2025-04-06 16:48:20,0.944
2025-04-06 16:48:21,1.01
2025-04-06 16:48:22,0.984
2025-04-06 16:48:23,1.02
2025-04-06 16:48:24,1.05
2025-04-06 16:48:25,1.01
2025-04-06 16:48:26,1.04
2025-04-06 16:48:27,1.03
2025-04-06 16:48:28,1.00
2025-04-06 16:48:29,0.981
2025-04-06 16:48:30,0.977
2025-04-06 16:48:31,0.967
2025-04-06 16:48:32,0.965
2025-04-06 16:48:33,0.992
2025-04-06 16:48:34,0.996
2025-04-06 16:48:35,1.02
2025-04-06 16:48:36,1.03
2025-04-06 16:48:37,1.02
2025-04-06 16:48:38,1.03
2025-04-06 16:48:39,1.02
2025-04-06 16:48:40,1.06
2025-04-06 16:48:41,1.08
2025-04-06 16:48:42,1.06
2025-04-06 16:48:43,1.14
2025-04-06 16:48:44,1.15
2025-04-06 16:48:45,1.18
2025-04-06 16:48:46,1.31
2025-04-06 16:48:47,1.34
2025-04-06 16:48:48,NaN
2025-04-06 16:48:49,NaN
2025-04-06 16:48:50,NaN
2025-04-06 16:48:51,NaN
2025-04-06 16:48:52,NaN
2025-04-06 16:48:53,NaN
2025-04-06 16:48:54,NaN
2025-04-06 16:48:55,NaN
2025-04-06 16:48:56,NaN
2025-04-06 16:48:57,NaN
2025-04-06 16:48:58,NaN
2025-04-06 16:48:59,NaN
2025-04-06 16:49:00,NaN
2025-04-06 16:49:01,NaN
2025-04-06 16:49:02,NaN
2025-04-06 16:49:03,NaN
2025-04-06 16:49:04,NaN
2025-04-06 16:49:05,NaN
2025-04-06 16:49:06,NaN
2025-04-06 16:49:07,NaN
2025-04-06 16:49:08,NaN
2025-04-06 16:49:09,NaN
2025-04-06 16:49:10,NaN
2025-04-06 16:49:11,NaN
2025-04-06 16:49:12,NaN
2025-04-06 16:49:13,NaN
2025-04-06 16:49:14,NaN
2025-04-06 16:49:15,NaN
2025-04-06 16:49:16,NaN
2025-04-06 16:49:17,NaN
2025-04-06 16:49:18,NaN
2025-04-06 16:49:19,NaN
2025-04-06 16:49:20,NaN
2025-04-06 16:49:21,NaN
2025-04-06 16:49:22,NaN
2025-04-06 16:49:23,NaN
2025-04-06 16:49:24,NaN
2025-04-06 16:49:25,NaN
2025-04-06 16:49:26,NaN
2025-04-06 16:49:27,NaN
2025-04-06 16:49:28,NaN
2025-04-06 16:49:29,NaN
2025-04-06 16:49:30,NaN
2025-04-06 16:49:31,NaN
2025-04-06 16:49:32,NaN
2025-04-06 16:49:33,NaN
2025-04-06 16:49:34,NaN
2025-04-06 16:49:35,NaN
2025-04-06 16:49:36,NaN
2025-04-06 16:49:37,NaN
2025-04-06 16:49:38,NaN
2025-04-06 16:49:39,NaN
2025-04-06 16:49:40,NaN
2025-04-06 16:49:41,NaN
2025-04-06 16:49:42,NaN
2025-04-06 16:49:43,NaN
2025-04-06 16:49:44,NaN
2025-04-06 16:49:45,NaN
2025-04-06 16:49:46,NaN
2025-04-06 16:49:47,NaN
2025-04-06 16:49:48,NaN
2025-04-06 16:49:49,NaN
2025-04-06 16:49:50,NaN
2025-04-06 16:49:51,NaN
2025-04-06 16:49:52,NaN
2025-04-06 16:49:53,NaN
2025-04-06 16:49:54,NaN
2025-04-06 16:49:55,NaN
2025-04-06 16:49:56,NaN
2025-04-06 16:49:57,NaN
2025-04-06 16:49:58,NaN
2025-04-06 16:49:59,NaN
2025-04-06 16:50:00,NaN
2025-04-06 16:50:01,NaN
2025-04-06 16:50:02,NaN
2025-04-06 16:50:03,NaN
2025-04-06 16:50:04,NaN
2025-04-06 16:50:05,NaN
2025-04-06 16:50:06,NaN
2025-04-06 16:50:07,NaN
2025-04-06 16:50:08,NaN
2025-04-06 16:50:09,NaN
2025-04-06 16:50:10,NaN
2025-04-06 16:50:11,NaN
2025-04-06 16:50:12,NaN
2025-04-06 16:50:13,NaN
2025-04-06 16:50:14,NaN
2025-04-06 16:50:15,NaN
2025-04-06 16:50:16,NaN
2025-04-06 16:50:17,NaN
2025-04-06 16:50:18,NaN
2025-04-06 16:50:19,NaN
2025-04-06 16:50:20,NaN
2025-04-06 16:50:21,NaN
2025-04-06 16:50:22,NaN
2025-04-06 16:50:23,NaN
2025-04-06 16:50:24,NaN
2025-04-06 16:50:25,NaN
2025-04-06 16:50:26,NaN
2025-04-06 16:50:27,NaN
2025-04-06 16:50:28,NaN
2025-04-06 16:50:29,NaN
2025-04-06 16:50:30,NaN
2025-04-06 16:50:31,NaN
2025-04-06 16:50:32,NaN
2025-04-06 16:50:33,NaN
2025-04-06 16:50:34,NaN
2025-04-06 16:50:35,NaN
2025-04-06 16:50:36,NaN
2025-04-06 16:50:37,NaN
2025-04-06 16:50:38,NaN
2025-04-06 16:50:39,NaN
2025-04-06 16:50:40,NaN
2025-04-06 16:50:41,NaN
2025-04-06 16:50:42,NaN
2025-04-06 16:50:43,NaN
2025-04-06 16:50:44,NaN
2025-04-06 16:50:45,NaN
2025-04-06 16:50:46,NaN
2025-04-06 16:50:47,NaN
2025-04-06 16:50:48,NaN
2025-04-06 16:50:49,NaN
2025-04-06 16:50:50,NaN
2025-04-06 16:50:51,NaN
2025-04-06 16:50:52,NaN
2025-04-06 16:50:53,NaN
2025-04-06 16:50:54,NaN
2025-04-06 16:50:55,NaN
2025-04-06 16:50:56,NaN
2025-04-06 16:50:57,NaN
2025-04-06 16:50:58,NaN
2025-04-06 16:50:59,NaN
2025-04-06 16:51:00,NaN
2025-04-06 16:51:01,NaN
2025-04-06 16:51:02,NaN
2025-04-06 16:51:03,NaN
2025-04-06 16:51:04,NaN
2025-04-06 16:51:05,NaN
2025-04-06 16:51:06,NaN
2025-04-06 16:51:07,NaN
2025-04-06 16:51:08,NaN
2025-04-06 16:51:09,NaN
2025-04-06 16:51:10,NaN
2025-04-06 16:51:11,NaN
2025-04-06 16:51:12,NaN
2025-04-06 16:51:13,NaN
2025-04-06 16:51:14,NaN
2025-04-06 16:51:15,NaN
2025-04-06 16:51:16,NaN
2025-04-06 16:51:17,NaN
2025-04-06 16:51:18,NaN
2025-04-06 16:51:19,NaN
2025-04-06 16:51:20,NaN
2025-04-06 16:51:21,NaN
2025-04-06 16:51:22,NaN
2025-04-06 16:51:23,NaN
2025-04-06 16:51:24,NaN
2025-04-06 16:51:25,NaN
2025-04-06 16:51:26,NaN
2025-04-06 16:51:27,NaN
2025-04-06 16:51:28,NaN
2025-04-06 16:51:29,NaN
2025-04-06 16:51:30,NaN
2025-04-06 16:51:31,NaN
2025-04-06 16:51:32,NaN
2025-04-06 16:51:33,NaN
2025-04-06 16:51:34,NaN
2025-04-06 16:51:35,NaN
2025-04-06 16:51:36,NaN
2025-04-06 16:51:37,NaN
2025-04-06 16:51:38,NaN
2025-04-06 16:51:39,NaN
2025-04-06 16:51:40,NaN
2025-04-06 16:51:41,NaN
2025-04-06 16:51:42,NaN
2025-04-06 16:51:43,NaN
2025-04-06 16:51:44,NaN
2025-04-06 16:51:45,NaN
2025-04-06 16:51:46,NaN
2025-04-06 16:51:47,NaN
2025-04-06 16:51:48,NaN
2025-04-06 16:51:49,NaN
2025-04-06 16:51:50,NaN
2025-04-06 16:51:51,NaN
2025-04-06 16:51:52,NaN
2025-04-06 16:51:53,NaN
2025-04-06 16:51:54,NaN
2025-04-06 16:51:55,NaN
2025-04-06 16:51:56,NaN
2025-04-06 16:51:57,NaN
2025-04-06 16:51:58,NaN
2025-04-06 16:51:59,NaN
2025-04-06 16:52:00,NaN
2025-04-06 16:52:01,NaN
2025-04-06 16:52:02,NaN
2025-04-06 16:52:03,NaN
2025-04-06 16:52:04,NaN
2025-04-06 16:52:05,NaN
2025-04-06 16:52:06,NaN
2025-04-06 16:52:07,NaN
2025-04-06 16:52:08,NaN
2025-04-06 16:52:09,NaN
2025-04-06 16:52:10,NaN
2025-04-06 16:52:11,NaN
2025-04-06 16:52:12,NaN
2025-04-06 16:52:13,NaN
2025-04-06 16:52:14,NaN
2025-04-06 16:52:15,NaN
2025-04-06 16:52:16,NaN
2025-04-06 16:52:17,NaN
2025-04-06 16:52:18,NaN
2025-04-06 16:52:19,NaN
2025-04-06 16:52:20,NaN
2025-04-06 16:52:21,NaN
2025-04-06 16:52:22,NaN
2025-04-06 16:52:23,NaN
2025-04-06 16:52:24,NaN
2025-04-06 16:52:25,NaN
2025-04-06 16:52:26,NaN
2025-04-06 16:52:27,NaN
2025-04-06 16:52:28,NaN
2025-04-06 16:52:29,NaN
2025-04-06 16:52:30,NaN
2025-04-06 16:52:31,NaN
2025-04-06 16:52:32,NaN
2025-04-06 16:52:33,NaN
2025-04-06 16:52:34,NaN
2025-04-06 16:52:35,NaN
2025-04-06 16:52:36,NaN
2025-04-06 16:52:37,NaN
2025-04-06 16:52:38,NaN
2025-04-06 16:52:39,NaN
2025-04-06 16:52:40,NaN
2025-04-06 16:52:41,NaN
2025-04-06 16:52:42,NaN
2025-04-06 16:52:43,NaN
2025-04-06 16:52:44,NaN
2025-04-06 16:52:45,NaN
2025-04-06 16:52:46,NaN
2025-04-06 16:52:47,NaN
2025-04-06 16:52:48,NaN
2025-04-06 16:52:49,NaN
2025-04-06 16:52:50,NaN
2025-04-06 16:52:51,NaN
2025-04-06 16:52:52,NaN
2025-04-06 16:52:53,NaN
2025-04-06 16:52:54,NaN
2025-04-06 16:52:55,NaN
2025-04-06 16:52:56,NaN
2025-04-06 16:52:57,NaN
2025-04-06 16:52:58,NaN
2025-04-06 16:52:59,NaN
2025-04-06 16:53:00,NaN
2025-04-06 16:53:01,NaN
2025-04-06 16:53:02,NaN
2025-04-06 16:53:03,NaN
2025-04-06 16:53:04,NaN
2025-04-06 16:53:05,NaN
2025-04-06 16:53:06,NaN
2025-04-06 16:53:07,NaN
2025-04-06 16:53:08,NaN
2025-04-06 16:53:09,NaN
2025-04-06 16:53:10,NaN
2025-04-06 16:53:11,NaN
2025-04-06 16:53:12,NaN
2025-04-06 16:53:13,NaN
2025-04-06 16:53:14,NaN
2025-04-06 16:53:15,NaN
2025-04-06 16:53:16,NaN
2025-04-06 16:53:17,NaN
2025-04-06 16:53:18,NaN
2025-04-06 16:53:19,NaN
2025-04-06 16:53:20,NaN
2025-04-06 16:53:21,NaN
2025-04-06 16:53:22,NaN
2025-04-06 16:53:23,NaN
2025-04-06 16:53:24,NaN
2025-04-06 16:53:25,NaN
2025-04-06 16:53:26,NaN
2025-04-06 16:53:27,NaN
2025-04-06 16:53:28,NaN
2025-04-06 16:53:29,NaN
2025-04-06 16:53:30,NaN
2025-04-06 16:53:31,NaN
2025-04-06 16:53:32,NaN
2025-04-06 16:53:33,NaN
2025-04-06 16:53:34,NaN
2025-04-06 16:53:35,NaN
2025-04-06 16:53:36,NaN
2025-04-06 16:53:37,NaN
2025-04-06 16:53:38,NaN
2025-04-06 16:53:39,NaN
2025-04-06 16:53:40,NaN
2025-04-06 16:53:41,NaN
