sep=,
"Time","reducirimagen.openfaas-fn"
2025-04-05 18:41:00,1
2025-04-05 18:41:01,1
2025-04-05 18:41:02,1
2025-04-05 18:41:03,1
2025-04-05 18:41:04,1
2025-04-05 18:41:05,1
2025-04-05 18:41:06,1
2025-04-05 18:41:07,1
2025-04-05 18:41:08,1
2025-04-05 18:41:09,1
2025-04-05 18:41:10,1
2025-04-05 18:41:11,1
2025-04-05 18:41:12,1
2025-04-05 18:41:13,1
2025-04-05 18:41:14,1
2025-04-05 18:41:15,1
2025-04-05 18:41:16,1
2025-04-05 18:41:17,1
2025-04-05 18:41:18,1
2025-04-05 18:41:19,1
2025-04-05 18:41:20,1
2025-04-05 18:41:21,1
2025-04-05 18:41:22,1
2025-04-05 18:41:23,1
2025-04-05 18:41:24,1
2025-04-05 18:41:25,1
2025-04-05 18:41:26,1
2025-04-05 18:41:27,1
2025-04-05 18:41:28,1
2025-04-05 18:41:29,1
2025-04-05 18:41:30,1
2025-04-05 18:41:31,1
2025-04-05 18:41:32,1
2025-04-05 18:41:33,1
2025-04-05 18:41:34,1
2025-04-05 18:41:35,1
2025-04-05 18:41:36,1
2025-04-05 18:41:37,1
2025-04-05 18:41:38,1
2025-04-05 18:41:39,1
2025-04-05 18:41:40,1
2025-04-05 18:41:41,2
2025-04-05 18:41:42,2
2025-04-05 18:41:43,2
2025-04-05 18:41:44,2
2025-04-05 18:41:45,2
2025-04-05 18:41:46,2
2025-04-05 18:41:47,2
2025-04-05 18:41:48,2
2025-04-05 18:41:49,2
2025-04-05 18:41:50,2
2025-04-05 18:41:51,2
2025-04-05 18:41:52,2
2025-04-05 18:41:53,2
2025-04-05 18:41:54,2
2025-04-05 18:41:55,2
2025-04-05 18:41:56,2
2025-04-05 18:41:57,2
2025-04-05 18:41:58,2
2025-04-05 18:41:59,2
2025-04-05 18:42:00,2
2025-04-05 18:42:01,2
2025-04-05 18:42:02,2
2025-04-05 18:42:03,2
2025-04-05 18:42:04,2
2025-04-05 18:42:05,2
2025-04-05 18:42:06,2
2025-04-05 18:42:07,2
2025-04-05 18:42:08,2
2025-04-05 18:42:09,2
2025-04-05 18:42:10,2
2025-04-05 18:42:11,2
2025-04-05 18:42:12,2
2025-04-05 18:42:13,2
2025-04-05 18:42:14,2
2025-04-05 18:42:15,2
2025-04-05 18:42:16,2
2025-04-05 18:42:17,2
2025-04-05 18:42:18,2
2025-04-05 18:42:19,2
2025-04-05 18:42:20,2
2025-04-05 18:42:21,3
2025-04-05 18:42:22,3
