sep=,
"Time","reducirimagen-755894457-9ncsc","reducirimagen-755894457-vr9gb","reducirimagen-755894457-zhvt9"
2025-04-05 18:59:00,,,223 MB
2025-04-05 18:59:01,,,223 MB
2025-04-05 18:59:02,,,223 MB
2025-04-05 18:59:03,,,223 MB
2025-04-05 18:59:04,,,223 MB
2025-04-05 18:59:05,,,223 MB
2025-04-05 18:59:06,,,223 MB
2025-04-05 18:59:07,,,223 MB
2025-04-05 18:59:08,,,223 MB
2025-04-05 18:59:09,,,223 MB
2025-04-05 18:59:10,,,223 MB
2025-04-05 18:59:11,,,223 MB
2025-04-05 18:59:12,,,223 MB
2025-04-05 18:59:13,,,226 MB
2025-04-05 18:59:14,,,226 MB
2025-04-05 18:59:15,,,226 MB
2025-04-05 18:59:16,,,226 MB
2025-04-05 18:59:17,,,226 MB
2025-04-05 18:59:18,,,226 MB
2025-04-05 18:59:19,,,226 MB
2025-04-05 18:59:20,,,226 MB
2025-04-05 18:59:21,,,226 MB
2025-04-05 18:59:22,,,226 MB
2025-04-05 18:59:23,,,226 MB
2025-04-05 18:59:24,,,226 MB
2025-04-05 18:59:25,,,226 MB
2025-04-05 18:59:26,,,226 MB
2025-04-05 18:59:27,,,226 MB
2025-04-05 18:59:28,,,226 MB
2025-04-05 18:59:29,,,226 MB
2025-04-05 18:59:30,,,226 MB
2025-04-05 18:59:31,,,226 MB
2025-04-05 18:59:32,,,226 MB
2025-04-05 18:59:33,,,226 MB
2025-04-05 18:59:34,,,226 MB
2025-04-05 18:59:35,,,226 MB
2025-04-05 18:59:36,,,226 MB
2025-04-05 18:59:37,,,226 MB
2025-04-05 18:59:38,0 B,,226 MB
2025-04-05 18:59:39,0 B,,226 MB
2025-04-05 18:59:40,0 B,,226 MB
2025-04-05 18:59:41,0 B,,226 MB
2025-04-05 18:59:42,0 B,,226 MB
2025-04-05 18:59:43,0 B,,226 MB
2025-04-05 18:59:44,0 B,,226 MB
2025-04-05 18:59:45,0 B,,226 MB
2025-04-05 18:59:46,0 B,,226 MB
2025-04-05 18:59:47,0 B,,226 MB
2025-04-05 18:59:48,0 B,,226 MB
2025-04-05 18:59:49,0 B,,226 MB
2025-04-05 18:59:50,0 B,,226 MB
2025-04-05 18:59:51,0 B,,226 MB
2025-04-05 18:59:52,0 B,,226 MB
2025-04-05 18:59:53,0 B,,226 MB
2025-04-05 18:59:54,0 B,,226 MB
2025-04-05 18:59:55,0 B,,226 MB
2025-04-05 18:59:56,179 MB,,228 MB
2025-04-05 18:59:57,179 MB,,228 MB
2025-04-05 18:59:58,179 MB,,228 MB
2025-04-05 18:59:59,179 MB,,228 MB
2025-04-05 19:00:00,179 MB,,228 MB
2025-04-05 19:00:01,179 MB,,228 MB
2025-04-05 19:00:02,179 MB,,228 MB
2025-04-05 19:00:03,179 MB,,228 MB
2025-04-05 19:00:04,179 MB,,228 MB
2025-04-05 19:00:05,179 MB,,228 MB
2025-04-05 19:00:06,179 MB,,228 MB
2025-04-05 19:00:07,179 MB,,228 MB
2025-04-05 19:00:08,179 MB,,228 MB
2025-04-05 19:00:09,179 MB,,228 MB
2025-04-05 19:00:10,179 MB,,228 MB
2025-04-05 19:00:11,179 MB,,228 MB
2025-04-05 19:00:12,179 MB,,228 MB
2025-04-05 19:00:13,179 MB,,228 MB
2025-04-05 19:00:14,179 MB,,218 MB
2025-04-05 19:00:15,174 MB,,218 MB
2025-04-05 19:00:16,174 MB,,218 MB
2025-04-05 19:00:17,174 MB,,218 MB
2025-04-05 19:00:18,174 MB,0 B,218 MB
2025-04-05 19:00:19,174 MB,0 B,218 MB
2025-04-05 19:00:20,174 MB,0 B,218 MB
2025-04-05 19:00:21,174 MB,0 B,218 MB
2025-04-05 19:00:22,174 MB,0 B,218 MB
2025-04-05 19:00:23,174 MB,0 B,218 MB
2025-04-05 19:00:24,174 MB,0 B,218 MB
2025-04-05 19:00:25,174 MB,0 B,218 MB
2025-04-05 19:00:26,174 MB,0 B,218 MB
2025-04-05 19:00:27,174 MB,0 B,218 MB
2025-04-05 19:00:28,174 MB,0 B,218 MB
2025-04-05 19:00:29,174 MB,0 B,218 MB
2025-04-05 19:00:30,174 MB,0 B,218 MB
2025-04-05 19:00:31,174 MB,0 B,213 MB
2025-04-05 19:00:32,174 MB,0 B,213 MB
2025-04-05 19:00:33,174 MB,0 B,213 MB
2025-04-05 19:00:34,174 MB,0 B,213 MB
2025-04-05 19:00:35,174 MB,0 B,213 MB
2025-04-05 19:00:36,174 MB,0 B,213 MB
2025-04-05 19:00:37,174 MB,0 B,213 MB
2025-04-05 19:00:38,174 MB,0 B,213 MB
2025-04-05 19:00:39,174 MB,0 B,213 MB
2025-04-05 19:00:40,174 MB,0 B,213 MB
2025-04-05 19:00:41,174 MB,0 B,213 MB
2025-04-05 19:00:42,174 MB,0 B,213 MB
2025-04-05 19:00:43,174 MB,0 B,213 MB
2025-04-05 19:00:44,174 MB,0 B,213 MB
2025-04-05 19:00:45,174 MB,0 B,213 MB
2025-04-05 19:00:46,174 MB,0 B,213 MB
2025-04-05 19:00:47,174 MB,0 B,213 MB
2025-04-05 19:00:48,174 MB,0 B,213 MB
2025-04-05 19:00:49,174 MB,0 B,213 MB
2025-04-05 19:00:50,174 MB,0 B,213 MB
2025-04-05 19:00:51,174 MB,0 B,213 MB
2025-04-05 19:00:52,174 MB,0 B,213 MB
2025-04-05 19:00:53,174 MB,0 B,213 MB
2025-04-05 19:00:54,174 MB,0 B,213 MB
2025-04-05 19:00:55,174 MB,0 B,213 MB
2025-04-05 19:00:56,174 MB,0 B,213 MB
2025-04-05 19:00:57,174 MB,0 B,213 MB
2025-04-05 19:00:58,174 MB,0 B,213 MB
2025-04-05 19:00:59,174 MB,0 B,213 MB
2025-04-05 19:01:00,174 MB,0 B,213 MB
2025-04-05 19:01:01,174 MB,0 B,213 MB
2025-04-05 19:01:02,174 MB,0 B,213 MB
2025-04-05 19:01:03,174 MB,0 B,213 MB
2025-04-05 19:01:04,174 MB,0 B,213 MB
2025-04-05 19:01:05,174 MB,0 B,213 MB
2025-04-05 19:01:06,174 MB,0 B,213 MB
2025-04-05 19:01:07,174 MB,0 B,213 MB
2025-04-05 19:01:08,174 MB,0 B,213 MB
2025-04-05 19:01:09,174 MB,0 B,213 MB
2025-04-05 19:01:10,174 MB,0 B,213 MB
2025-04-05 19:01:11,174 MB,0 B,213 MB
2025-04-05 19:01:12,174 MB,0 B,213 MB
2025-04-05 19:01:13,174 MB,0 B,213 MB
2025-04-05 19:01:14,174 MB,0 B,213 MB
2025-04-05 19:01:15,174 MB,0 B,213 MB
2025-04-05 19:01:16,174 MB,0 B,213 MB
2025-04-05 19:01:17,174 MB,0 B,211 MB
2025-04-05 19:01:18,174 MB,0 B,211 MB
2025-04-05 19:01:19,174 MB,0 B,211 MB
2025-04-05 19:01:20,174 MB,0 B,211 MB
2025-04-05 19:01:21,174 MB,0 B,211 MB
2025-04-05 19:01:22,174 MB,0 B,211 MB
2025-04-05 19:01:23,174 MB,0 B,211 MB
2025-04-05 19:01:24,174 MB,0 B,211 MB
2025-04-05 19:01:25,174 MB,0 B,211 MB
2025-04-05 19:01:26,174 MB,0 B,211 MB
2025-04-05 19:01:27,174 MB,0 B,211 MB
2025-04-05 19:01:28,174 MB,0 B,211 MB
2025-04-05 19:01:29,174 MB,0 B,211 MB
2025-04-05 19:01:30,174 MB,0 B,211 MB
2025-04-05 19:01:31,174 MB,0 B,211 MB
2025-04-05 19:01:32,174 MB,0 B,211 MB
2025-04-05 19:01:33,174 MB,0 B,211 MB
2025-04-05 19:01:34,174 MB,0 B,211 MB
2025-04-05 19:01:35,174 MB,0 B,211 MB
2025-04-05 19:01:36,174 MB,0 B,211 MB
2025-04-05 19:01:37,174 MB,0 B,211 MB
2025-04-05 19:01:38,174 MB,0 B,211 MB
2025-04-05 19:01:39,174 MB,0 B,211 MB
2025-04-05 19:01:40,174 MB,0 B,211 MB
2025-04-05 19:01:41,174 MB,0 B,211 MB
2025-04-05 19:01:42,174 MB,0 B,211 MB
2025-04-05 19:01:43,174 MB,0 B,211 MB
2025-04-05 19:01:44,174 MB,0 B,211 MB
2025-04-05 19:01:45,174 MB,0 B,211 MB
2025-04-05 19:01:46,174 MB,0 B,211 MB
2025-04-05 19:01:47,174 MB,0 B,211 MB
2025-04-05 19:01:48,174 MB,0 B,211 MB
2025-04-05 19:01:49,174 MB,0 B,211 MB
2025-04-05 19:01:50,174 MB,0 B,211 MB
2025-04-05 19:01:51,174 MB,0 B,211 MB
2025-04-05 19:01:52,174 MB,0 B,211 MB
2025-04-05 19:01:53,174 MB,0 B,211 MB
2025-04-05 19:01:54,174 MB,0 B,198 MB
2025-04-05 19:01:55,174 MB,0 B,198 MB
2025-04-05 19:01:56,174 MB,0 B,198 MB
2025-04-05 19:01:57,174 MB,0 B,198 MB
2025-04-05 19:01:58,174 MB,0 B,198 MB
2025-04-05 19:01:59,174 MB,0 B,198 MB
2025-04-05 19:02:00,174 MB,0 B,198 MB
2025-04-05 19:02:01,174 MB,0 B,198 MB
2025-04-05 19:02:02,174 MB,0 B,198 MB
2025-04-05 19:02:03,174 MB,0 B,198 MB
2025-04-05 19:02:04,174 MB,0 B,198 MB
2025-04-05 19:02:05,174 MB,0 B,198 MB
2025-04-05 19:02:06,174 MB,0 B,187 MB
2025-04-05 19:02:07,174 MB,0 B,187 MB
2025-04-05 19:02:08,174 MB,0 B,187 MB
2025-04-05 19:02:09,174 MB,0 B,187 MB
2025-04-05 19:02:10,174 MB,0 B,187 MB
2025-04-05 19:02:11,174 MB,0 B,187 MB
2025-04-05 19:02:12,174 MB,0 B,187 MB
2025-04-05 19:02:13,174 MB,0 B,187 MB
