sep=,
"Time","200","502"
2025-04-05 18:59:00,NaN,NaN
2025-04-05 18:59:01,NaN,NaN
2025-04-05 18:59:02,NaN,NaN
2025-04-05 18:59:03,0.491,NaN
2025-04-05 18:59:04,0.564,NaN
2025-04-05 18:59:05,0.678,NaN
2025-04-05 18:59:06,0.837,NaN
2025-04-05 18:59:07,1.00,NaN
2025-04-05 18:59:08,1.07,NaN
2025-04-05 18:59:09,1.12,NaN
2025-04-05 18:59:10,1.03,NaN
2025-04-05 18:59:11,0.996,NaN
2025-04-05 18:59:12,1.02,NaN
2025-04-05 18:59:13,0.992,NaN
2025-04-05 18:59:14,1.02,NaN
2025-04-05 18:59:15,1.03,NaN
2025-04-05 18:59:16,1.00,NaN
2025-04-05 18:59:17,1.02,NaN
2025-04-05 18:59:18,1.00,NaN
2025-04-05 18:59:19,0.953,NaN
2025-04-05 18:59:20,1.00,NaN
2025-04-05 18:59:21,0.995,NaN
2025-04-05 18:59:22,1.02,NaN
2025-04-05 18:59:23,1.07,NaN
2025-04-05 18:59:24,1.03,NaN
2025-04-05 18:59:25,1.05,NaN
2025-04-05 18:59:26,1.03,NaN
2025-04-05 18:59:27,0.992,NaN
2025-04-05 18:59:28,0.985,NaN
2025-04-05 18:59:29,0.984,NaN
2025-04-05 18:59:30,0.956,NaN
2025-04-05 18:59:31,0.976,NaN
2025-04-05 18:59:32,1.01,NaN
2025-04-05 18:59:33,1.00,NaN
2025-04-05 18:59:34,1.01,NaN
2025-04-05 18:59:35,1.03,NaN
2025-04-05 18:59:36,1.02,NaN
2025-04-05 18:59:37,1.02,NaN
2025-04-05 18:59:38,1.01,NaN
2025-04-05 18:59:39,1.01,NaN
2025-04-05 18:59:40,0.989,NaN
2025-04-05 18:59:41,0.987,NaN
2025-04-05 18:59:42,1.03,NaN
2025-04-05 18:59:43,1.05,NaN
2025-04-05 18:59:44,1.04,NaN
2025-04-05 18:59:45,0.878,NaN
2025-04-05 18:59:46,0.753,NaN
2025-04-05 18:59:47,0.692,NaN
2025-04-05 18:59:48,0.601,NaN
2025-04-05 18:59:49,0.668,NaN
2025-04-05 18:59:50,0.771,NaN
2025-04-05 18:59:51,0.796,NaN
2025-04-05 18:59:52,0.837,NaN
2025-04-05 18:59:53,0.857,NaN
2025-04-05 18:59:54,0.784,NaN
2025-04-05 18:59:55,0.743,NaN
2025-04-05 18:59:56,0.744,NaN
2025-04-05 18:59:57,0.768,NaN
2025-04-05 18:59:58,0.772,NaN
2025-04-05 18:59:59,0.825,NaN
2025-04-05 19:00:00,1.07,NaN
2025-04-05 19:00:01,NaN,NaN
2025-04-05 19:00:02,NaN,NaN
2025-04-05 19:00:03,NaN,NaN
2025-04-05 19:00:04,NaN,NaN
2025-04-05 19:00:05,NaN,NaN
2025-04-05 19:00:06,NaN,NaN
2025-04-05 19:00:07,NaN,NaN
2025-04-05 19:00:08,NaN,NaN
2025-04-05 19:00:09,NaN,NaN
2025-04-05 19:00:10,NaN,NaN
2025-04-05 19:00:11,NaN,NaN
2025-04-05 19:00:12,NaN,NaN
2025-04-05 19:00:13,NaN,NaN
2025-04-05 19:00:14,NaN,NaN
2025-04-05 19:00:15,NaN,NaN
2025-04-05 19:00:16,NaN,NaN
2025-04-05 19:00:17,NaN,NaN
2025-04-05 19:00:18,NaN,NaN
2025-04-05 19:00:19,NaN,NaN
2025-04-05 19:00:20,NaN,NaN
2025-04-05 19:00:21,NaN,NaN
2025-04-05 19:00:22,NaN,NaN
2025-04-05 19:00:23,NaN,NaN
2025-04-05 19:00:24,NaN,NaN
2025-04-05 19:00:25,NaN,NaN
2025-04-05 19:00:26,NaN,NaN
2025-04-05 19:00:27,NaN,NaN
2025-04-05 19:00:28,NaN,NaN
2025-04-05 19:00:29,NaN,NaN
2025-04-05 19:00:30,NaN,NaN
2025-04-05 19:00:31,NaN,NaN
2025-04-05 19:00:32,NaN,NaN
2025-04-05 19:00:33,NaN,NaN
2025-04-05 19:00:34,NaN,NaN
2025-04-05 19:00:35,NaN,NaN
2025-04-05 19:00:36,NaN,NaN
2025-04-05 19:00:37,NaN,NaN
2025-04-05 19:00:38,NaN,NaN
2025-04-05 19:00:39,NaN,NaN
2025-04-05 19:00:40,NaN,NaN
2025-04-05 19:00:41,NaN,NaN
2025-04-05 19:00:42,NaN,NaN
2025-04-05 19:00:43,NaN,NaN
2025-04-05 19:00:44,NaN,NaN
2025-04-05 19:00:45,NaN,NaN
2025-04-05 19:00:46,NaN,NaN
2025-04-05 19:00:47,NaN,NaN
2025-04-05 19:00:48,NaN,NaN
2025-04-05 19:00:49,NaN,NaN
2025-04-05 19:00:50,NaN,NaN
2025-04-05 19:00:51,NaN,NaN
2025-04-05 19:00:52,NaN,NaN
2025-04-05 19:00:53,NaN,NaN
2025-04-05 19:00:54,NaN,NaN
2025-04-05 19:00:55,NaN,NaN
2025-04-05 19:00:56,NaN,NaN
2025-04-05 19:00:57,NaN,NaN
2025-04-05 19:00:58,NaN,NaN
2025-04-05 19:00:59,NaN,NaN
2025-04-05 19:01:00,NaN,NaN
2025-04-05 19:01:01,NaN,NaN
2025-04-05 19:01:02,NaN,NaN
2025-04-05 19:01:03,NaN,NaN
2025-04-05 19:01:04,NaN,NaN
2025-04-05 19:01:05,NaN,NaN
2025-04-05 19:01:06,NaN,NaN
2025-04-05 19:01:07,NaN,NaN
2025-04-05 19:01:08,NaN,NaN
2025-04-05 19:01:09,NaN,NaN
2025-04-05 19:01:10,NaN,NaN
2025-04-05 19:01:11,NaN,NaN
2025-04-05 19:01:12,NaN,NaN
2025-04-05 19:01:13,NaN,NaN
2025-04-05 19:01:14,NaN,NaN
2025-04-05 19:01:15,NaN,NaN
2025-04-05 19:01:16,NaN,NaN
2025-04-05 19:01:17,NaN,NaN
2025-04-05 19:01:18,NaN,NaN
2025-04-05 19:01:19,NaN,NaN
2025-04-05 19:01:20,NaN,NaN
2025-04-05 19:01:21,NaN,NaN
2025-04-05 19:01:22,NaN,NaN
2025-04-05 19:01:23,NaN,NaN
2025-04-05 19:01:24,NaN,NaN
2025-04-05 19:01:25,NaN,NaN
2025-04-05 19:01:26,NaN,NaN
2025-04-05 19:01:27,NaN,NaN
2025-04-05 19:01:28,NaN,NaN
2025-04-05 19:01:29,NaN,NaN
2025-04-05 19:01:30,NaN,NaN
2025-04-05 19:01:31,NaN,NaN
2025-04-05 19:01:32,NaN,NaN
2025-04-05 19:01:33,NaN,NaN
2025-04-05 19:01:34,NaN,NaN
2025-04-05 19:01:35,NaN,NaN
2025-04-05 19:01:36,NaN,NaN
2025-04-05 19:01:37,NaN,NaN
2025-04-05 19:01:38,NaN,NaN
2025-04-05 19:01:39,NaN,NaN
2025-04-05 19:01:40,NaN,NaN
2025-04-05 19:01:41,NaN,NaN
2025-04-05 19:01:42,NaN,NaN
2025-04-05 19:01:43,NaN,NaN
2025-04-05 19:01:44,NaN,NaN
2025-04-05 19:01:45,NaN,NaN
2025-04-05 19:01:46,NaN,NaN
2025-04-05 19:01:47,NaN,NaN
2025-04-05 19:01:48,NaN,NaN
2025-04-05 19:01:49,NaN,NaN
2025-04-05 19:01:50,NaN,NaN
2025-04-05 19:01:51,NaN,NaN
2025-04-05 19:01:52,NaN,NaN
2025-04-05 19:01:53,NaN,NaN
2025-04-05 19:01:54,NaN,NaN
2025-04-05 19:01:55,NaN,NaN
2025-04-05 19:01:56,NaN,NaN
2025-04-05 19:01:57,NaN,NaN
2025-04-05 19:01:58,NaN,NaN
2025-04-05 19:01:59,NaN,NaN
2025-04-05 19:02:00,NaN,NaN
2025-04-05 19:02:01,NaN,NaN
2025-04-05 19:02:02,NaN,NaN
2025-04-05 19:02:03,NaN,NaN
