sep=,
"Time","reducirimagen-755894457-92z5l","reducirimagen-755894457-94sfr","reducirimagen-755894457-g862d","reducirimagen-755894457-m42pt","reducirimagen-755894457-n597c","reducirimagen-755894457-vwk9q","reducirimagen-755894457-xkmv7","reducirimagen-755894457-zhvt9"
2025-04-05 19:16:00,,200 MB,198 MB,20.7 MB,206 MB,9.15 MB,198 MB,202 MB
2025-04-05 19:16:01,,200 MB,198 MB,20.7 MB,206 MB,9.15 MB,198 MB,202 MB
2025-04-05 19:16:02,,200 MB,198 MB,20.7 MB,206 MB,9.15 MB,198 MB,202 MB
2025-04-05 19:16:03,,200 MB,198 MB,20.7 MB,206 MB,9.15 MB,198 MB,202 MB
2025-04-05 19:16:04,,200 MB,198 MB,20.7 MB,206 MB,9.15 MB,198 MB,202 MB
2025-04-05 19:16:05,,200 MB,198 MB,20.7 MB,206 MB,9.15 MB,198 MB,202 MB
2025-04-05 19:16:06,,200 MB,198 MB,20.7 MB,206 MB,9.15 MB,198 MB,202 MB
2025-04-05 19:16:07,,200 MB,198 MB,20.7 MB,206 MB,9.15 MB,198 MB,202 MB
2025-04-05 19:16:08,,200 MB,198 MB,20.7 MB,206 MB,9.15 MB,198 MB,202 MB
2025-04-05 19:16:09,,200 MB,198 MB,20.7 MB,206 MB,9.15 MB,198 MB,202 MB
2025-04-05 19:16:10,,200 MB,198 MB,20.7 MB,206 MB,9.15 MB,198 MB,202 MB
2025-04-05 19:16:11,,200 MB,198 MB,20.7 MB,206 MB,9.15 MB,198 MB,203 MB
2025-04-05 19:16:12,,200 MB,198 MB,20.7 MB,206 MB,9.15 MB,198 MB,203 MB
2025-04-05 19:16:13,,200 MB,198 MB,20.7 MB,206 MB,9.15 MB,198 MB,203 MB
2025-04-05 19:16:14,,200 MB,198 MB,20.7 MB,206 MB,9.15 MB,198 MB,203 MB
2025-04-05 19:16:15,,200 MB,198 MB,20.7 MB,206 MB,9.15 MB,198 MB,203 MB
2025-04-05 19:16:16,,200 MB,198 MB,20.7 MB,206 MB,9.15 MB,198 MB,203 MB
2025-04-05 19:16:17,,200 MB,198 MB,20.7 MB,206 MB,9.15 MB,198 MB,203 MB
2025-04-05 19:16:18,,200 MB,198 MB,20.7 MB,206 MB,9.15 MB,198 MB,203 MB
2025-04-05 19:16:19,,200 MB,,20.7 MB,206 MB,9.15 MB,198 MB,203 MB
2025-04-05 19:16:20,,200 MB,,20.7 MB,206 MB,9.15 MB,198 MB,203 MB
2025-04-05 19:16:21,,,,20.7 MB,206 MB,9.15 MB,198 MB,203 MB
2025-04-05 19:16:22,,,,20.7 MB,206 MB,9.15 MB,198 MB,203 MB
2025-04-05 19:16:23,,,,20.7 MB,206 MB,9.15 MB,198 MB,203 MB
2025-04-05 19:16:24,,,,20.7 MB,206 MB,9.15 MB,198 MB,203 MB
2025-04-05 19:16:25,,,,20.7 MB,206 MB,9.15 MB,198 MB,203 MB
2025-04-05 19:16:26,,,,20.7 MB,206 MB,9.15 MB,198 MB,203 MB
2025-04-05 19:16:27,,,,20.7 MB,,9.15 MB,198 MB,203 MB
2025-04-05 19:16:28,,,,20.7 MB,,9.15 MB,198 MB,203 MB
2025-04-05 19:16:29,,,,20.7 MB,,,198 MB,203 MB
2025-04-05 19:16:30,,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:16:31,,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:16:32,,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:16:33,,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:16:34,,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:16:35,,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:16:36,,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:16:37,,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:16:38,0 B,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:16:39,0 B,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:16:40,0 B,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:16:41,0 B,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:16:42,0 B,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:16:43,0 B,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:16:44,0 B,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:16:45,0 B,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:16:46,0 B,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:16:47,0 B,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:16:48,0 B,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:16:49,0 B,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:16:50,0 B,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:16:51,0 B,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:16:52,0 B,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:16:53,0 B,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:16:54,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:16:55,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:16:56,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:16:57,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:16:58,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:16:59,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:17:00,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:17:01,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:17:02,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:17:03,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:17:04,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:17:05,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:17:06,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:17:07,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:17:08,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:17:09,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:17:10,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:17:11,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:17:12,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:17:13,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:17:14,28.2 MB,,,20.7 MB,,,198 MB,222 MB
