sep=,
"Time","reducirimagen.openfaas-fn"
2025-04-05 19:16:00,0
2025-04-05 19:16:01,0.333
2025-04-05 19:16:02,1.33
2025-04-05 19:16:03,2.44
2025-04-05 19:16:04,3.56
2025-04-05 19:16:05,4.67
2025-04-05 19:16:06,14.6
2025-04-05 19:16:07,15.6
2025-04-05 19:16:08,16.7
2025-04-05 19:16:09,17.8
2025-04-05 19:16:10,18.7
2025-04-05 19:16:11,20.0
2025-04-05 19:16:12,19.9
2025-04-05 19:16:13,19.9
2025-04-05 19:16:14,19.8
2025-04-05 19:16:15,19.8
2025-04-05 19:16:16,19.7
2025-04-05 19:16:17,19.7
2025-04-05 19:16:18,19.7
2025-04-05 19:16:19,19.6
2025-04-05 19:16:20,19.6
2025-04-05 19:16:21,19.8
2025-04-05 19:16:22,19.7
2025-04-05 19:16:23,19.7
2025-04-05 19:16:24,19.7
2025-04-05 19:16:25,19.7
2025-04-05 19:16:26,19.6
2025-04-05 19:16:27,19.5
2025-04-05 19:16:28,19.5
2025-04-05 19:16:29,19.5
2025-04-05 19:16:30,19.4
2025-04-05 19:16:31,19.5
2025-04-05 19:16:32,19.6
2025-04-05 19:16:33,19.6
2025-04-05 19:16:34,19.5
2025-04-05 19:16:35,19.6
2025-04-05 19:16:36,19.7
2025-04-05 19:16:37,19.7
2025-04-05 19:16:38,19.7
2025-04-05 19:16:39,19.5
2025-04-05 19:16:40,19.4
2025-04-05 19:16:41,18.6
2025-04-05 19:16:42,18.5
2025-04-05 19:16:43,18.2
2025-04-05 19:16:44,17.1
2025-04-05 19:16:45,16.0
2025-04-05 19:16:46,10.1
2025-04-05 19:16:47,8.96
2025-04-05 19:16:48,8.07
2025-04-05 19:16:49,7.07
2025-04-05 19:16:50,6.07
2025-04-05 19:16:51,0.667
2025-04-05 19:16:52,0
2025-04-05 19:16:53,0
2025-04-05 19:16:54,0
2025-04-05 19:16:55,0
2025-04-05 19:16:56,0
2025-04-05 19:16:57,0
2025-04-05 19:16:58,0
2025-04-05 19:16:59,0
2025-04-05 19:17:00,0
2025-04-05 19:17:01,0
2025-04-05 19:17:02,0
2025-04-05 19:17:03,0
2025-04-05 19:17:04,0
2025-04-05 19:17:05,0
2025-04-05 19:17:06,0
2025-04-05 19:17:07,0
2025-04-05 19:17:08,0
2025-04-05 19:17:09,0
2025-04-05 19:17:10,0
2025-04-05 19:17:11,0
2025-04-05 19:17:12,0
2025-04-05 19:17:13,0
2025-04-05 19:17:14,0
2025-04-05 19:17:15,0
2025-04-05 19:17:16,0
2025-04-05 19:17:17,0
2025-04-05 19:17:18,0
2025-04-05 19:17:19,0
2025-04-05 19:17:20,0
2025-04-05 19:17:21,0
2025-04-05 19:17:22,0
2025-04-05 19:17:23,0
2025-04-05 19:17:24,0
2025-04-05 19:17:25,0
2025-04-05 19:17:26,0
2025-04-05 19:17:27,0
2025-04-05 19:17:28,0
2025-04-05 19:17:29,0
2025-04-05 19:17:30,0
2025-04-05 19:17:31,0
2025-04-05 19:17:32,0
2025-04-05 19:17:33,0
2025-04-05 19:17:34,0
2025-04-05 19:17:35,0
2025-04-05 19:17:36,0
2025-04-05 19:17:37,0
2025-04-05 19:17:38,0
2025-04-05 19:17:39,0
2025-04-05 19:17:40,0
2025-04-05 19:17:41,0
2025-04-05 19:17:42,0
2025-04-05 19:17:43,0
2025-04-05 19:17:44,0
2025-04-05 19:17:45,0
2025-04-05 19:17:46,0
2025-04-05 19:17:47,0
2025-04-05 19:17:48,0
2025-04-05 19:17:49,0
2025-04-05 19:17:50,0
2025-04-05 19:17:51,0
2025-04-05 19:17:52,0
2025-04-05 19:17:53,0
2025-04-05 19:17:54,0
2025-04-05 19:17:55,0
2025-04-05 19:17:56,0
2025-04-05 19:17:57,0
2025-04-05 19:17:58,0
2025-04-05 19:17:59,0
2025-04-05 19:18:00,0
2025-04-05 19:18:01,0
2025-04-05 19:18:02,0
2025-04-05 19:18:03,0
2025-04-05 19:18:04,0
2025-04-05 19:18:05,0
2025-04-05 19:18:06,0
2025-04-05 19:18:07,0
2025-04-05 19:18:08,0
2025-04-05 19:18:09,0
2025-04-05 19:18:10,0
2025-04-05 19:18:11,0
2025-04-05 19:18:12,0
2025-04-05 19:18:13,0
2025-04-05 19:18:14,0
2025-04-05 19:18:15,0
2025-04-05 19:18:16,0
2025-04-05 19:18:17,0
2025-04-05 19:18:18,0
2025-04-05 19:18:19,0
2025-04-05 19:18:20,0
2025-04-05 19:18:21,0
2025-04-05 19:18:22,0
2025-04-05 19:18:23,0
2025-04-05 19:18:24,0
2025-04-05 19:18:25,0
2025-04-05 19:18:26,0
2025-04-05 19:18:27,0
2025-04-05 19:18:28,0
2025-04-05 19:18:29,0
2025-04-05 19:18:30,0
2025-04-05 19:18:31,0
2025-04-05 19:18:32,0
2025-04-05 19:18:33,0
2025-04-05 19:18:34,0
2025-04-05 19:18:35,0
2025-04-05 19:18:36,0
2025-04-05 19:18:37,0
2025-04-05 19:18:38,0
2025-04-05 19:18:39,0
2025-04-05 19:18:40,0
2025-04-05 19:18:41,0
2025-04-05 19:18:42,0
2025-04-05 19:18:43,0
2025-04-05 19:18:44,0
2025-04-05 19:18:45,0
2025-04-05 19:18:46,0
2025-04-05 19:18:47,0
2025-04-05 19:18:48,0
2025-04-05 19:18:49,0
2025-04-05 19:18:50,0
2025-04-05 19:18:51,0
2025-04-05 19:18:52,0
2025-04-05 19:18:53,0
2025-04-05 19:18:54,0
2025-04-05 19:18:55,0
2025-04-05 19:18:56,0
2025-04-05 19:18:57,0
2025-04-05 19:18:58,0
2025-04-05 19:18:59,0
2025-04-05 19:19:00,0
2025-04-05 19:19:01,0
2025-04-05 19:19:02,0
2025-04-05 19:19:03,0
2025-04-05 19:19:04,0
2025-04-05 19:19:05,0
2025-04-05 19:19:06,0
2025-04-05 19:19:07,0
2025-04-05 19:19:08,0
2025-04-05 19:19:09,0
2025-04-05 19:19:10,0
2025-04-05 19:19:11,0
2025-04-05 19:19:12,0
2025-04-05 19:19:13,0
2025-04-05 19:19:14,0
2025-04-05 19:19:15,0
2025-04-05 19:19:16,0
2025-04-05 19:19:17,0
2025-04-05 19:19:18,0
2025-04-05 19:19:19,0
2025-04-05 19:19:20,0
2025-04-05 19:19:21,0
2025-04-05 19:19:22,0
2025-04-05 19:19:23,0
2025-04-05 19:19:24,0
2025-04-05 19:19:25,0
2025-04-05 19:19:26,0
2025-04-05 19:19:27,0
2025-04-05 19:19:28,0
2025-04-05 19:19:29,0
2025-04-05 19:19:30,0
2025-04-05 19:19:31,0
2025-04-05 19:19:32,0
2025-04-05 19:19:33,0
2025-04-05 19:19:34,0
2025-04-05 19:19:35,0
2025-04-05 19:19:36,0
2025-04-05 19:19:37,0
2025-04-05 19:19:38,0
2025-04-05 19:19:39,0
2025-04-05 19:19:40,0
