sep=,
"Time","reducirimagen-755894457-zhvt9"
2025-04-05 20:02:02,0.0478
2025-04-05 20:02:03,0.0478
2025-04-05 20:02:04,0.0478
2025-04-05 20:02:05,0.0478
2025-04-05 20:02:06,0.0478
2025-04-05 20:02:07,0.0478
2025-04-05 20:02:08,0.0478
2025-04-05 20:02:09,0.0478
2025-04-05 20:02:10,0.0478
2025-04-05 20:02:11,0.0478
2025-04-05 20:02:12,0.0478
2025-04-05 20:02:13,0.436
2025-04-05 20:02:14,0.436
2025-04-05 20:02:15,0.656
2025-04-05 20:02:16,0.690
2025-04-05 20:02:17,0.725
2025-04-05 20:02:18,0.759
2025-04-05 20:02:19,0.794
2025-04-05 20:02:20,1.03
2025-04-05 20:02:21,1.03
2025-04-05 20:02:22,1.03
2025-04-05 20:02:23,1.03
2025-04-05 20:02:24,1.03
2025-04-05 20:02:25,0.787
2025-04-05 20:02:26,0.752
2025-04-05 20:02:27,0.718
2025-04-05 20:02:28,1.04
2025-04-05 20:02:29,1.04
2025-04-05 20:02:30,1.04
2025-04-05 20:02:31,1.04
2025-04-05 20:02:32,1.05
2025-04-05 20:02:33,1.05
2025-04-05 20:02:34,1.05
2025-04-05 20:02:35,1.05
2025-04-05 20:02:36,1.05
2025-04-05 20:02:37,1.05
2025-04-05 20:02:38,1.04
2025-04-05 20:02:39,1.04
2025-04-05 20:02:40,1.04
2025-04-05 20:02:41,1.04
2025-04-05 20:02:42,1.04
2025-04-05 20:02:43,0.725
2025-04-05 20:02:44,0.759
2025-04-05 20:02:45,0.794
2025-04-05 20:02:46,1.03
2025-04-05 20:02:47,1.03
2025-04-05 20:02:48,1.03
2025-04-05 20:02:49,1.03
2025-04-05 20:02:50,0.797
2025-04-05 20:02:51,0.763
2025-04-05 20:02:52,0.634
2025-04-05 20:02:53,0.634
2025-04-05 20:02:54,0.634
2025-04-05 20:02:55,0.634
2025-04-05 20:02:56,0.634
2025-04-05 20:02:57,0.634
2025-04-05 20:02:58,0.313
2025-04-05 20:02:59,0.313
2025-04-05 20:03:00,0.313
2025-04-05 20:03:01,0.313
2025-04-05 20:03:02,0.313
2025-04-05 20:03:03,0.313
2025-04-05 20:03:04,0.313
2025-04-05 20:03:05,0.313
2025-04-05 20:03:06,0.225
2025-04-05 20:03:07,0.215
2025-04-05 20:03:08,0.00144
2025-04-05 20:03:09,0.00144
2025-04-05 20:03:10,0.00144
2025-04-05 20:03:11,0.00144
2025-04-05 20:03:12,0.00144
2025-04-05 20:03:13,0.00144
2025-04-05 20:03:14,0.00144
2025-04-05 20:03:15,0.00144
2025-04-05 20:03:16,0.00144
2025-04-05 20:03:17,0.00144
2025-04-05 20:03:18,0.00136
2025-04-05 20:03:19,0.00136
2025-04-05 20:03:20,0.00136
2025-04-05 20:03:21,0.00136
2025-04-05 20:03:22,0.000816
2025-04-05 20:03:23,0.000857
2025-04-05 20:03:24,0.000898
2025-04-05 20:03:25,0.000939
2025-04-05 20:03:26,0.00123
2025-04-05 20:03:27,0.00123
2025-04-05 20:03:28,0.00123
2025-04-05 20:03:29,0.00123
2025-04-05 20:03:30,0.000950
2025-04-05 20:03:31,0.00122
2025-04-05 20:03:32,0.00122
2025-04-05 20:03:33,0.00122
2025-04-05 20:03:34,0.00122
2025-04-05 20:03:35,0.00122
2025-04-05 20:03:36,0.00122
2025-04-05 20:03:37,0.00122
2025-04-05 20:03:38,0.00122
2025-04-05 20:03:39,0.00122
2025-04-05 20:03:40,0.00122
2025-04-05 20:03:41,0.00122
2025-04-05 20:03:42,0.00122
2025-04-05 20:03:43,0.00123
2025-04-05 20:03:44,0.00123
2025-04-05 20:03:45,0.00123
2025-04-05 20:03:46,0.00123
2025-04-05 20:03:47,0.00123
2025-04-05 20:03:48,0.00124
2025-04-05 20:03:49,0.00124
2025-04-05 20:03:50,0.00124
2025-04-05 20:03:51,0.00124
2025-04-05 20:03:52,0.00124
2025-04-05 20:03:53,0.00124
2025-04-05 20:03:54,0.00124
2025-04-05 20:03:55,0.00124
2025-04-05 20:03:56,0.000924
2025-04-05 20:03:57,0.000883
2025-04-05 20:03:58,0.000841
2025-04-05 20:03:59,0.000800
2025-04-05 20:04:00,0.000759
2025-04-05 20:04:01,0.00123
2025-04-05 20:04:02,0.00123
2025-04-05 20:04:03,0.00123
2025-04-05 20:04:04,0.00123
2025-04-05 20:04:05,0.00123
2025-04-05 20:04:06,0.00123
2025-04-05 20:04:07,0.00123
2025-04-05 20:04:08,0.00123
2025-04-05 20:04:09,0.00123
2025-04-05 20:04:10,0.00123
2025-04-05 20:04:11,0.00123
2025-04-05 20:04:12,0.00123
