Time,reducirimagen.openfaas-fn
2025-04-14 17:06:00,104.7512
2025-04-14 17:06:15,152.8571
2025-04-14 17:06:30,153.75
2025-04-14 17:06:45,33.5571
2025-04-14 17:07:00,1.8325
2025-04-14 17:07:15,2.5386
2025-04-14 17:07:30,2.11
2025-04-14 17:07:45,2.5229
2025-04-14 17:08:00,2.1138
2025-04-14 17:08:15,2.3214
2025-04-14 17:08:30,1.86
2025-04-14 17:08:45,1.5229
2025-04-14 17:09:00,1.9712
2025-04-14 17:09:15,1.3643
2025-04-14 17:09:30,1.9712
2025-04-14 17:09:45,1.3643
2025-04-14 17:10:00,2.11
2025-04-14 17:10:15,1.6814
2025-04-14 17:10:30,2.11
2025-04-14 17:10:45,1.3643
2025-04-14 17:11:00,1.9712
2025-04-14 17:11:15,1.3643
2025-04-14 17:11:30,1.9712
2025-04-14 17:11:45,1.6814
2025-04-14 17:12:00,2.11
2025-04-14 17:12:15,1.6814
2025-04-14 17:12:30,1.9712
2025-04-14 17:12:45,1.5229
2025-04-14 17:13:00,1.3325
2025-04-14 17:13:15,2.38
2025-04-14 17:13:30,1.9712
2025-04-14 17:13:45,2.5386
2025-04-14 17:14:00,2.11
2025-04-14 17:14:15,2.38
2025-04-14 17:14:30,1.8325
2025-04-14 17:14:45,2.38
2025-04-14 17:15:00,1.8325
2025-04-14 17:15:15,2.5386
2025-04-14 17:15:30,2.11
2025-04-14 17:15:45,2.5386
2025-04-14 17:16:00,1.8325
2025-04-14 17:16:15,2.38
2025-04-14 17:16:30,1.8325
2025-04-14 17:16:45,2.38
2025-04-14 17:17:00,1.9712
2025-04-14 17:17:15,2.5386
2025-04-14 17:17:30,1.86
2025-04-14 17:17:45,1.5229
2025-04-14 17:18:00,1.9712
2025-04-14 17:18:15,1.3643
2025-04-14 17:18:30,1.9712
2025-04-14 17:18:45,1.3643
2025-04-14 17:19:00,2.11
2025-04-14 17:19:15,1.6814
2025-04-14 17:19:30,2.11
2025-04-14 17:19:45,1.3643
2025-04-14 17:20:00,1.9712
2025-04-14 17:20:15,1.3643
2025-04-14 17:20:30,1.9712
2025-04-14 17:20:45,1.6814
2025-04-14 17:21:00,1.11
