Time,reducirimagen.openfaas-fn
2025-04-14 17:06:00,1.0
2025-04-14 17:06:15,1.0
2025-04-14 17:06:30,1.375
2025-04-14 17:06:45,2.0
2025-04-14 17:07:00,1.625
2025-04-14 17:07:15,1.0
2025-04-14 17:07:30,1.0
2025-04-14 17:07:45,1.0
2025-04-14 17:08:00,1.0
2025-04-14 17:08:15,1.0
2025-04-14 17:08:30,1.0
2025-04-14 17:08:45,1.0
2025-04-14 17:09:00,1.0
2025-04-14 17:09:15,1.0
2025-04-14 17:09:30,1.0
2025-04-14 17:09:45,1.0
2025-04-14 17:10:00,1.0
2025-04-14 17:10:15,1.0
2025-04-14 17:10:30,1.0
2025-04-14 17:10:45,1.0
2025-04-14 17:11:00,1.0
2025-04-14 17:11:15,1.0
2025-04-14 17:11:30,1.0
2025-04-14 17:11:45,1.0
2025-04-14 17:12:00,1.0
2025-04-14 17:12:15,1.0
2025-04-14 17:12:30,1.0
2025-04-14 17:12:45,1.0
2025-04-14 17:13:00,1.0
2025-04-14 17:13:15,1.0
2025-04-14 17:13:30,1.0
2025-04-14 17:13:45,1.0
2025-04-14 17:14:00,1.0
2025-04-14 17:14:15,1.0
2025-04-14 17:14:30,1.0
2025-04-14 17:14:45,1.0
2025-04-14 17:15:00,1.0
2025-04-14 17:15:15,1.0
2025-04-14 17:15:30,1.0
2025-04-14 17:15:45,1.0
2025-04-14 17:16:00,1.0
2025-04-14 17:16:15,1.0
2025-04-14 17:16:30,1.0
2025-04-14 17:16:45,1.0
2025-04-14 17:17:00,1.0
2025-04-14 17:17:15,1.0
2025-04-14 17:17:30,1.0
2025-04-14 17:17:45,1.0
2025-04-14 17:18:00,1.0
2025-04-14 17:18:15,1.0
2025-04-14 17:18:30,1.0
2025-04-14 17:18:45,1.0
2025-04-14 17:19:00,1.0
2025-04-14 17:19:15,1.0
2025-04-14 17:19:30,1.0
2025-04-14 17:19:45,1.0
2025-04-14 17:20:00,1.0
2025-04-14 17:20:15,1.0
2025-04-14 17:20:30,1.0
2025-04-14 17:20:45,1.0
2025-04-14 17:21:00,1.0
