sep=,
"Time","200","502"
2025-04-14 20:57:00,0.146,NaN
2025-04-14 20:57:15,1.24,NaN
2025-04-14 20:57:30,1.26,NaN
2025-04-14 20:57:45,1.31,NaN
2025-04-14 20:58:00,NaN,NaN
2025-04-14 20:58:15,0.143,NaN
2025-04-14 20:58:30,NaN,NaN
2025-04-14 20:58:45,0.157,NaN
2025-04-14 20:59:00,NaN,NaN
2025-04-14 20:59:15,0.153,NaN
2025-04-14 20:59:30,NaN,NaN
2025-04-14 20:59:45,0.144,NaN
2025-04-14 21:00:00,NaN,NaN
2025-04-14 21:00:15,0.137,NaN
2025-04-14 21:00:30,NaN,NaN
2025-04-14 21:00:45,0.158,NaN
2025-04-14 21:01:00,NaN,NaN
2025-04-14 21:01:15,0.169,NaN
2025-04-14 21:01:30,NaN,NaN
2025-04-14 21:01:45,NaN,NaN
2025-04-14 21:02:00,NaN,NaN
2025-04-14 21:02:15,NaN,NaN
2025-04-14 21:02:30,0.160,NaN
2025-04-14 21:02:45,NaN,NaN
2025-04-14 21:03:00,0.136,NaN
2025-04-14 21:03:15,NaN,NaN
2025-04-14 21:03:30,0.125,NaN
2025-04-14 21:03:45,NaN,NaN
2025-04-14 21:04:00,0.139,NaN
2025-04-14 21:04:15,NaN,NaN
2025-04-14 21:04:30,0.170,NaN
2025-04-14 21:04:45,NaN,NaN
2025-04-14 21:05:00,0.145,NaN
2025-04-14 21:05:15,NaN,NaN
2025-04-14 21:05:30,0.153,NaN
2025-04-14 21:05:45,NaN,NaN
2025-04-14 21:06:00,NaN,NaN
2025-04-14 21:06:15,NaN,NaN
2025-04-14 21:06:30,NaN,NaN
2025-04-14 21:06:45,0.158,NaN
2025-04-14 21:07:00,NaN,NaN
2025-04-14 21:07:15,0.153,NaN
2025-04-14 21:07:30,NaN,NaN
2025-04-14 21:07:45,0.137,NaN
2025-04-14 21:08:00,NaN,NaN
2025-04-14 21:08:15,0.149,NaN
2025-04-14 21:08:30,NaN,NaN
2025-04-14 21:08:45,0.171,NaN
2025-04-14 21:09:00,NaN,NaN
2025-04-14 21:09:15,0.157,NaN
2025-04-14 21:09:30,NaN,NaN
2025-04-14 21:09:45,0.134,NaN
2025-04-14 21:10:00,NaN,NaN
2025-04-14 21:10:15,NaN,NaN
2025-04-14 21:10:30,NaN,NaN
2025-04-14 21:10:45,NaN,NaN
2025-04-14 21:11:00,NaN,NaN
2025-04-14 21:11:15,NaN,NaN
2025-04-14 21:11:30,0.151,NaN
2025-04-14 21:11:45,NaN,NaN
2025-04-14 21:12:00,0.159,NaN
2025-04-14 21:12:15,NaN,NaN
2025-04-14 21:12:30,0.124,NaN
2025-04-14 21:12:45,NaN,NaN
2025-04-14 21:13:00,0.138,NaN
2025-04-14 21:13:15,NaN,NaN
2025-04-14 21:13:30,0.138,NaN
2025-04-14 21:13:45,NaN,NaN
2025-04-14 21:14:00,0.198,NaN
2025-04-14 21:14:15,1.24,NaN
2025-04-14 21:14:30,1.27,NaN
2025-04-14 21:14:45,1.36,NaN
2025-04-14 21:15:00,0.139,NaN
2025-04-14 21:15:15,NaN,NaN
2025-04-14 21:15:30,0.144,NaN
2025-04-14 21:15:45,NaN,NaN
2025-04-14 21:16:00,0.149,NaN
2025-04-14 21:16:15,NaN,NaN
2025-04-14 21:16:30,0.159,NaN
2025-04-14 21:16:45,NaN,NaN
2025-04-14 21:17:00,0.177,NaN
2025-04-14 21:17:15,NaN,NaN
2025-04-14 21:17:30,NaN,NaN
2025-04-14 21:17:45,NaN,NaN
2025-04-14 21:18:00,NaN,NaN
2025-04-14 21:18:15,0.158,NaN
2025-04-14 21:18:30,NaN,NaN
2025-04-14 21:18:45,0.164,NaN
2025-04-14 21:19:00,NaN,NaN
2025-04-14 21:19:15,0.148,NaN
2025-04-14 21:19:30,NaN,NaN
2025-04-14 21:19:45,0.160,NaN
2025-04-14 21:20:00,NaN,NaN
2025-04-14 21:20:15,0.136,NaN
2025-04-14 21:20:30,NaN,NaN
2025-04-14 21:20:45,0.148,NaN
2025-04-14 21:21:00,NaN,NaN
2025-04-14 21:21:15,0.146,NaN
2025-04-14 21:21:30,NaN,NaN
2025-04-14 21:21:45,NaN,NaN
2025-04-14 21:22:00,NaN,NaN
2025-04-14 21:22:15,NaN,NaN
2025-04-14 21:22:30,NaN,NaN
2025-04-14 21:22:45,NaN,NaN
2025-04-14 21:23:00,0.133,NaN
2025-04-14 21:23:15,NaN,NaN
2025-04-14 21:23:30,0.137,NaN
2025-04-14 21:23:45,NaN,NaN
2025-04-14 21:24:00,0.137,NaN
2025-04-14 21:24:15,NaN,NaN
2025-04-14 21:24:30,0.179,NaN
2025-04-14 21:24:45,NaN,NaN
2025-04-14 21:25:00,0.166,NaN
2025-04-14 21:25:15,NaN,NaN
2025-04-14 21:25:30,0.157,NaN
2025-04-14 21:25:45,NaN,NaN
2025-04-14 21:26:00,NaN,NaN
2025-04-14 21:26:15,NaN,NaN
2025-04-14 21:26:30,NaN,NaN
2025-04-14 21:26:45,NaN,NaN
2025-04-14 21:27:00,NaN,NaN
2025-04-14 21:27:15,0.198,NaN
2025-04-14 21:27:30,NaN,NaN
2025-04-14 21:27:45,0.154,NaN
2025-04-14 21:28:00,NaN,NaN
2025-04-14 21:28:15,0.148,NaN
2025-04-14 21:28:30,NaN,NaN
2025-04-14 21:28:45,0.139,NaN
2025-04-14 21:29:00,NaN,NaN
2025-04-14 21:29:15,0.126,NaN
2025-04-14 21:29:30,NaN,NaN
2025-04-14 21:29:45,0.140,NaN
2025-04-14 21:30:00,NaN,NaN
2025-04-14 21:30:15,NaN,NaN
2025-04-14 21:30:30,NaN,NaN
2025-04-14 21:30:45,NaN,NaN
2025-04-14 21:31:00,0.157,NaN
2025-04-14 21:31:15,1.23,NaN
2025-04-14 21:31:30,1.23,NaN
2025-04-14 21:31:45,1.51,NaN
2025-04-14 21:32:00,NaN,NaN
2025-04-14 21:32:15,0.146,NaN
2025-04-14 21:32:30,NaN,NaN
2025-04-14 21:32:45,0.134,NaN
2025-04-14 21:33:00,NaN,NaN
2025-04-14 21:33:15,0.135,NaN
2025-04-14 21:33:30,NaN,NaN
2025-04-14 21:33:45,0.220,NaN
2025-04-14 21:34:00,NaN,NaN
2025-04-14 21:34:15,NaN,NaN
2025-04-14 21:34:30,NaN,NaN
2025-04-14 21:34:45,NaN,NaN
2025-04-14 21:35:00,0.193,NaN
2025-04-14 21:35:15,NaN,NaN
2025-04-14 21:35:30,0.199,NaN
2025-04-14 21:35:45,NaN,NaN
2025-04-14 21:36:00,0.134,NaN
2025-04-14 21:36:15,NaN,NaN
2025-04-14 21:36:30,0.148,NaN
2025-04-14 21:36:45,NaN,NaN
2025-04-14 21:37:00,0.149,NaN
2025-04-14 21:37:15,NaN,NaN
2025-04-14 21:37:30,0.153,NaN
2025-04-14 21:37:45,NaN,NaN
2025-04-14 21:38:00,0.138,NaN
2025-04-14 21:38:15,NaN,NaN
2025-04-14 21:38:30,NaN,NaN
2025-04-14 21:38:45,NaN,NaN
2025-04-14 21:39:00,NaN,NaN
2025-04-14 21:39:15,0.183,NaN
2025-04-14 21:39:30,NaN,NaN
2025-04-14 21:39:45,0.138,NaN
2025-04-14 21:40:00,NaN,NaN
2025-04-14 21:40:15,0.145,NaN
2025-04-14 21:40:30,NaN,NaN
2025-04-14 21:40:45,0.138,NaN
2025-04-14 21:41:00,NaN,NaN
2025-04-14 21:41:15,0.157,NaN
2025-04-14 21:41:30,NaN,NaN
2025-04-14 21:41:45,0.177,NaN
2025-04-14 21:42:00,NaN,NaN
2025-04-14 21:42:15,0.138,NaN
2025-04-14 21:42:30,NaN,NaN
2025-04-14 21:42:45,NaN,NaN
2025-04-14 21:43:00,NaN,NaN
2025-04-14 21:43:15,NaN,NaN
2025-04-14 21:43:30,NaN,NaN
2025-04-14 21:43:45,NaN,NaN
2025-04-14 21:44:00,0.137,NaN
2025-04-14 21:44:15,NaN,NaN
2025-04-14 21:44:30,0.147,NaN
2025-04-14 21:44:45,NaN,NaN
2025-04-14 21:45:00,0.149,NaN
2025-04-14 21:45:15,NaN,NaN
2025-04-14 21:45:30,0.143,NaN
2025-04-14 21:45:45,NaN,NaN
2025-04-14 21:46:00,0.177,NaN
2025-04-14 21:46:15,NaN,NaN
2025-04-14 21:46:30,0.137,NaN
2025-04-14 21:46:45,NaN,NaN
2025-04-14 21:47:00,NaN,NaN
2025-04-14 21:47:15,NaN,NaN
2025-04-14 21:47:30,NaN,NaN
2025-04-14 21:47:45,0.154,NaN
2025-04-14 21:48:00,NaN,NaN
2025-04-14 21:48:15,1.27,NaN
2025-04-14 21:48:30,1.31,NaN
2025-04-14 21:48:45,1.48,NaN
2025-04-14 21:49:00,NaN,NaN
2025-04-14 21:49:15,0.142,NaN
2025-04-14 21:49:30,NaN,NaN
2025-04-14 21:49:45,0.197,NaN
2025-04-14 21:50:00,NaN,NaN
2025-04-14 21:50:15,0.148,NaN
2025-04-14 21:50:30,NaN,NaN
2025-04-14 21:50:45,NaN,NaN
2025-04-14 21:51:00,NaN,NaN
2025-04-14 21:51:15,NaN,NaN
2025-04-14 21:51:30,NaN,NaN
2025-04-14 21:51:45,NaN,NaN
2025-04-14 21:52:00,0.166,NaN
2025-04-14 21:52:15,NaN,NaN
2025-04-14 21:52:30,0.152,NaN
2025-04-14 21:52:45,NaN,NaN
2025-04-14 21:53:00,0.148,NaN
2025-04-14 21:53:15,NaN,NaN
2025-04-14 21:53:30,0.159,NaN
2025-04-14 21:53:45,NaN,NaN
2025-04-14 21:54:00,0.146,NaN
2025-04-14 21:54:15,NaN,NaN
2025-04-14 21:54:30,0.158,NaN
2025-04-14 21:54:45,NaN,NaN
2025-04-14 21:55:00,0.134,NaN
2025-04-14 21:55:15,NaN,NaN
2025-04-14 21:55:30,NaN,NaN
2025-04-14 21:55:45,NaN,NaN
2025-04-14 21:56:00,NaN,NaN
2025-04-14 21:56:15,0.240,NaN
2025-04-14 21:56:30,NaN,NaN
2025-04-14 21:56:45,0.155,NaN
2025-04-14 21:57:00,NaN,NaN
2025-04-14 21:57:15,0.145,NaN
2025-04-14 21:57:30,NaN,NaN
2025-04-14 21:57:45,0.141,NaN
2025-04-14 21:58:00,NaN,NaN
2025-04-14 21:58:15,0.150,NaN
2025-04-14 21:58:30,NaN,NaN
2025-04-14 21:58:45,0.146,NaN
2025-04-14 21:59:00,NaN,NaN
2025-04-14 21:59:15,0.133,NaN
2025-04-14 21:59:30,NaN,NaN
2025-04-14 21:59:45,NaN,NaN
2025-04-14 22:00:00,NaN,NaN
2025-04-14 22:00:15,NaN,NaN
2025-04-14 22:00:30,0.161,NaN
2025-04-14 22:00:45,NaN,NaN
2025-04-14 22:01:00,0.148,NaN
2025-04-14 22:01:15,NaN,NaN
2025-04-14 22:01:30,0.173,NaN
2025-04-14 22:01:45,NaN,NaN
2025-04-14 22:02:00,0.136,NaN
2025-04-14 22:02:15,NaN,NaN
2025-04-14 22:02:30,0.133,NaN
2025-04-14 22:02:45,NaN,NaN
2025-04-14 22:03:00,0.156,NaN
2025-04-14 22:03:15,NaN,NaN
2025-04-14 22:03:30,0.137,NaN
2025-04-14 22:03:45,NaN,NaN
2025-04-14 22:04:00,NaN,NaN
2025-04-14 22:04:15,NaN,NaN
2025-04-14 22:04:30,NaN,NaN
2025-04-14 22:04:45,NaN,NaN
2025-04-14 22:05:00,NaN,NaN
2025-04-14 22:05:15,1.28,NaN
2025-04-14 22:05:30,1.23,NaN
2025-04-14 22:05:45,1.53,NaN
2025-04-14 22:06:00,NaN,NaN
2025-04-14 22:06:15,0.147,NaN
2025-04-14 22:06:30,NaN,NaN
2025-04-14 22:06:45,0.156,NaN
2025-04-14 22:07:00,NaN,NaN
2025-04-14 22:07:15,0.159,NaN
2025-04-14 22:07:30,NaN,NaN
2025-04-14 22:07:45,NaN,NaN
2025-04-14 22:08:00,NaN,NaN
2025-04-14 22:08:15,NaN,NaN
2025-04-14 22:08:30,0.153,NaN
2025-04-14 22:08:45,NaN,NaN
2025-04-14 22:09:00,0.166,NaN
2025-04-14 22:09:15,NaN,NaN
2025-04-14 22:09:30,0.156,NaN
2025-04-14 22:09:45,NaN,NaN
2025-04-14 22:10:00,0.156,NaN
2025-04-14 22:10:15,NaN,NaN
2025-04-14 22:10:30,0.131,NaN
2025-04-14 22:10:45,NaN,NaN
2025-04-14 22:11:00,0.184,NaN
2025-04-14 22:11:15,NaN,NaN
2025-04-14 22:11:30,0.154,NaN
2025-04-14 22:11:45,NaN,NaN
2025-04-14 22:12:00,NaN,NaN
2025-04-14 22:12:15,NaN,NaN
2025-04-14 22:12:30,NaN,NaN
2025-04-14 22:12:45,0.141,NaN
2025-04-14 22:13:00,NaN,NaN
2025-04-14 22:13:15,0.135,NaN
2025-04-14 22:13:30,NaN,NaN
2025-04-14 22:13:45,0.147,NaN
2025-04-14 22:14:00,NaN,NaN
2025-04-14 22:14:15,0.142,NaN
2025-04-14 22:14:30,NaN,NaN
2025-04-14 22:14:45,0.160,NaN
2025-04-14 22:15:00,NaN,NaN
2025-04-14 22:15:15,0.145,NaN
2025-04-14 22:15:30,NaN,NaN
2025-04-14 22:15:45,0.162,NaN
2025-04-14 22:16:00,NaN,NaN
2025-04-14 22:16:15,0.155,NaN
2025-04-14 22:16:30,NaN,NaN
2025-04-14 22:16:45,NaN,NaN
2025-04-14 22:17:00,NaN,NaN
2025-04-14 22:17:15,NaN,NaN
2025-04-14 22:17:30,0.159,NaN
2025-04-14 22:17:45,NaN,NaN
2025-04-14 22:18:00,0.138,NaN
2025-04-14 22:18:15,NaN,NaN
2025-04-14 22:18:30,0.191,NaN
2025-04-14 22:18:45,NaN,NaN
2025-04-14 22:19:00,0.147,NaN
2025-04-14 22:19:15,NaN,NaN
2025-04-14 22:19:30,0.143,NaN
2025-04-14 22:19:45,NaN,NaN
2025-04-14 22:20:00,0.174,NaN
2025-04-14 22:20:15,NaN,NaN
2025-04-14 22:20:30,0.141,NaN
2025-04-14 22:20:45,NaN,NaN
2025-04-14 22:21:00,NaN,NaN
2025-04-14 22:21:15,NaN,NaN
