Time,reducirimagen-755894457-zhvt9
2025-07-01 01:31:00,205.0MB
2025-07-01 01:31:30,205.83MB
2025-07-01 01:32:00,206.0MB
2025-07-01 01:32:30,206.0MB
2025-07-01 01:33:00,206.0MB
2025-07-01 01:33:30,205.33MB
2025-07-01 01:34:00,205.0MB
2025-07-01 01:34:30,205.0MB
2025-07-01 01:35:00,205.0MB
2025-07-01 01:35:30,205.0MB
2025-07-01 01:36:00,205.0MB
2025-07-01 01:36:30,205.0MB
2025-07-01 01:37:00,205.0MB
2025-07-01 01:37:30,205.0MB
2025-07-01 01:38:00,205.0MB
2025-07-01 01:38:30,205.0MB
2025-07-01 01:39:00,205.0MB
2025-07-01 01:39:30,205.0MB
2025-07-01 01:40:00,205.0MB
2025-07-01 01:40:30,205.0MB
2025-07-01 01:41:00,205.0MB
2025-07-01 01:41:30,205.0MB
2025-07-01 01:42:00,205.0MB
2025-07-01 01:42:30,205.0MB
2025-07-01 01:43:00,205.0MB
2025-07-01 01:43:30,205.0MB
2025-07-01 01:44:00,205.0MB
2025-07-01 01:44:30,205.0MB
2025-07-01 01:45:00,205.0MB
2025-07-01 01:45:30,205.0MB
2025-07-01 01:46:00,205.0MB
2025-07-01 01:46:30,205.0MB
2025-07-01 01:47:00,205.0MB
2025-07-01 01:47:30,205.0MB
2025-07-01 01:48:00,205.0MB
2025-07-01 01:48:30,205.0MB
2025-07-01 01:49:00,205.17MB
2025-07-01 01:49:30,205.33MB
2025-07-01 01:50:00,205.0MB
2025-07-01 01:50:30,205.0MB
2025-07-01 01:51:00,205.0MB
2025-07-01 01:51:30,205.5MB
2025-07-01 01:52:00,206.0MB
2025-07-01 01:52:30,206.0MB
2025-07-01 01:53:00,206.0MB
2025-07-01 01:53:30,205.33MB
2025-07-01 01:54:00,205.0MB
2025-07-01 01:54:30,205.0MB
2025-07-01 01:55:00,205.0MB
2025-07-01 01:55:30,205.0MB
2025-07-01 01:56:00,205.0MB
2025-07-01 01:56:30,205.0MB
2025-07-01 01:57:00,205.0MB
2025-07-01 01:57:30,205.0MB
2025-07-01 01:58:00,205.0MB
2025-07-01 01:58:30,205.0MB
2025-07-01 01:59:00,205.0MB
2025-07-01 01:59:30,205.0MB
2025-07-01 02:00:00,205.0MB
2025-07-01 02:00:30,205.5MB
2025-07-01 02:01:00,206.0MB
2025-07-01 02:01:30,205.67MB
2025-07-01 02:02:00,205.17MB
2025-07-01 02:02:30,206.0MB
2025-07-01 02:03:00,206.0MB
2025-07-01 02:03:30,206.0MB
2025-07-01 02:04:00,206.0MB
2025-07-01 02:04:30,206.0MB
2025-07-01 02:05:00,206.0MB
2025-07-01 02:05:30,206.0MB
2025-07-01 02:06:00,206.0MB
2025-07-01 02:06:30,206.0MB
2025-07-01 02:07:00,206.0MB
2025-07-01 02:07:30,206.0MB
2025-07-01 02:08:00,206.0MB
2025-07-01 02:08:30,206.0MB
2025-07-01 02:09:00,206.0MB
2025-07-01 02:09:30,206.0MB
2025-07-01 02:10:00,206.0MB
2025-07-01 02:10:30,206.0MB
2025-07-01 02:11:00,206.0MB
2025-07-01 02:11:30,206.0MB
2025-07-01 02:12:00,206.0MB
2025-07-01 02:12:30,206.0MB
2025-07-01 02:13:00,206.0MB
2025-07-01 02:13:30,206.0MB
2025-07-01 02:14:00,206.0MB
2025-07-01 02:14:30,206.0MB
2025-07-01 02:15:00,206.0MB
2025-07-01 02:15:30,206.0MB
2025-07-01 02:16:00,206.0MB
2025-07-01 02:16:30,206.0MB
2025-07-01 02:17:00,206.0MB
2025-07-01 02:17:30,206.0MB
2025-07-01 02:18:00,206.0MB
2025-07-01 02:18:30,206.0MB
2025-07-01 02:19:00,206.0MB
2025-07-01 02:19:30,206.0MB
2025-07-01 02:20:00,206.0MB
2025-07-01 02:20:30,206.0MB
2025-07-01 02:21:00,206.33MB
2025-07-01 02:21:30,207.0MB
2025-07-01 02:22:00,207.0MB
2025-07-01 02:22:30,207.0MB
2025-07-01 02:23:00,207.0MB
2025-07-01 02:23:30,207.0MB
2025-07-01 02:24:00,207.0MB
2025-07-01 02:24:30,207.0MB
2025-07-01 02:25:00,207.0MB
2025-07-01 02:25:30,207.0MB
2025-07-01 02:26:00,206.67MB
2025-07-01 02:26:30,206.0MB
2025-07-01 02:27:00,206.0MB
2025-07-01 02:27:30,206.0MB
2025-07-01 02:28:00,206.0MB
2025-07-01 02:28:30,206.0MB
2025-07-01 02:29:00,206.5MB
2025-07-01 02:29:30,207.0MB
2025-07-01 02:30:00,206.5MB
2025-07-01 02:30:30,206.0MB
2025-07-01 02:31:00,207.0MB
