Time,reducirimagen-755894457-zhvt9
2025-07-09 18:56:30,220.0MB
2025-07-09 18:57:00,220.0MB
2025-07-09 18:57:30,220.0MB
2025-07-09 18:58:00,220.0MB
2025-07-09 18:58:30,220.0MB
2025-07-09 18:59:00,220.0MB
2025-07-09 18:59:30,220.0MB
2025-07-09 19:00:00,205.83MB
2025-07-09 19:00:30,152.33MB
2025-07-09 19:01:00,165.17MB
2025-07-09 19:01:30,180.67MB
2025-07-09 19:02:00,182.0MB
2025-07-09 19:02:30,182.0MB
2025-07-09 19:03:00,182.0MB
2025-07-09 19:03:30,182.0MB
2025-07-09 19:04:00,182.0MB
2025-07-09 19:04:30,181.33MB
2025-07-09 19:05:00,182.0MB
2025-07-09 19:05:30,182.0MB
2025-07-09 19:06:00,182.0MB
2025-07-09 19:06:30,182.0MB
2025-07-09 19:07:00,184.0MB
2025-07-09 19:07:30,184.0MB
2025-07-09 19:08:00,184.5MB
2025-07-09 19:08:30,184.0MB
2025-07-09 19:09:00,184.0MB
2025-07-09 19:09:30,184.17MB
2025-07-09 19:10:00,185.0MB
2025-07-09 19:10:30,185.0MB
2025-07-09 19:11:00,185.0MB
2025-07-09 19:11:30,185.0MB
2025-07-09 19:12:00,185.83MB
2025-07-09 19:12:30,185.33MB
2025-07-09 19:13:00,185.17MB
2025-07-09 19:13:30,186.0MB
2025-07-09 19:14:00,186.0MB
2025-07-09 19:14:30,186.0MB
2025-07-09 19:15:00,186.0MB
2025-07-09 19:15:30,186.0MB
2025-07-09 19:16:00,186.0MB
2025-07-09 19:16:30,186.0MB
2025-07-09 19:17:00,187.0MB
2025-07-09 19:17:30,187.0MB
2025-07-09 19:18:00,187.0MB
2025-07-09 19:18:30,187.0MB
2025-07-09 19:19:00,187.0MB
2025-07-09 19:19:30,187.0MB
2025-07-09 19:20:00,187.0MB
2025-07-09 19:20:30,187.0MB
2025-07-09 19:21:00,187.0MB
2025-07-09 19:21:30,187.0MB
2025-07-09 19:22:00,194.0MB
2025-07-09 19:22:30,201.0MB
2025-07-09 19:23:00,201.0MB
2025-07-09 19:23:30,201.0MB
2025-07-09 19:24:00,201.0MB
2025-07-09 19:24:30,201.0MB
2025-07-09 19:25:00,201.0MB
2025-07-09 19:25:30,201.0MB
2025-07-09 19:26:00,201.0MB
2025-07-09 19:26:30,201.0MB
2025-07-09 19:27:00,201.0MB
2025-07-09 19:27:30,201.0MB
2025-07-09 19:28:00,201.0MB
2025-07-09 19:28:30,201.0MB
2025-07-09 19:29:00,201.0MB
2025-07-09 19:29:30,201.0MB
2025-07-09 19:30:00,201.0MB
2025-07-09 19:30:30,201.0MB
2025-07-09 19:31:00,201.67MB
2025-07-09 19:31:30,203.0MB
2025-07-09 19:32:00,203.0MB
2025-07-09 19:32:30,203.0MB
2025-07-09 19:33:00,203.0MB
2025-07-09 19:33:30,202.83MB
2025-07-09 19:34:00,202.0MB
2025-07-09 19:34:30,201.5MB
2025-07-09 19:35:00,199.0MB
2025-07-09 19:35:30,199.0MB
2025-07-09 19:36:00,199.0MB
2025-07-09 19:36:30,199.0MB
2025-07-09 19:37:00,199.0MB
2025-07-09 19:37:30,199.0MB
2025-07-09 19:38:00,199.0MB
2025-07-09 19:38:30,200.5MB
2025-07-09 19:39:00,200.0MB
2025-07-09 19:39:30,200.17MB
2025-07-09 19:40:00,201.0MB
2025-07-09 19:40:30,201.0MB
2025-07-09 19:41:00,201.0MB
2025-07-09 19:41:30,201.0MB
2025-07-09 19:42:00,201.0MB
2025-07-09 19:42:30,201.0MB
2025-07-09 19:43:00,201.0MB
2025-07-09 19:43:30,201.0MB
2025-07-09 19:44:00,201.0MB
2025-07-09 19:44:30,201.0MB
2025-07-09 19:45:00,201.0MB
2025-07-09 19:45:30,201.0MB
2025-07-09 19:46:00,201.0MB
2025-07-09 19:46:30,201.0MB
2025-07-09 19:47:00,201.0MB
2025-07-09 19:47:30,201.0MB
2025-07-09 19:48:00,201.0MB
2025-07-09 19:48:30,201.0MB
2025-07-09 19:49:00,201.0MB
2025-07-09 19:49:30,201.0MB
2025-07-09 19:50:00,201.0MB
2025-07-09 19:50:30,201.0MB
2025-07-09 19:51:00,201.0MB
2025-07-09 19:51:30,201.0MB
2025-07-09 19:52:00,201.0MB
2025-07-09 19:52:30,201.0MB
2025-07-09 19:53:00,201.0MB
2025-07-09 19:53:30,201.0MB
2025-07-09 19:54:00,201.0MB
2025-07-09 19:54:30,201.0MB
2025-07-09 19:55:00,201.0MB
2025-07-09 19:55:30,201.0MB
2025-07-09 19:56:00,201.0MB
2025-07-09 19:56:30,201.0MB
2025-07-09 19:57:00,201.0MB
2025-07-09 19:57:30,201.0MB
