"Time","reducirimagen.openfaas-fn"
2025-07-02 19:09:28,0
2025-07-02 19:09:30,1.12
2025-07-02 19:09:32,1.10
2025-07-02 19:09:34,2.44
2025-07-02 19:09:36,2.63
2025-07-02 19:09:38,2.24
2025-07-02 19:09:40,3.42
2025-07-02 19:09:42,3.55
2025-07-02 19:09:44,4.45
2025-07-02 19:09:46,4.65
2025-07-02 19:09:48,4.29
2025-07-02 19:09:50,5.48
2025-07-02 19:09:52,5.64
2025-07-02 19:09:54,6.46
2025-07-02 19:09:56,6.65
2025-07-02 19:09:58,6.31
2025-07-02 19:10:00,6.48
2025-07-02 19:10:02,7.67
2025-07-02 19:10:04,8.46
2025-07-02 19:10:06,8.66
2025-07-02 19:10:08,8.33
2025-07-02 19:10:10,8.50
2025-07-02 19:10:12,9.70
2025-07-02 19:10:14,10.5
2025-07-02 19:10:16,10.7
2025-07-02 19:10:18,10.3
2025-07-02 19:10:20,10.5
2025-07-02 19:10:22,11.7
2025-07-02 19:10:24,12.5
2025-07-02 19:10:26,12.7
2025-07-02 19:10:28,12.3
2025-07-02 19:10:30,12.5
2025-07-02 19:10:32,13.7
2025-07-02 19:10:34,14.5
2025-07-02 19:10:36,14.7
2025-07-02 19:10:38,14.3
2025-07-02 19:10:40,14.5
2025-07-02 19:10:42,15.7
2025-07-02 19:10:44,16.5
2025-07-02 19:10:46,16.7
2025-07-02 19:10:48,16.3
2025-07-02 19:10:50,16.5
2025-07-02 19:10:52,17.7
2025-07-02 19:10:54,18.5
2025-07-02 19:10:56,18.7
2025-07-02 19:10:58,18.4
2025-07-02 19:11:00,18.5
2025-07-02 19:11:02,19.7
2025-07-02 19:11:04,20.5
2025-07-02 19:11:06,20.7
2025-07-02 19:11:08,20.4
2025-07-02 19:11:10,20.5
2025-07-02 19:11:12,21.7
2025-07-02 19:11:14,22.5
2025-07-02 19:11:16,22.7
2025-07-02 19:11:18,22.4
2025-07-02 19:11:20,22.5
2025-07-02 19:11:22,23.7
2025-07-02 19:11:24,24.5
2025-07-02 19:11:26,24.7
2025-07-02 19:11:28,24.4
2025-07-02 19:11:30,24.5
2025-07-02 19:11:32,25.7
2025-07-02 19:11:34,26.5
2025-07-02 19:11:36,26.7
2025-07-02 19:11:38,26.4
2025-07-02 19:11:40,26.5
2025-07-02 19:11:42,27.7
2025-07-02 19:11:44,28.5
2025-07-02 19:11:46,28.7
2025-07-02 19:11:48,28.4
2025-07-02 19:11:50,28.6
2025-07-02 19:11:52,28.7
2025-07-02 19:11:54,30.5
2025-07-02 19:11:56,30.7
2025-07-02 19:11:58,30.4
2025-07-02 19:12:00,30.6
2025-07-02 19:12:02,30.7
2025-07-02 19:12:04,32.5
2025-07-02 19:12:06,32.7
2025-07-02 19:12:08,32.4
2025-07-02 19:12:10,32.6
2025-07-02 19:12:12,32.7
2025-07-02 19:12:14,34.5
2025-07-02 19:12:16,34.7
2025-07-02 19:12:18,34.4
2025-07-02 19:12:20,34.6
2025-07-02 19:12:22,34.7
2025-07-02 19:12:24,36.5
2025-07-02 19:12:26,36.7
2025-07-02 19:12:28,36.4
2025-07-02 19:12:30,36.6
2025-07-02 19:12:32,36.7
2025-07-02 19:12:34,38.5
2025-07-02 19:12:36,38.7
2025-07-02 19:12:38,38.4
2025-07-02 19:12:40,38.6
2025-07-02 19:12:42,38.8
2025-07-02 19:12:44,40.5
2025-07-02 19:12:46,40.7
2025-07-02 19:12:48,40.4
2025-07-02 19:12:50,40.6
2025-07-02 19:12:52,40.8
2025-07-02 19:12:54,42.5
2025-07-02 19:12:56,42.7
2025-07-02 19:12:58,42.4
2025-07-02 19:13:00,42.6
2025-07-02 19:13:02,42.8
2025-07-02 19:13:04,44.5
2025-07-02 19:13:06,44.7
2025-07-02 19:13:08,44.4
2025-07-02 19:13:10,44.6
2025-07-02 19:13:12,44.8
2025-07-02 19:13:14,46.5
2025-07-02 19:13:16,46.7
2025-07-02 19:13:18,46.4
2025-07-02 19:13:20,46.6
2025-07-02 19:13:22,46.8
2025-07-02 19:13:24,48.5
2025-07-02 19:13:26,48.7
2025-07-02 19:13:28,48.4
2025-07-02 19:13:30,48.6
2025-07-02 19:13:32,48.8
2025-07-02 19:13:34,49.5
2025-07-02 19:13:36,49.7
2025-07-02 19:13:38,50.4
2025-07-02 19:13:40,50.6
2025-07-02 19:13:42,50.8
2025-07-02 19:13:44,50.5
2025-07-02 19:13:46,51.7
2025-07-02 19:13:48,52.4
2025-07-02 19:13:50,52.6
2025-07-02 19:13:52,52.8
2025-07-02 19:13:54,52.5
2025-07-02 19:13:56,53.7
2025-07-02 19:13:58,54.4
2025-07-02 19:14:00,54.6
2025-07-02 19:14:02,54.8
2025-07-02 19:14:04,54.5
2025-07-02 19:14:06,55.7
2025-07-02 19:14:08,56.4
2025-07-02 19:14:10,56.6
2025-07-02 19:14:12,56.8
2025-07-02 19:14:14,56.5
2025-07-02 19:14:16,57.7
2025-07-02 19:14:18,58.4
2025-07-02 19:14:20,58.6
2025-07-02 19:14:22,58.8
2025-07-02 19:14:24,58.5
2025-07-02 19:14:26,59.7
2025-07-02 19:14:28,60.4
2025-07-02 19:14:30,60.6
