"Time","reducirimagen.openfaas-fn"
2025-07-03 11:05:00,0
2025-07-03 11:05:02,1.09
2025-07-03 11:05:04,2.44
2025-07-03 11:05:06,2.63
2025-07-03 11:05:08,2.24
2025-07-03 11:05:10,2.36
2025-07-03 11:05:12,3.54
2025-07-03 11:05:14,4.45
2025-07-03 11:05:16,4.64
2025-07-03 11:05:18,4.28
2025-07-03 11:05:20,4.44
2025-07-03 11:05:22,5.63
2025-07-03 11:05:24,6.45
2025-07-03 11:05:26,6.65
2025-07-03 11:05:28,6.31
2025-07-03 11:05:30,6.47
2025-07-03 11:05:32,6.64
2025-07-03 11:05:34,8.45
2025-07-03 11:05:36,8.65
2025-07-03 11:05:38,8.32
2025-07-03 11:05:40,8.49
2025-07-03 11:05:42,8.67
2025-07-03 11:05:44,10.5
2025-07-03 11:05:46,10.7
2025-07-03 11:05:48,10.3
2025-07-03 11:05:50,10.5
2025-07-03 11:05:52,10.7
2025-07-03 11:05:54,12.5
2025-07-03 11:05:56,12.7
2025-07-03 11:05:58,12.3
2025-07-03 11:06:00,12.5
2025-07-03 11:06:02,12.7
2025-07-03 11:06:04,14.5
2025-07-03 11:06:06,14.7
2025-07-03 11:06:08,14.3
2025-07-03 11:06:10,14.5
2025-07-03 11:06:12,14.7
2025-07-03 11:06:14,16.5
2025-07-03 11:06:16,16.7
2025-07-03 11:06:18,16.3
2025-07-03 11:06:20,16.5
2025-07-03 11:06:22,16.7
2025-07-03 11:06:24,19.5
2025-07-03 11:06:26,19.7
2025-07-03 11:06:28,20.4
2025-07-03 11:06:30,20.6
2025-07-03 11:06:32,20.8
2025-07-03 11:06:34,22.5
2025-07-03 11:06:36,22.7
2025-07-03 11:06:38,22.4
2025-07-03 11:06:40,22.6
2025-07-03 11:06:42,22.8
2025-07-03 11:06:44,23.5
2025-07-03 11:06:46,23.7
2025-07-03 11:06:48,24.4
2025-07-03 11:06:50,24.6
2025-07-03 11:06:52,24.8
2025-07-03 11:06:54,25.5
2025-07-03 11:06:56,25.7
2025-07-03 11:06:58,26.4
2025-07-03 11:07:00,26.6
2025-07-03 11:07:02,27.8
2025-07-03 11:07:04,29.5
2025-07-03 11:07:06,29.7
2025-07-03 11:07:08,30.4
2025-07-03 11:07:10,30.6
2025-07-03 11:07:12,30.8
2025-07-03 11:07:14,30.5
2025-07-03 11:07:16,31.7
2025-07-03 11:07:18,32.4
2025-07-03 11:07:20,32.6
2025-07-03 11:07:22,32.8
2025-07-03 11:07:24,32.5
2025-07-03 11:07:26,33.7
2025-07-03 11:07:28,34.4
2025-07-03 11:07:30,34.6
2025-07-03 11:07:32,34.8
2025-07-03 11:07:34,34.5
2025-07-03 11:07:36,35.7
2025-07-03 11:07:38,36.4
2025-07-03 11:07:40,36.6
2025-07-03 11:07:42,36.8
2025-07-03 11:07:44,36.5
