"Time","reducirimagen.openfaas-fn"
"2025-01-29 20:05:00","1"
"2025-01-29 20:05:15","1"
"2025-01-29 20:05:30","1"
"2025-01-29 20:05:45","1"
"2025-01-29 20:06:00","2"
"2025-01-29 20:06:15","2"
"2025-01-29 20:06:30","2"
"2025-01-29 20:06:45","3"
"2025-01-29 20:07:00","3"
"2025-01-29 20:07:15","3"
"2025-01-29 20:07:30","4"
"2025-01-29 20:07:45","4"
"2025-01-29 20:08:00","5"
"2025-01-29 20:08:15","5"
"2025-01-29 20:08:30","5"
"2025-01-29 20:08:45","5"
"2025-01-29 20:09:00","1"
"2025-01-29 20:09:15","1"
"2025-01-29 20:09:30","1"
"2025-01-29 20:09:45","1"
"2025-01-29 20:10:00","2"
"2025-01-29 20:10:15","2"
"2025-01-29 20:10:30","2"
"2025-01-29 20:10:45","3"
"2025-01-29 20:11:00","3"
"2025-01-29 20:11:15","3"
"2025-01-29 20:11:30","4"
"2025-01-29 20:11:45","4"
"2025-01-29 20:12:00","5"
"2025-01-29 20:12:15","5"
"2025-01-29 20:12:30","5"
"2025-01-29 20:12:45","5"
"2025-01-29 20:13:00","1"
"2025-01-29 20:13:15","1"
"2025-01-29 20:13:30","1"
"2025-01-29 20:13:45","1"
"2025-01-29 20:14:00","1"
"2025-01-29 20:14:15","1"
"2025-01-29 20:14:30","1"
"2025-01-29 20:14:45","1"
"2025-01-29 20:15:00","1"
"2025-01-29 20:15:15","1"
"2025-01-29 20:15:30","1"
"2025-01-29 20:15:45","1"
"2025-01-29 20:16:00","1"
"2025-01-29 20:16:15","1"
"2025-01-29 20:16:30","1"
"2025-01-29 20:16:45","1"
"2025-01-29 20:17:00","1"
"2025-01-29 20:17:15","1"
"2025-01-29 20:17:30","1"
"2025-01-29 20:17:45","1"
"2025-01-29 20:18:00","1"
"2025-01-29 20:18:15","1"
"2025-01-29 20:18:30","1"
"2025-01-29 20:18:45","1"
"2025-01-29 20:19:00","1"
"2025-01-29 20:19:15","1"
"2025-01-29 20:19:30","1"
"2025-01-29 20:19:45","1"
"2025-01-29 20:20:00","1"
"2025-01-29 20:20:15","1"
"2025-01-29 20:20:30","1"
"2025-01-29 20:20:45","1"
"2025-01-29 20:21:00","1"
"2025-01-29 20:21:15","1"
"2025-01-29 20:21:30","1"
"2025-01-29 20:21:45","1"
"2025-01-29 20:22:00","1"
"2025-01-29 20:22:15","1"
"2025-01-29 20:22:30","1"
"2025-01-29 20:22:45","1"
"2025-01-29 20:23:00","1"
"2025-01-29 20:23:15","1"
"2025-01-29 20:23:30","1"
"2025-01-29 20:23:45","1"
"2025-01-29 20:24:00","1"
"2025-01-29 20:24:15","1"
"2025-01-29 20:24:30","1"
"2025-01-29 20:24:45","1"
"2025-01-29 20:25:00","1"
"2025-01-29 20:25:15","1"
"2025-01-29 20:25:30","1"
"2025-01-29 20:25:45","1"
"2025-01-29 20:26:00","1"
"2025-01-29 20:26:15","1"
"2025-01-29 20:26:30","1"
"2025-01-29 20:26:45","1"
"2025-01-29 20:27:00","1"
"2025-01-29 20:27:15","1"
"2025-01-29 20:27:30","1"
"2025-01-29 20:27:45","1"
"2025-01-29 20:28:00","1"
"2025-01-29 20:28:15","1"
"2025-01-29 20:28:30","1"
"2025-01-29 20:28:45","1"
"2025-01-29 20:29:00","1"
"2025-01-29 20:29:15","1"
"2025-01-29 20:29:30","1"
"2025-01-29 20:29:45","1"
"2025-01-29 20:30:00","1"
"2025-01-29 20:30:15","1"
"2025-01-29 20:30:30","1"
"2025-01-29 20:30:45","1"
"2025-01-29 20:31:00","1"
"2025-01-29 20:31:15","1"
"2025-01-29 20:31:30","1"
"2025-01-29 20:31:45","1"
"2025-01-29 20:32:00","1"
"2025-01-29 20:32:15","1"
"2025-01-29 20:32:30","1"
"2025-01-29 20:32:45","1"
"2025-01-29 20:33:00","1"
"2025-01-29 20:33:15","1"
"2025-01-29 20:33:30","1"
"2025-01-29 20:33:45","1"
"2025-01-29 20:34:00","1"
"2025-01-29 20:34:15","1"
"2025-01-29 20:34:30","1"
"2025-01-29 20:34:45","1"
"2025-01-29 20:35:00","1"
"2025-01-29 20:35:15","1"
"2025-01-29 20:35:30","1"
"2025-01-29 20:35:45","1"
"2025-01-29 20:36:00","1"
"2025-01-29 20:36:15","1"
"2025-01-29 20:36:30","1"
"2025-01-29 20:36:45","1"
"2025-01-29 20:37:00","1"
"2025-01-29 20:37:15","1"
"2025-01-29 20:37:30","1"
"2025-01-29 20:37:45","2"
"2025-01-29 20:38:00","2"
"2025-01-29 20:38:15","2"
"2025-01-29 20:38:30","3"
"2025-01-29 20:38:45","3"
"2025-01-29 20:39:00","3"
"2025-01-29 20:39:15","4"
"2025-01-29 20:39:30","4"
"2025-01-29 20:39:45","5"
"2025-01-29 20:40:00","5"
"2025-01-29 20:40:15","5"
"2025-01-29 20:40:30","5"
"2025-01-29 20:40:45","1"
"2025-01-29 20:41:00","1"
"2025-01-29 20:41:15","1"
"2025-01-29 20:41:30","1"
"2025-01-29 20:41:45","2"
"2025-01-29 20:42:00","2"
"2025-01-29 20:42:15","2"
"2025-01-29 20:42:30","3"
"2025-01-29 20:42:45","3"
"2025-01-29 20:43:00","3"
"2025-01-29 20:43:15","4"
"2025-01-29 20:43:30","4"
"2025-01-29 20:43:45","5"
"2025-01-29 20:44:00","5"
"2025-01-29 20:44:15","5"
"2025-01-29 20:44:30","5"
"2025-01-29 20:44:45","1"
"2025-01-29 20:45:00","1"
"2025-01-29 20:45:15","1"
"2025-01-29 20:45:30","1"
"2025-01-29 20:45:45","2"
"2025-01-29 20:46:00","2"
"2025-01-29 20:46:15","2"
"2025-01-29 20:46:30","3"
"2025-01-29 20:46:45","3"
"2025-01-29 20:47:00","3"
"2025-01-29 20:47:15","4"
"2025-01-29 20:47:30","4"
"2025-01-29 20:47:45","5"
"2025-01-29 20:48:00","5"
"2025-01-29 20:48:15","5"
"2025-01-29 20:48:30","5"
"2025-01-29 20:48:45","1"
"2025-01-29 20:49:00","1"
"2025-01-29 20:49:15","1"
"2025-01-29 20:49:30","1"
"2025-01-29 20:49:45","2"
"2025-01-29 20:50:00","2"
"2025-01-29 20:50:15","2"
"2025-01-29 20:50:30","3"
"2025-01-29 20:50:45","3"
"2025-01-29 20:51:00","3"
"2025-01-29 20:51:15","4"
"2025-01-29 20:51:30","4"
"2025-01-29 20:51:45","5"
"2025-01-29 20:52:00","5"
"2025-01-29 20:52:15","5"
"2025-01-29 20:52:30","5"
"2025-01-29 20:52:45","1"
"2025-01-29 20:53:00","1"
"2025-01-29 20:53:15","1"
"2025-01-29 20:53:30","1"
"2025-01-29 20:53:45","1"
"2025-01-29 20:54:00","1"
"2025-01-29 20:54:15","1"
"2025-01-29 20:54:30","1"
"2025-01-29 20:54:45","1"
"2025-01-29 20:55:00","1"
"2025-01-29 20:55:15","1"
"2025-01-29 20:55:30","1"
"2025-01-29 20:55:45","1"
"2025-01-29 20:56:00","1"
"2025-01-29 20:56:15","1"
"2025-01-29 20:56:30","1"
"2025-01-29 20:56:45","1"
"2025-01-29 20:57:00","1"
"2025-01-29 20:57:15","1"
"2025-01-29 20:57:30","1"
"2025-01-29 20:57:45","1"
"2025-01-29 20:58:00","1"
"2025-01-29 20:58:15","1"
"2025-01-29 20:58:30","1"
"2025-01-29 20:58:45","1"
"2025-01-29 20:59:00","1"
"2025-01-29 20:59:15","1"
"2025-01-29 20:59:30","1"
"2025-01-29 20:59:45","1"
"2025-01-29 21:00:00","1"
"2025-01-29 21:00:15","1"
"2025-01-29 21:00:30","1"
"2025-01-29 21:00:45","1"
"2025-01-29 21:01:00","1"
"2025-01-29 21:01:15","1"
"2025-01-29 21:01:30","1"
"2025-01-29 21:01:45","1"
"2025-01-29 21:02:00","1"
"2025-01-29 21:02:15","1"
"2025-01-29 21:02:30","1"
"2025-01-29 21:02:45","1"
"2025-01-29 21:03:00","1"
"2025-01-29 21:03:15","1"
"2025-01-29 21:03:30","1"
"2025-01-29 21:03:45","1"
"2025-01-29 21:04:00","1"
"2025-01-29 21:04:15","1"
"2025-01-29 21:04:30","1"
"2025-01-29 21:04:45","1"
"2025-01-29 21:05:00","1"
"2025-01-29 21:05:15","1"
"2025-01-29 21:05:30","1"
"2025-01-29 21:05:45","1"
"2025-01-29 21:06:00","1"
"2025-01-29 21:06:15","1"
"2025-01-29 21:06:30","1"
"2025-01-29 21:06:45","1"
"2025-01-29 21:07:00","1"
"2025-01-29 21:07:15","1"
"2025-01-29 21:07:30","1"
"2025-01-29 21:07:45","1"
"2025-01-29 21:08:00","1"
"2025-01-29 21:08:15","1"
"2025-01-29 21:08:30","1"
"2025-01-29 21:08:45","1"
"2025-01-29 21:09:00","1"
"2025-01-29 21:09:15","1"
"2025-01-29 21:09:30","1"
"2025-01-29 21:09:45","1"
"2025-01-29 21:10:00","1"
"2025-01-29 21:10:15","1"
"2025-01-29 21:10:30","1"
"2025-01-29 21:10:45","1"
"2025-01-29 21:11:00","1"
"2025-01-29 21:11:15","1"
"2025-01-29 21:11:30","1"
"2025-01-29 21:11:45","1"
"2025-01-29 21:12:00","1"
"2025-01-29 21:12:15","1"
"2025-01-29 21:12:30","1"
"2025-01-29 21:12:45","1"
"2025-01-29 21:13:00","1"
"2025-01-29 21:13:15","1"
"2025-01-29 21:13:30","1"
"2025-01-29 21:13:45","1"
"2025-01-29 21:14:00","1"
"2025-01-29 21:14:15","1"
"2025-01-29 21:14:30","1"
"2025-01-29 21:14:45","1"
"2025-01-29 21:15:00","1"
"2025-01-29 21:15:15","1"
"2025-01-29 21:15:30","1"
"2025-01-29 21:15:45","1"
"2025-01-29 21:16:00","1"
"2025-01-29 21:16:15","1"
"2025-01-29 21:16:30","1"
"2025-01-29 21:16:45","1"
"2025-01-29 21:17:00","1"
"2025-01-29 21:17:15","1"
"2025-01-29 21:17:30","1"
"2025-01-29 21:17:45","2"
"2025-01-29 21:18:00","2"
"2025-01-29 21:18:15","2"
"2025-01-29 21:18:30","3"
"2025-01-29 21:18:45","3"
"2025-01-29 21:19:00","3"
"2025-01-29 21:19:15","4"
"2025-01-29 21:19:30","4"
"2025-01-29 21:19:45","5"
"2025-01-29 21:20:00","5"
"2025-01-29 21:20:15","5"
"2025-01-29 21:20:30","5"
"2025-01-29 21:20:45","1"
"2025-01-29 21:21:00","1"
"2025-01-29 21:21:15","1"
"2025-01-29 21:21:30","1"
"2025-01-29 21:21:45","2"
"2025-01-29 21:22:00","2"
"2025-01-29 21:22:15","2"
"2025-01-29 21:22:30","3"
"2025-01-29 21:22:45","3"
"2025-01-29 21:23:00","3"
"2025-01-29 21:23:15","4"
"2025-01-29 21:23:30","4"
"2025-01-29 21:23:45","5"
"2025-01-29 21:24:00","5"
"2025-01-29 21:24:15","5"
"2025-01-29 21:24:30","5"
"2025-01-29 21:24:45","1"
"2025-01-29 21:25:00","1"
"2025-01-29 21:25:15","1"
"2025-01-29 21:25:30","1"
"2025-01-29 21:25:45","2"
"2025-01-29 21:26:00","2"
"2025-01-29 21:26:15","2"
"2025-01-29 21:26:30","3"
"2025-01-29 21:26:45","3"
"2025-01-29 21:27:00","3"
"2025-01-29 21:27:15","4"
"2025-01-29 21:27:30","4"
"2025-01-29 21:27:45","5"
"2025-01-29 21:28:00","5"
"2025-01-29 21:28:15","5"
"2025-01-29 21:28:30","5"
"2025-01-29 21:28:45","1"
"2025-01-29 21:29:00","1"
"2025-01-29 21:29:15","1"
"2025-01-29 21:29:30","1"
"2025-01-29 21:29:45","2"
"2025-01-29 21:30:00","2"
"2025-01-29 21:30:15","2"
"2025-01-29 21:30:30","3"
"2025-01-29 21:30:45","3"
"2025-01-29 21:31:00","3"
"2025-01-29 21:31:15","4"
"2025-01-29 21:31:30","4"
"2025-01-29 21:31:45","5"
"2025-01-29 21:32:00","5"
"2025-01-29 21:32:15","5"
"2025-01-29 21:32:30","5"
"2025-01-29 21:32:45","1"
"2025-01-29 21:33:00","1"
"2025-01-29 21:33:15","1"
"2025-01-29 21:33:30","1"
"2025-01-29 21:33:45","1"
"2025-01-29 21:34:00","2"
"2025-01-29 21:34:15","2"
"2025-01-29 21:34:30","2"
"2025-01-29 21:34:45","3"
"2025-01-29 21:35:00","3"
"2025-01-29 21:35:15","3"
"2025-01-29 21:35:30","4"
"2025-01-29 21:35:45","4"
"2025-01-29 21:36:00","5"
"2025-01-29 21:36:15","5"
"2025-01-29 21:36:30","5"
"2025-01-29 21:36:45","5"
"2025-01-29 21:37:00","1"
"2025-01-29 21:37:15","1"
"2025-01-29 21:37:30","1"
"2025-01-29 21:37:45","1"
"2025-01-29 21:38:00","2"
"2025-01-29 21:38:15","2"
"2025-01-29 21:38:30","2"
"2025-01-29 21:38:45","3"
"2025-01-29 21:39:00","3"
