"Time","reducirimagen.openfaas-fn","reducirimagen.openfaas-fn","reducirimagen.openfaas-fn","reducirimagen.openfaas-fn"
2025-01-29 20:05:15,2.05,,,
2025-01-29 20:05:30,3.59,,,
2025-01-29 20:05:45,2.43,NaN,,
2025-01-29 20:06:00,4.84,NaN,,
2025-01-29 20:06:15,1.64,NaN,,
2025-01-29 20:06:30,1.70,NaN,,
2025-01-29 20:06:45,1.40,NaN,,
2025-01-29 20:07:00,1.51,NaN,,
2025-01-29 20:07:15,1.32,NaN,,
2025-01-29 20:07:30,1.25,NaN,,
2025-01-29 20:07:45,1.14,NaN,,
2025-01-29 20:08:00,1.13,NaN,,
2025-01-29 20:08:15,NaN,NaN,,
2025-01-29 20:08:30,NaN,NaN,,
2025-01-29 20:08:45,NaN,NaN,,
2025-01-29 20:09:00,NaN,NaN,,
2025-01-29 20:09:15,2.36,NaN,,
2025-01-29 20:09:30,3.16,NaN,,
2025-01-29 20:09:45,2.84,30.0,,
2025-01-29 20:10:00,4.07,NaN,,
2025-01-29 20:10:15,2.33,NaN,,
2025-01-29 20:10:30,2.46,NaN,,
2025-01-29 20:10:45,3.01,NaN,,
2025-01-29 20:11:00,2.93,NaN,,
2025-01-29 20:11:15,2.90,NaN,,
2025-01-29 20:11:30,2.81,NaN,,
2025-01-29 20:11:45,3.28,NaN,,
2025-01-29 20:12:00,2.94,NaN,,
2025-01-29 20:12:15,NaN,NaN,,
2025-01-29 20:12:30,NaN,NaN,,
2025-01-29 20:12:45,NaN,NaN,,
2025-01-29 20:13:00,NaN,NaN,,
2025-01-29 20:13:15,3.16,NaN,,
2025-01-29 20:13:30,4.74,NaN,,
2025-01-29 20:13:45,3.85,NaN,,
2025-01-29 20:14:00,3.95,NaN,,
2025-01-29 20:14:15,3.42,NaN,,
2025-01-29 20:14:30,3.71,NaN,,
2025-01-29 20:14:45,3.70,NaN,,
2025-01-29 20:15:00,3.85,NaN,,
2025-01-29 20:15:15,3.79,NaN,,
2025-01-29 20:15:30,3.91,NaN,,
2025-01-29 20:15:45,3.97,NaN,,
2025-01-29 20:16:00,3.91,NaN,,
2025-01-29 20:16:15,NaN,NaN,,
2025-01-29 20:16:30,NaN,NaN,,
2025-01-29 20:16:45,NaN,NaN,,
2025-01-29 20:17:00,NaN,NaN,,
2025-01-29 20:17:15,2.64,NaN,,
2025-01-29 20:17:30,2.83,NaN,,
2025-01-29 20:17:45,2.47,NaN,,
2025-01-29 20:18:00,2.72,NaN,,
2025-01-29 20:18:15,2.76,NaN,,
2025-01-29 20:18:30,2.67,NaN,,
2025-01-29 20:18:45,2.42,NaN,,
2025-01-29 20:19:00,2.55,NaN,,
2025-01-29 20:19:15,2.46,NaN,,
2025-01-29 20:19:30,2.20,30.0,,
2025-01-29 20:19:45,2.11,30.0,,
2025-01-29 20:20:00,2.33,30.0,,
2025-01-29 20:20:15,NaN,NaN,,
2025-01-29 20:20:30,NaN,NaN,,
2025-01-29 20:20:45,NaN,NaN,,
2025-01-29 20:21:00,NaN,NaN,,
2025-01-29 20:21:15,4.00,NaN,,
2025-01-29 20:21:30,6.86,NaN,,
2025-01-29 20:21:45,4.56,NaN,,
2025-01-29 20:22:00,4.55,NaN,,
2025-01-29 20:22:15,5.16,NaN,,
2025-01-29 20:22:30,4.49,NaN,,
2025-01-29 20:22:45,5.41,NaN,,
2025-01-29 20:23:00,4.97,NaN,,
2025-01-29 20:23:15,6.56,NaN,,
2025-01-29 20:23:30,6.47,NaN,,
2025-01-29 20:23:45,7.57,30.0,,
2025-01-29 20:24:00,7.90,30.0,,
2025-01-29 20:24:15,NaN,30.0,,
2025-01-29 20:24:30,NaN,NaN,,
2025-01-29 20:24:45,NaN,NaN,,
2025-01-29 20:25:00,NaN,NaN,,
2025-01-29 20:25:15,3.90,NaN,,
2025-01-29 20:25:30,5.20,NaN,,
2025-01-29 20:25:45,5.99,NaN,,
2025-01-29 20:26:00,3.28,NaN,,
2025-01-29 20:26:15,7.20,NaN,,
2025-01-29 20:26:30,3.13,NaN,,
2025-01-29 20:26:45,4.96,NaN,,
2025-01-29 20:27:00,3.57,NaN,,
2025-01-29 20:27:15,7.71,NaN,,
2025-01-29 20:27:30,8.54,NaN,,
2025-01-29 20:27:45,5.63,30.0,,
2025-01-29 20:28:00,7.36,30.0,,
2025-01-29 20:28:15,NaN,NaN,,
2025-01-29 20:28:30,NaN,NaN,,
2025-01-29 20:28:45,NaN,NaN,,
2025-01-29 20:29:00,NaN,NaN,,
2025-01-29 20:29:15,4.72,NaN,,
2025-01-29 20:29:30,7.73,NaN,,
2025-01-29 20:29:45,6.84,NaN,,
2025-01-29 20:30:00,8.23,NaN,,
2025-01-29 20:30:15,7.18,NaN,,
2025-01-29 20:30:30,5.20,NaN,,
2025-01-29 20:30:45,7.12,NaN,,
2025-01-29 20:31:00,8.21,NaN,,
2025-01-29 20:31:15,6.08,NaN,,
2025-01-29 20:31:30,7.05,NaN,,
2025-01-29 20:31:45,6.19,NaN,,
2025-01-29 20:32:00,5.00,NaN,,
2025-01-29 20:32:15,NaN,NaN,,
2025-01-29 20:32:30,NaN,NaN,,
2025-01-29 20:32:45,NaN,NaN,,
2025-01-29 20:33:00,NaN,NaN,,
2025-01-29 20:33:15,3.78,NaN,,
2025-01-29 20:33:30,8.67,NaN,,
2025-01-29 20:33:45,4.80,NaN,,
2025-01-29 20:34:00,7.33,NaN,,
2025-01-29 20:34:15,5.22,NaN,,
2025-01-29 20:34:30,5.86,NaN,,
2025-01-29 20:34:45,5.74,NaN,,
2025-01-29 20:35:00,6.24,NaN,,
2025-01-29 20:35:15,6.23,NaN,,
2025-01-29 20:35:30,5.69,NaN,,
2025-01-29 20:35:45,7.25,NaN,,
2025-01-29 20:36:00,4.96,NaN,,
2025-01-29 20:36:15,NaN,NaN,,
2025-01-29 20:36:30,NaN,NaN,,
2025-01-29 20:36:45,NaN,NaN,,
2025-01-29 20:37:00,NaN,NaN,,
2025-01-29 20:37:15,0.618,NaN,,
2025-01-29 20:37:30,0.596,NaN,,
2025-01-29 20:37:45,0.472,NaN,,
2025-01-29 20:38:00,0.331,NaN,,
2025-01-29 20:38:15,0.332,NaN,,
2025-01-29 20:38:30,0.255,NaN,,
2025-01-29 20:38:45,0.268,NaN,,
2025-01-29 20:39:00,0.242,NaN,,
2025-01-29 20:39:15,0.224,NaN,,
2025-01-29 20:39:30,0.211,NaN,,
2025-01-29 20:39:45,0.205,NaN,,
2025-01-29 20:40:00,0.186,NaN,,
2025-01-29 20:40:15,NaN,NaN,,
2025-01-29 20:40:30,NaN,NaN,,
2025-01-29 20:40:45,NaN,NaN,,
2025-01-29 20:41:00,NaN,NaN,,
2025-01-29 20:41:15,0.442,NaN,,
2025-01-29 20:41:30,0.414,NaN,,
2025-01-29 20:41:45,0.400,NaN,,
2025-01-29 20:42:00,0.415,NaN,,
2025-01-29 20:42:15,0.334,NaN,,
2025-01-29 20:42:30,0.368,NaN,,
2025-01-29 20:42:45,0.386,NaN,,
2025-01-29 20:43:00,0.342,NaN,,
2025-01-29 20:43:15,0.367,NaN,,
2025-01-29 20:43:30,0.315,NaN,,
2025-01-29 20:43:45,0.356,NaN,,
2025-01-29 20:44:00,0.352,NaN,,
