Iteración, tamaño, formato, id, enviadas, recibidas
0, 4,.jpg, 120759691, 31, 29
0, 4,.jpg, -1694488549, 32, 31
0, 4,.jpg, -671963345, 19, 16
0, 4,.jpg, -424889673, 19, 16
0, 4,.jpg, -1987858376, 39, 39
0, 4,.jpg, 378914639, 21, 19
0, 4,.jpg, 800915443, 15, 11
0, 4,.jpg, -1301378901, 12, 8
0, 4,.jpg, -1220061868, 32, 30
0, 4,.jpg, 1030820800, 30, 29
0, 4,.jpg, -710981686, 13, 9
0, 4,.jpg, -1435780009, 6, 0
0, 4,.jpg, -1210228687, 25, 23
0, 4,.jpg, -1706726796, 14, 11
0, 4,.jpg, 5923956, 31, 30
0, 4,.jpg, -286334936, 9, 4
0, 4,.jpg, -784913189, 13, 9
0, 4,.jpg, -178999319, 9, 4
0, 4,.jpg, 1190636059, 9, 4
0, 4,.jpg, -277979646, 21, 18
0, 4,.jpg, -321824840, 32, 31
0, 4,.jpg, -868005841, 29, 27
0, 4,.jpg, -1811927623, 23, 20
0, 4,.jpg, 1020661888, 13, 9
0, 4,.jpg, 636077873, 25, 22
0, 4,.jpg, -1320318735, 7, 1
0, 4,.jpg, 1148735780, 18, 14
0, 4,.jpg, 566218594, 12, 8
0, 4,.jpg, -40097251, 29, 28
0, 4,.jpg, 1920192280, 30, 29
0, 4,.png, -575685799, 31, 30
0, 4,.png, -228941694, 23, 21
0, 4,.png, 1792357254, 25, 23
0, 4,.png, 1506973878, 12, 8
0, 4,.png, 694278261, 9, 4
0, 4,.png, 290005011, 28, 27
0, 4,.png, 85403525, 12, 8
0, 4,.png, -1398280307, 14, 10
0, 4,.png, 152037890, 9, 4
0, 4,.png, 1789431237, 26, 24
0, 4,.png, -176347072, 9, 4
0, 4,.png, -1005857404, 9, 4
0, 4,.png, -2093107509, 26, 24
0, 4,.png, 1359854115, 25, 23
0, 4,.png, -1258327565, 12, 8
0, 4,.png, 936132542, 23, 20
0, 4,.png, 482684909, 10, 5
0, 4,.png, -179500385, 36, 36
0, 4,.png, -150005302, 32, 31
