ResponseCode,SendingTime,ReceptionTime,ProcessingTime
200,2024-05-23-19:22:15.8930,2024-05-23-19:22:19.8580,72
200,2024-05-23-19:22:19.6858,2024-05-23-19:22:20.7900,72
200,2024-05-23-19:22:20.6183,2024-05-23-19:22:21.2950,69
200,2024-05-23-19:22:21.1180,2024-05-23-19:22:22.5760,76
200,2024-05-23-19:22:22.4504,2024-05-23-19:22:23.5840,74
200,2024-05-23-19:22:23.4597,2024-05-23-19:22:24.1650,72
200,2024-05-23-19:22:24.0401,2024-05-23-19:22:25.4550,70
200,2024-05-23-19:22:25.3197,2024-05-23-19:22:26.0180,70
200,2024-05-23-19:22:25.8902,2024-05-23-19:22:27.5700,85
200,2024-05-23-19:22:27.4500,2024-05-23-19:22:28.7950,70
200,2024-05-23-19:22:28.6707,2024-05-23-19:22:30.0040,69
200,2024-05-23-19:22:29.8705,2024-05-23-19:22:31.7960,68
200,2024-05-23-19:22:31.6617,2024-05-23-19:22:32.1530,70
200,2024-05-23-19:22:32.0198,2024-05-23-19:22:34.5430,66
200,2024-05-23-19:22:34.4093,2024-05-23-19:22:36.1500,74
200,2024-05-23-19:22:36.0300,2024-05-23-19:22:38.1590,150
200,2024-05-23-19:22:38.1114,2024-05-23-19:22:41.5000,80
200,2024-05-23-19:22:41.3368,2024-05-23-19:22:42.9160,75
200,2024-05-23-19:22:42.7460,2024-05-23-19:22:43.7580,79
200,2024-05-23-19:22:43.5917,2024-05-23-19:22:46.2770,80
200,2024-05-23-19:22:46.1598,2024-05-23-19:22:47.9100,72
200,2024-05-23-19:22:47.7795,2024-05-23-19:22:48.8190,73
200,2024-05-23-19:22:48.6891,2024-05-23-19:22:49.5440,78
200,2024-05-23-19:22:49.3762,2024-05-23-19:22:51.0640,80
200,2024-05-23-19:22:50.8991,2024-05-23-19:22:52.5090,77
200,2024-05-23-19:22:52.3403,2024-05-23-19:22:55.0990,73
200,2024-05-23-19:22:54.9692,2024-05-23-19:22:55.9310,77
200,2024-05-23-19:22:55.8090,2024-05-23-19:22:57.4540,77
200,2024-05-23-19:22:57.3289,2024-05-23-19:22:59.1600,89
200,2024-05-23-19:22:59.0593,2024-05-23-19:23:00.7120,69
200,2024-05-23-19:23:00.5782,2024-05-23-19:23:01.3540,78
200,2024-05-23-19:23:01.2285,2024-05-23-19:23:02.8930,72
200,2024-05-23-19:23:02.7683,2024-05-23-19:23:04.8580,73
200,2024-05-23-19:23:04.7380,2024-05-23-19:23:06.9380,69
200,2024-05-23-19:23:06.8085,2024-05-23-19:23:08.8980,78
200,2024-05-23-19:23:08.7782,2024-05-23-19:23:10.9780,83
200,2024-05-23-19:23:10.8686,2024-05-23-19:23:13.0760,77
200,2024-05-23-19:23:12.9480,2024-05-23-19:23:13.4240,79
200,2024-05-23-19:23:13.2582,2024-05-23-19:23:14.8230,101
200,2024-05-23-19:23:14.6774,2024-05-23-19:23:15.0990,103
200,2024-05-23-19:23:14.9576,2024-05-23-19:23:15.5710,92
200,2024-05-23-19:23:15.4174,2024-05-23-19:23:15.9850,94
200,2024-05-23-19:23:15.8333,2024-05-23-19:23:16.2480,71
200,2024-05-23-19:23:16.1185,2024-05-23-19:23:16.4180,82
200,2024-05-23-19:23:16.3110,2024-05-23-19:23:17.5400,91
200,2024-05-23-19:23:17.4380,2024-05-23-19:23:18.3700,77
200,2024-05-23-19:23:18.2588,2024-05-23-19:23:19.2600,76
200,2024-05-23-19:23:19.0886,2024-05-23-19:23:19.6090,74
200,2024-05-23-19:23:19.4366,2024-05-23-19:23:20.1430,73
200,2024-05-23-19:23:20.0181,2024-05-23-19:23:20.8600,74
200,2024-05-23-19:23:20.7381,2024-05-23-19:23:22.8020,80
200,2024-05-23-19:23:22.6351,2024-05-23-19:23:23.5380,77
200,2024-05-23-19:23:23.4180,2024-05-23-19:23:24.2020,91
200,2024-05-23-19:23:24.0463,2024-05-23-19:23:26.6910,72
200,2024-05-23-19:23:26.5157,2024-05-23-19:23:26.8790,84
200,2024-05-23-19:23:26.7161,2024-05-23-19:23:30.4620,73
200,2024-05-23-19:23:30.2875,2024-05-23-19:23:30.6640,68
200,2024-05-23-19:23:30.4870,2024-05-23-19:23:31.7560,91
200,2024-05-23-19:23:31.6000,2024-05-23-19:23:32.1120,80
200,2024-05-23-19:23:31.9980,2024-05-23-19:23:32.8010,79
200,2024-05-23-19:23:32.6333,2024-05-23-19:23:35.2770,77
200,2024-05-23-19:23:35.1066,2024-05-23-19:23:35.4980,81
200,2024-05-23-19:23:35.3879,2024-05-23-19:23:36.2320,74
200,2024-05-23-19:23:36.0591,2024-05-23-19:23:37.3160,83
200,2024-05-23-19:23:37.1990,2024-05-23-19:23:37.6100,73
200,2024-05-23-19:23:37.4354,2024-05-23-19:23:37.8440,75
200,2024-05-23-19:23:37.6718,2024-05-23-19:23:38.3550,79
200,2024-05-23-19:23:38.1864,2024-05-23-19:23:39.1800,76
200,2024-05-23-19:23:39.0092,2024-05-23-19:23:40.1740,80
200,2024-05-23-19:23:40.0464,2024-05-23-19:23:40.8280,79
200,2024-05-23-19:23:40.7076,2024-05-23-19:23:41.4910,116
200,2024-05-23-19:23:41.4177,2024-05-23-19:23:42.2730,72
200,2024-05-23-19:23:42.0969,2024-05-23-19:23:44.2890,75
200,2024-05-23-19:23:44.1155,2024-05-23-19:23:44.7340,85
200,2024-05-23-19:23:44.6271,2024-05-23-19:23:44.9700,93
200,2024-05-23-19:23:44.8575,2024-05-23-19:23:46.0050,94
200,2024-05-23-19:23:45.8508,2024-05-23-19:23:46.3220,84
200,2024-05-23-19:23:46.2069,2024-05-23-19:23:47.2220,73
200,2024-05-23-19:23:47.0476,2024-05-23-19:23:47.7720,82
200,2024-05-23-19:23:47.6051,2024-05-23-19:23:48.0450,78
200,2024-05-23-19:23:47.9183,2024-05-23-19:23:49.1890,100
200,2024-05-23-19:23:49.0413,2024-05-23-19:23:49.3920,98
200,2024-05-23-19:23:49.2417,2024-05-23-19:23:49.6830,73
200,2024-05-23-19:23:49.5080,2024-05-23-19:23:49.9940,90
200,2024-05-23-19:23:49.8381,2024-05-23-19:23:51.0810,72
200,2024-05-23-19:23:50.9053,2024-05-23-19:23:52.8050,138
200,2024-05-23-19:23:52.6955,2024-05-23-19:23:53.7000,95
200,2024-05-23-19:23:53.5971,2024-05-23-19:23:54.0330,100
200,2024-05-23-19:23:53.8863,2024-05-23-19:23:54.2860,91
200,2024-05-23-19:23:54.1775,2024-05-23-19:23:54.7330,93
200,2024-05-23-19:23:54.5774,2024-05-23-19:23:55.0890,90
200,2024-05-23-19:23:54.9774,2024-05-23-19:23:55.5130,98
200,2024-05-23-19:23:55.4172,2024-05-23-19:23:56.1150,80
200,2024-05-23-19:23:55.9986,2024-05-23-19:23:56.3860,92
200,2024-05-23-19:23:56.2300,2024-05-23-19:24:00.5880,96
200,2024-05-23-19:24:00.4387,2024-05-23-19:24:01.4780,109
200,2024-05-23-19:24:01.3393,2024-05-23-19:24:02.0700,85
200,2024-05-23-19:24:01.9078,2024-05-23-19:24:02.8540,81
200,2024-05-23-19:24:02.6877,2024-05-23-19:24:03.0750,95
200,2024-05-23-19:24:02.9759,2024-05-23-19:24:03.3540,90
200,2024-05-23-19:24:03.1963,2024-05-23-19:24:03.6120,105
200,2024-05-23-19:24:03.5264,2024-05-23-19:24:04.1080,91
200,2024-05-23-19:24:03.9533,2024-05-23-19:24:04.8240,88
200,2024-05-23-19:24:04.6654,2024-05-23-19:24:05.2940,86
200,2024-05-23-19:24:05.1331,2024-05-23-19:24:05.5670,79
200,2024-05-23-19:24:05.3984,2024-05-23-19:24:06.0180,91
200,2024-05-23-19:24:05.9061,2024-05-23-19:24:06.7890,92
200,2024-05-23-19:24:06.6351,2024-05-23-19:24:09.7120,81
200,2024-05-23-19:24:09.5463,2024-05-23-19:24:09.9200,78
200,2024-05-23-19:24:09.7498,2024-05-23-19:24:11.0110,92
200,2024-05-23-19:24:10.9106,2024-05-23-19:24:14.4920,96
200,2024-05-23-19:24:14.3405,2024-05-23-19:24:15.4480,89
200,2024-05-23-19:24:15.2889,2024-05-23-19:24:15.7180,82
200,2024-05-23-19:24:15.5961,2024-05-23-19:24:16.4010,90
200,2024-05-23-19:24:16.2424,2024-05-23-19:24:16.8830,107
200,2024-05-23-19:24:16.7430,2024-05-23-19:24:18.0940,98
200,2024-05-23-19:24:17.9966,2024-05-23-19:24:19.3920,86
