ResponseCode;AttackerSendingTime;VictimReceptionTime;VictimSendingTime;AttackerReceptionTime;ProcessingTime;;;;JPG TOTAL;PNG TOTAL;;;;JPG;PNG
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;1083;;;;1323;209;;;0,1;132,3;20,9
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;37;;;;1174;365;;;0,2;117,4;36,5
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;41;;;;1349;586;;;0,3;134,9;58,6
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;25;;;;2135;939;;;0,4;213,5;93,9
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;25;;;;3039;1461;;;0,5;303,9;146,1
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;21;;;;4298;2074;;;0,6;429,8;207,4
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;21;;;;5916;3203;;;0,7;591,6;320,3
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;24;;;;7655;4121;;;0,8;765,5;412,1
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;22;;;;9666;4016;;;0,9;966,6;401,6
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;24;;;;14552;5013;;;1;1455,2;501,3
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;38;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;27;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;46;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;17;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;12;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;13;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;14;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;15;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;12;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;15;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;104;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;63;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;156;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;126;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;96;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;87;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;166;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;95;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;106;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;175;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;99;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;35;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;25;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;26;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;28;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;25;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;24;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;26;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;24;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;53;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;261;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;114;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;129;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;117;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;128;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;120;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;118;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;119;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;131;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;112;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;65;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;67;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;55;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;50;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;59;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;64;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;51;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;53;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;49;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;73;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;238;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;222;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;252;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;203;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;210;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;126;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;265;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;205;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;220;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;194;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;109;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;105;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;78;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;107;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;78;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;94;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;115;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;78;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;76;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;99;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;303;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;302;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;306;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;304;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;301;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;298;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;304;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;308;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;307;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;306;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;181;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;134;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;144;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;179;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;162;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;119;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;121;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;130;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;117;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;174;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;427;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;431;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;435;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;436;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;432;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;433;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;426;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;426;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;430;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;422;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;191;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;173;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;229;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;155;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;192;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;241;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;192;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;264;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;195;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;242;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;575;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;585;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;592;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;592;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;597;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;592;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;593;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;615;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;588;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;587;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;384;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;464;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;274;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;504;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;299;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;302;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;224;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;243;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;295;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;214;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;759;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;755;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;815;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;771;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;761;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;763;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;756;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;752;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;767;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;756;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;1244;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;275;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;271;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;374;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;316;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;266;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;271;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;473;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;327;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;304;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;954;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;943;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;961;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;974;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;961;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;978;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;965;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;973;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;989;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;968;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;378;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;333;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;354;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;638;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;363;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;431;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;368;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;382;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;389;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;380;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;1549;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;1422;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;1431;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;1458;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;1441;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;1432;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;1442;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;1433;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;1487;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;1457;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;615;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;577;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;659;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;411;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;427;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;403;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;467;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;416;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;488;;;;;;;;;;
200;1,7182E+12;1,7182E+12;1,7182E+12;1,7182E+12;550;;;;;;;;;;
